,sigma_lcl,indebtness,OVX,lambda,V,sigma_total,DD,spread_bps,converged
0,0.01,0.5,15,6.11,138.69,0.0462,12.2361,-0.0,True
1,0.01,0.5,35,11.63,138.45,0.0638,8.8216,-0.0,True
2,0.01,0.5,55,21.23,138.03,0.0862,6.471,0.0,True
3,0.01,0.5,80,41.17,137.46,0.12,4.5663,0.0,True
4,0.01,0.5,120,52.0,137.53,0.1349,4.0333,0.1,True
5,0.01,0.75,15,6.11,158.12,0.0462,9.5821,-0.0,True
6,0.01,0.75,35,11.63,157.84,0.0638,6.898,0.0,True
7,0.01,0.75,55,21.23,157.35,0.0862,5.0468,0.0,True
8,0.01,0.75,80,41.17,156.61,0.12,3.5413,0.4,True
9,0.01,0.75,120,52.0,156.55,0.1349,3.1183,1.8,True
10,0.01,1.0,15,6.11,177.55,0.0462,7.9203,0.0,True
11,0.01,1.0,35,11.63,177.24,0.0638,5.6936,0.0,True
12,0.01,1.0,55,21.23,176.68,0.0862,4.155,0.0,True
13,0.01,1.0,80,41.17,175.76,0.12,2.8991,3.7,True
14,0.01,1.0,120,52.0,175.56,0.1349,2.5445,11.0,True
15,0.01,2.0,15,6.11,255.27,0.0462,4.7271,0.0,True
16,0.01,2.0,35,11.63,254.79,0.0638,3.3787,0.7,True
17,0.01,2.0,55,21.23,253.78,0.0862,2.4371,14.9,True
18,0.01,2.0,80,41.17,251.03,0.12,1.6444,102.7,True
19,0.01,2.0,120,52.0,249.55,0.1349,1.4121,164.5,True
20,0.01,3.0,15,6.11,332.97,0.0462,3.3753,0.7,True
21,0.01,3.0,35,11.63,332.08,0.0638,2.3936,16.8,True
22,0.01,3.0,55,21.23,329.64,0.0862,1.69,93.2,True
23,0.01,3.0,80,41.17,323.2,0.12,1.075,304.4,True
24,0.01,3.0,120,52.0,319.82,0.1349,0.8903,413.2,True
25,0.01,5.0,15,6.11,487.73,0.0462,2.1263,33.8,True
26,0.01,5.0,35,11.63,484.28,0.0638,1.4573,150.6,True
27,0.01,5.0,55,21.23,476.08,0.0862,0.9467,377.2,True
28,0.01,5.0,80,41.17,459.17,0.12,0.48,758.4,True
29,0.01,5.0,120,52.0,451.34,0.1349,0.3387,915.9,True
30,0.01,7.0,15,6.11,640.45,0.0462,1.5066,136.5,True
31,0.01,7.0,35,11.63,632.54,0.0638,0.9709,362.5,True
32,0.01,7.0,55,21.23,617.12,0.0862,0.5471,691.1,True
33,0.01,7.0,80,41.17,588.83,0.12,0.153,1156.8,True
34,0.01,7.0,120,52.0,575.25,0.1349,0.0273,1343.1,True
35,0.01,10.0,15,6.11,866.25,0.0462,0.9775,358.6,True
36,0.01,10.0,35,11.63,849.92,0.0638,0.5413,696.7,True
37,0.01,10.0,55,21.23,822.52,0.0862,0.1871,1109.5,True
38,0.01,10.0,80,41.17,773.04,0.12,-0.1618,1661.5,True
39,0.01,10.0,120,52.0,751.67,0.1349,-0.2684,1861.7,True
40,0.05,0.5,15,6.11,138.88,0.0462,12.2489,-0.0,True
41,0.05,0.5,35,11.63,138.7,0.0638,8.8343,-0.0,True
42,0.05,0.5,55,21.23,138.36,0.0862,6.4837,0.0,True
43,0.05,0.5,80,41.17,137.93,0.12,4.579,0.0,True
44,0.05,0.5,120,52.0,138.06,0.1349,4.0461,0.1,True
45,0.05,0.75,15,6.11,158.31,0.0462,9.5933,-0.0,True
46,0.05,0.75,35,11.63,158.09,0.0638,6.9092,0.0,True
47,0.05,0.75,55,21.23,157.69,0.0862,5.058,0.0,True
48,0.05,0.75,80,41.17,157.08,0.12,3.5525,0.4,True
49,0.05,0.75,120,52.0,157.08,0.1349,3.1295,1.8,True
50,0.05,1.0,15,6.11,177.74,0.0462,7.9302,0.0,True
51,0.05,1.0,35,11.63,177.49,0.0638,5.7035,0.0,True
52,0.05,1.0,55,21.23,177.02,0.0862,4.165,0.0,True
53,0.05,1.0,80,41.17,176.23,0.12,2.9091,3.6,True
54,0.05,1.0,120,52.0,176.09,0.1349,2.5545,10.7,True
55,0.05,2.0,15,6.11,255.45,0.0462,4.734,0.0,True
56,0.05,2.0,35,11.63,255.04,0.0638,3.3857,0.7,True
57,0.05,2.0,55,21.23,254.15,0.0862,2.4446,14.6,True
58,0.05,2.0,80,41.17,251.64,0.12,1.6534,100.7,True
59,0.05,2.0,120,52.0,250.28,0.1349,1.4218,161.4,True
60,0.05,3.0,15,6.11,333.16,0.0462,3.3807,0.7,True
61,0.05,3.0,35,11.63,332.37,0.0638,2.3997,16.5,True
62,0.05,3.0,55,21.23,330.12,0.0862,1.6977,91.6,True
63,0.05,3.0,80,41.17,324.03,0.12,1.0846,299.4,True
64,0.05,3.0,120,52.0,320.81,0.1349,0.9006,406.4,True
65,0.05,5.0,15,6.11,487.99,0.0462,2.1314,33.3,True
66,0.05,5.0,35,11.63,484.76,0.0638,1.4643,148.5,True
67,0.05,5.0,55,21.23,477.23,0.0862,0.9591,369.7,True
68,0.05,5.0,80,41.17,460.58,0.12,0.4915,746.6,True
69,0.05,5.0,120,52.0,452.95,0.1349,0.3505,901.9,True
70,0.05,7.0,15,6.11,640.91,0.0462,1.5136,134.6,True
71,0.05,7.0,35,11.63,633.33,0.0638,0.9797,357.4,True
72,0.05,7.0,55,21.23,618.41,0.0862,0.558,680.6,True
73,0.05,7.0,80,41.17,590.69,0.12,0.1648,1140.3,True
74,0.05,7.0,120,52.0,577.44,0.1349,0.0399,1323.6,True
75,0.05,10.0,15,6.11,867.15,0.0462,0.9876,352.7,True
76,0.05,10.0,35,11.63,851.12,0.0638,0.5512,687.1,True
77,0.05,10.0,55,21.23,824.28,0.0862,0.1982,1094.4,True
78,0.05,10.0,80,41.17,775.76,0.12,-0.1487,1638.0,True
79,0.05,10.0,120,52.0,755.23,0.1349,-0.2527,1831.3,True
80,0.1,0.5,15,6.11,138.94,0.0722,7.793,0.0,True
81,0.1,0.5,35,11.63,138.94,0.0725,7.7659,0.0,True
82,0.1,0.5,55,21.23,138.79,0.0862,6.4996,0.0,True
83,0.1,0.5,80,41.17,138.52,0.12,4.5949,0.0,True
84,0.1,0.5,120,52.0,138.73,0.1349,4.062,0.0,True
85,0.1,0.75,15,6.11,158.41,0.0634,6.9623,0.0,True
86,0.1,0.75,35,11.63,158.41,0.0638,6.9231,0.0,True
87,0.1,0.75,55,21.23,158.12,0.0862,5.0719,0.0,True
88,0.1,0.75,80,41.17,157.67,0.12,3.5664,0.4,True
89,0.1,0.75,120,52.0,157.74,0.1349,3.1435,1.7,True
90,0.1,1.0,15,6.11,177.88,0.0566,6.4664,0.0,True
91,0.1,1.0,35,11.63,177.8,0.0638,5.7159,0.0,True
92,0.1,1.0,55,21.23,177.44,0.0862,4.1774,0.0,True
93,0.1,1.0,80,41.17,176.82,0.12,2.9215,3.5,True
94,0.1,1.0,120,52.0,176.76,0.1349,2.567,10.3,True
95,0.1,2.0,15,6.11,255.68,0.0462,4.7427,0.0,True
96,0.1,2.0,35,11.63,255.36,0.0638,3.3946,0.7,True
97,0.1,2.0,55,21.23,254.61,0.0862,2.454,14.2,True
98,0.1,2.0,80,41.17,252.39,0.12,1.6645,98.4,True
99,0.1,2.0,120,52.0,251.29,0.1349,1.4352,157.2,True
100,0.1,3.0,15,6.11,333.39,0.0462,3.3875,0.7,True
101,0.1,3.0,35,11.63,332.73,0.0638,2.4073,16.1,True
102,0.1,3.0,55,21.23,330.73,0.0862,1.7072,89.8,True
103,0.1,3.0,80,41.17,325.07,0.12,1.0966,293.3,True
104,0.1,3.0,120,52.0,322.06,0.1349,0.9135,398.1,True
105,0.1,5.0,15,6.11,488.31,0.0462,2.1378,32.8,True
106,0.1,5.0,35,11.63,485.37,0.0638,1.4731,145.9,True
107,0.1,5.0,55,21.23,478.42,0.0862,0.9722,361.8,True
108,0.1,5.0,80,41.17,462.83,0.12,0.5096,728.1,True
109,0.1,5.0,120,52.0,455.12,0.1349,0.3663,883.4,True
110,0.1,7.0,15,6.11,641.48,0.0462,1.5222,132.2,True
111,0.1,7.0,35,11.63,634.32,0.0638,0.9906,351.0,True
112,0.1,7.0,55,21.23,620.69,0.0862,0.577,662.5,True
113,0.1,7.0,80,41.17,593.02,0.12,0.1794,1120.1,True
114,0.1,7.0,120,52.0,580.46,0.1349,0.0573,1297.0,True
115,0.1,10.0,15,6.11,868.39,0.0462,1.0017,344.6,True
116,0.1,10.0,35,11.63,852.62,0.0638,0.5635,675.2,True
117,0.1,10.0,55,21.23,826.49,0.0862,0.2121,1075.7,True
118,0.1,10.0,80,41.17,779.68,0.12,-0.13,1604.6,True
119,0.1,10.0,120,52.0,759.63,0.1349,-0.2335,1794.4,True
120,0.15,0.5,15,6.11,138.94,0.1081,5.1394,0.0,True
121,0.15,0.5,35,11.63,138.94,0.1083,5.1312,0.0,True
122,0.15,0.5,55,21.23,138.95,0.1086,5.1169,0.0,True
123,0.15,0.5,80,41.17,139.11,0.12,4.6107,0.0,True
124,0.15,0.5,120,52.0,139.39,0.1349,4.0779,0.0,True
125,0.15,0.75,15,6.11,158.41,0.0949,4.5955,0.0,True
126,0.15,0.75,35,11.63,158.41,0.0951,4.586,0.0,True
127,0.15,0.75,55,21.23,158.41,0.0954,4.5694,0.0,True
128,0.15,0.75,80,41.17,158.26,0.12,3.5803,0.3,True
129,0.15,0.75,120,52.0,158.41,0.1349,3.1574,1.6,True
130,0.15,1.0,15,6.11,177.88,0.0846,4.2736,0.0,True
131,0.15,1.0,35,11.63,177.88,0.0848,4.2624,0.0,True
132,0.15,1.0,55,21.23,177.87,0.0862,4.1898,0.0,True
133,0.15,1.0,80,41.17,177.41,0.12,2.9339,3.4,True
134,0.15,1.0,120,52.0,177.42,0.1349,2.5794,9.9,True
135,0.15,2.0,15,6.11,255.76,0.059,3.6935,0.2,True
136,0.15,2.0,35,11.63,255.68,0.0638,3.4033,0.7,True
137,0.15,2.0,55,21.23,255.06,0.0862,2.4633,13.8,True
138,0.15,2.0,80,41.17,253.14,0.12,1.6756,96.1,True
139,0.15,2.0,120,52.0,252.18,0.1349,1.4469,153.7,True
140,0.15,3.0,15,6.11,333.62,0.0462,3.3943,0.7,True
141,0.15,3.0,35,11.63,333.09,0.0638,2.4149,15.8,True
142,0.15,3.0,55,21.23,331.33,0.0862,1.7167,87.9,True
143,0.15,3.0,80,41.17,326.11,0.12,1.1085,287.3,True
144,0.15,3.0,120,52.0,323.39,0.1349,0.9271,389.5,True
145,0.15,5.0,15,6.11,488.63,0.0462,2.1442,32.3,True
146,0.15,5.0,35,11.63,485.97,0.0638,1.4818,143.4,True
147,0.15,5.0,55,21.23,479.43,0.0862,0.9831,355.3,True
148,0.15,5.0,80,41.17,464.48,0.12,0.5229,714.8,True
149,0.15,5.0,120,52.0,457.4,0.1349,0.3829,864.3,True
150,0.15,7.0,15,6.11,642.25,0.0462,1.5338,129.2,True
151,0.15,7.0,35,11.63,635.3,0.0638,1.0015,344.7,True
152,0.15,7.0,55,21.23,622.15,0.0862,0.5892,651.1,True
153,0.15,7.0,80,41.17,595.34,0.12,0.194,1100.1,True
154,0.15,7.0,120,52.0,583.55,0.1349,0.0749,1270.4,True
155,0.15,10.0,15,6.11,869.22,0.0462,1.0109,339.3,True
156,0.15,10.0,35,11.63,854.12,0.0638,0.5758,663.6,True
157,0.15,10.0,55,21.23,828.7,0.0862,0.226,1057.3,True
158,0.15,10.0,80,41.17,783.44,0.12,-0.112,1573.2,True
159,0.15,10.0,120,52.0,763.21,0.1349,-0.2178,1764.8,True
160,0.2,0.5,15,6.11,138.94,0.1441,3.7869,0.2,True
