Dates;LP1 Comdty;CO1 Comdty;CL1 Comdty
20.11.2000;1780,75;33,07;35,22
21.11.2000;1790;33,1;35,16
22.11.2000;1777,5;33,24;35,4
23.11.2000;1775,5;33,28;35,4
24.11.2000;1796,75;33,12;35,4
27.11.2000;1822,25;33,06;35,38
28.11.2000;1837,5;32,19;34,22
29.11.2000;1837,25;32,68;34,63
30.11.2000;1826;31,88;33,82
01.12.2000;1833,75;30,17;32,02
04.12.2000;1842;29,34;31,22
05.12.2000;1859;27,79;29,53
06.12.2000;1861,75;28,01;29,85
07.12.2000;1875;27,47;29,35
08.12.2000;1902;26,56;28,44
11.12.2000;1912,75;27,54;29,5
12.12.2000;1883,5;27,06;29,68
13.12.2000;1881,5;25,14;28,74
14.12.2000;1889,5;25,36;27,99
15.12.2000;1886,5;25,89;28,87
18.12.2000;1886,5;26,24;29,76
19.12.2000;1886,5;25;29,33
20.12.2000;1844;22,97;25,77
21.12.2000;1831,75;23,61;25,98
22.12.2000;1834,75;23,66;26,18
25.12.2000;1834,75;23,66;26,18
26.12.2000;1834,75;23,66;26,64
27.12.2000;1823,25;24,04;26,47
28.12.2000;1823,75;23,71;25,85
29.12.2000;1809;23,87;26,8
01.01.2001;1809;23,87;26,8
02.01.2001;1752,25;24,3;27,21
03.01.2001;1722,75;25,03;28
04.01.2001;1755;25,35;28,14
05.01.2001;1744,25;25,18;27,95
08.01.2001;1778,25;24,43;27,32
09.01.2001;1786;24,59;27,64
10.01.2001;1782;25,34;29,48
11.01.2001;1782;25,61;29,41
12.01.2001;1808;25,75;30,05
15.01.2001;1808;26,18;30,05
16.01.2001;1808;26,2;30,29
17.01.2001;1786;24,79;29,6
18.01.2001;1843;25,62;30,45
19.01.2001;1831;27,04;32,19
22.01.2001;1842,75;26,53;32,19
23.01.2001;1834,5;26,67;29,57
24.01.2001;1806,25;26,26;29,05
25.01.2001;1808,75;26,46;29,36
26.01.2001;1804;26,98;29,77
29.01.2001;1789,5;26,6;29,06
30.01.2001;1799;26,89;29,06
31.01.2001;1807,5;26,66;28,66
01.02.2001;1811,5;28,1;29,82
02.02.2001;1801,5;29,19;31,19
05.02.2001;1782,75;28,45;30,55
06.02.2001;1779,5;28,7;30,35
07.02.2001;1783;29,91;31,27
08.02.2001;1783;29,84;31,59
09.02.2001;1766,5;29,25;31,03
12.02.2001;1762,5;29;30,51
13.02.2001;1779;28,46;30,36
14.02.2001;1766;27,28;29,71
15.02.2001;1784,75;26,64;28,8
16.02.2001;1777,25;26,89;29,16
19.02.2001;1777,25;27,31;29,16
20.02.2001;1777,25;26,62;28,58
21.02.2001;1739;26,37;28,53
22.02.2001;1738,2;26,46;28,82
23.02.2001;1731,75;26,52;29,04
26.02.2001;1753;26,11;28,42
27.02.2001;1749,25;26,02;28,13
28.02.2001;1758;25,57;27,39
01.03.2001;1782,5;25,85;27,62
02.03.2001;1789,5;26;27,84
05.03.2001;1820,25;26,71;28,6
06.03.2001;1826,5;26,48;28,32
