date,JPGCAO_Index,JPGCNG_Index,JPGCEC_Index,JPGCCH_Index,JPGCPR_Index,JPGCZM_Index,JPGCMOR_Index,JPGCEG_Index,JPGCCO_Index,JPGCMX_Index,JPGCBZ_Index
2000-11-24,,239.275,177.572,110.621,230.533,,198.371,,106.761,186.289,211.801
2000-12-01,,239.517,172.945,111.178,226.752,,197.908,,108.662,187.615,211.615
2000-12-08,,253.032,171.312,112.711,232.805,,200.442,,110.986,188.419,217.873
2000-12-15,,259.91,170.205,113.598,231.995,,199.698,,113.334,189.415,217.289
2000-12-22,,266.154,173.939,115.588,239.442,,196.319,,114.092,191.811,220.466
2000-12-29,,267.366,177.374,115.723,243.574,,199.347,,114.818,191.58,222.348
2001-01-05,,272.562,184.11,117.481,250.661,,202.754,,115.87,192.91,224.943
2001-01-12,,276.028,188.074,115.793,251.584,,203.423,,116.447,191.953,224.607
2001-01-19,,274.957,192.913,116.384,252.734,,205.695,,118.742,192.193,227.418
2001-01-26,,276.2,199.921,116.161,249.911,,206.931,,117.554,192.775,231.045
2001-02-02,,284.706,204.371,118.366,249.02,,207.215,,119.576,195.569,231.572
2001-02-09,,278.08,200.126,119.969,255.584,,206.748,,124.493,194.78,232.359
2001-02-16,,283.183,205.93,119.21,260.971,,206.464,,125.606,194.645,232.812
2001-02-23,,285.456,202.176,119.046,256.863,,206.849,,125.103,192.841,228.571
2001-03-02,,290.595,204.425,120.527,261.839,,207.701,,126.378,197.16,230.744
2001-03-09,,297.896,202.402,120.919,263.665,,209.222,,128.274,198.224,233.254
2001-03-16,,301.07,194.774,121.83,258.514,,207.518,,127.303,198.1,228.001
2001-03-23,,295.123,189.743,122.076,255.796,,206.768,,126.963,195.898,219.813
2001-03-30,,302.573,193.046,121.227,261.121,,207.194,,126.693,195.818,222.941
2001-04-06,,305.987,185.874,122.507,258.461,,208.856,,127.913,198.8,225.576
2001-04-13,,308.733,183.49,121.433,243.107,,209.14,,127.377,198.51,227.037
2001-04-20,,308.991,175.148,120.682,228.338,,208.105,,126.922,195.855,217.82
2001-04-27,,305.167,177.806,123.637,232.129,,208.106,,127.023,196.94,220.561
2001-05-04,,311.995,194.699,122.092,237.5,,209.49,,128.671,199.463,221.824
2001-05-11,,314.045,191.964,120.036,236.072,,209.786,,129.371,198.514,217.371
2001-05-18,,315.037,202.833,119.891,243.878,,212.222,,131.338,202.11,222.015
2001-05-25,,323.099,199.733,119.801,253.942,,217.257,,131.033,202.142,217.005
2001-06-01,,323.325,194.471,120.581,240.448,,218.213,,130.104,203.291,218.076
2001-06-08,,324.132,211.938,121.579,261.504,,219.99,,132.226,205.415,225.641
2001-06-15,,329.479,208.61,123.044,261.308,,220.056,,132.795,207.274,222.002
2001-06-22,,332.277,207.869,122.746,266.152,,217.687,,134.819,206.986,224.525
2001-06-29,,340.21,207.078,122.038,267.996,,221.198,,135.727,205.721,222.201
2001-07-06,,332.93,207.491,122.577,269.483,,218.22,,135.833,204.938,218.193
2001-07-13,,317.309,198.3,122.231,264.743,,210.951,,133.99,202.408,209.151
2001-07-20,,328.804,198.144,123.906,270.35,,218.097,,134.21,206.398,214.713
2001-07-27,,334.28,196.699,124.107,270.135,,219.366,,135.606,206.527,214.172
2001-08-03,,331.931,199.016,123.869,273.897,,218.77,99.799,136.582,207.888,215.021
2001-08-10,,335.384,196.588,124.693,276.513,,220.435,99.78,138.724,208.853,220.396
2001-08-17,,335.097,192.656,126.481,271.889,,219.243,100.077,139.774,209.564,216.953
2001-08-24,,333.307,198.402,125.728,277.438,,218.523,99.89,143.132,210.449,219.158
2001-08-31,,339.382,206.622,125.714,283.251,,219.119,100.933,143.813,210.662,219.603
2001-09-07,,343.356,206.027,126.012,284.138,,220.783,101.475,141.511,211.004,219.323
2001-09-14,,332.406,195.033,125.599,270.254,,214.227,93.673,140.028,206.827,209.227
2001-09-21,,336.793,194.771,125.016,274.337,,212.315,87.189,138.815,204.13,205.267
2001-09-28,,332.949,201.183,126.736,277.729,,209.645,93.167,140.606,205.568,205.134
2001-10-05,,340.822,198,126.464,273.556,,209.211,93.186,141.077,206.02,198.931
2001-10-12,,351.096,195.33,126.258,275.69,,210.403,96.482,142.491,208.692,203.4
2001-10-19,,355.631,206.205,127.016,282.736,,211.472,96.645,143.807,212.725,213.326
2001-10-26,,355.872,207.281,128.813,283.24,,213.856,98.125,144.242,213.86,211.918
