Dates;USGG10YR Index;USDAOA Curncy;USDNGN Curncy;USDOMR Curncy;USDBHD Curncy;USDKZT Curncy;USDCLP Curncy;USDPEN Curncy;USDZMW Curncy;USDMAD Curncy;USDEGP Curncy;USDKES Curncy;USDCOP Curncy;USDBRL Curncy
24.11.2000;5,624;14,37;115,3;0,385;0,377;144,15;576,6;3,5285;4,01;11,227;3,78;78;2147,35;1,9585
01.12.2000;5,503;14,9747;116;0,38505;0,37698;144,1;577,25;3,5245;4,2675;10,9894;3,8388;78,8;2172,5;1,9745
08.12.2000;5,299;15,3101;114,6;0,385;0,377;144,15;577,15;3,524;4,4;10,897;3,7813;79,7;2177;1,969
15.12.2000;5,18;15,6613;107,5;0,38505;0,377;144,25;573,95;3,501;4,48;10,8075;3,8413;78,55;2177,5;1,965
22.12.2000;5,006;16,0778;110,35;0,385;0,377;145,02;573,15;3,511;4,57;10,6485;3,79;78,55;2194;1,9585
29.12.2000;5,112;16,3659;110;0,38505;0,377;144,5;573,85;3,525;4,5;10,563;3,79;78,05;2236;1,95
05.01.2001;4,931;16,9702;110,23;0,38505;0,37701;145;573,45;3,5135;4,605;10,4869;3,89;78,7;2243;1,954
12.01.2001;5,25;17,007;110,7;0,385;0,377;145,1;573,24;3,5215;4,65;10,485;3,84;78,6;2251;1,9475
19.01.2001;5,168;17,3538;110,9;0,38505;0,377;145,09;570,25;3,5215;4,25;10,52;3,86;78,7;2237,5;1,9575
26.01.2001;5,268;17,3538;111;0,385;0,377;145,08;566,05;3,534;3,55;10,6937;3,86;78,75;2241,5;1,9735
02.02.2001;5,148;18,9266;111,05;0,385;0,377;145,17;564,25;3,5305;3,5;10,6165;3,86;78,1;2240,45;1,987
09.02.2001;5,03;18,9572;111;0,385;0,37701;145,42;559,8;3,5305;3,7;10,6853;3,865;78;2235;1,981
16.02.2001;5,109;18,3873;113,5;0,385;0,37701;145,28;563,08;3,527;3,725;10,722;3,8843;78,3;2240,25;2,0025
23.02.2001;5,097;20,4369;114,5;0,385;0,377;145,31;571,5;3,527;3,55;10,7797;3,8843;78,35;2256,5;2,0355
02.03.2001;4,947;20,0924;115,55;0,385;0,37701;145,3;578,2;3,519;3,545;10,6143;3,8425;77,95;2261,75;2,027
09.03.2001;4,929;19,63;116,58;0,385;0,377;145,6;593,25;3,5165;3,425;10,6475;3,85;77,5;2262,5;2,045
16.03.2001;4,77;19,63;120,65;0,385;0,37701;145,45;589,7;3,5208;3,43;10,9106;3,879;78,2;2281,75;2,129
23.03.2001;4,815;19,63;122,7;0,385;0,37701;145,54;595,3;3,525;3,355;10,918;3,879;77,5;2297,65;2,172
30.03.2001;4,917;19,63;122;0,385;0,37701;145,45;595,75;3,523;3,025;10,9995;3,8855;77,8;2312;2,1525
06.04.2001;4,89;18,25;117;0,3851;0,37701;145,4;595,65;3,5313;3;10,848;3,855;77,45;2315;2,1655
13.04.2001;5,163;18,25;126;0,3851;0,377;145,49;598,15;3,5415;3,085;10,9078;3,8843;77,5;2315;2,165
20.04.2001;5,288;18,25;117;0,385;0,377;145,5;601,35;3,5715;3,1;10,8655;3,8883;77,5;2330;2,235
27.04.2001;5,328;18,25;119,75;0,385;0,37701;145,55;600,45;3,5903;3,1425;11,5055;3,8883;77,7;2343,5;2,203
