Dates;EMB US Equity;SPX Index
20.11.2000;#N/A N/A;1342,62
21.11.2000;#N/A N/A;1347,35
22.11.2000;#N/A N/A;1322,36
23.11.2000;#N/A N/A;1322,36
24.11.2000;#N/A N/A;1341,77
27.11.2000;#N/A N/A;1348,97
28.11.2000;#N/A N/A;1336,09
29.11.2000;#N/A N/A;1341,91
30.11.2000;#N/A N/A;1314,95
01.12.2000;#N/A N/A;1315,23
04.12.2000;#N/A N/A;1324,97
05.12.2000;#N/A N/A;1376,54
06.12.2000;#N/A N/A;1351,46
07.12.2000;#N/A N/A;1343,55
08.12.2000;#N/A N/A;1369,89
11.12.2000;#N/A N/A;1380,2
12.12.2000;#N/A N/A;1371,18
13.12.2000;#N/A N/A;1359,99
14.12.2000;#N/A N/A;1340,93
15.12.2000;#N/A N/A;1312,15
18.12.2000;#N/A N/A;1322,74
19.12.2000;#N/A N/A;1305,6
20.12.2000;#N/A N/A;1264,74
21.12.2000;#N/A N/A;1274,86
22.12.2000;#N/A N/A;1305,97
25.12.2000;#N/A N/A;1305,97
26.12.2000;#N/A N/A;1315,19
27.12.2000;#N/A N/A;1328,92
28.12.2000;#N/A N/A;1334,22
29.12.2000;#N/A N/A;1320,28
01.01.2001;#N/A N/A;1320,28
02.01.2001;#N/A N/A;1283,27
03.01.2001;#N/A N/A;1347,56
04.01.2001;#N/A N/A;1333,34
05.01.2001;#N/A N/A;1298,35
08.01.2001;#N/A N/A;1295,86
09.01.2001;#N/A N/A;1300,8
10.01.2001;#N/A N/A;1313,27
11.01.2001;#N/A N/A;1326,82
12.01.2001;#N/A N/A;1318,32
15.01.2001;#N/A N/A;1318,32
16.01.2001;#N/A N/A;1326,65
17.01.2001;#N/A N/A;1329,47
18.01.2001;#N/A N/A;1347,97
19.01.2001;#N/A N/A;1342,54
22.01.2001;#N/A N/A;1342,9
23.01.2001;#N/A N/A;1360,4
24.01.2001;#N/A N/A;1364,3
25.01.2001;#N/A N/A;1357,51
26.01.2001;#N/A N/A;1354,95
29.01.2001;#N/A N/A;1364,17
30.01.2001;#N/A N/A;1373,73
31.01.2001;#N/A N/A;1366,01
01.02.2001;#N/A N/A;1373,47
02.02.2001;#N/A N/A;1349,47
05.02.2001;#N/A N/A;1354,31
06.02.2001;#N/A N/A;1352,26
07.02.2001;#N/A N/A;1340,89
08.02.2001;#N/A N/A;1332,53
09.02.2001;#N/A N/A;1314,76
12.02.2001;#N/A N/A;1330,31
