,country,date,year,quarter,month,week,cds_spread_5Y,cds_spread_1Y,msci_index,monetary_base_mn_localcurr,domestic_debt_bn_localcurr,external_debt_mn_usd,domestic_rate_in_units,risk_free_rate,fx_rate
0,Brazil,2014-01-03,2014,1.0,1.0,1.0,187.25,54.92,826.471,560240.341,3560.826,174931.2951,10.5,0.13,2.376425856
1,Brazil,2014-01-10,2014,1.0,1.0,2.0,191.83,57.62999,804.646,560240.341,3560.826,174931.2951,10.5,0.12,2.358434943
2,Brazil,2014-01-17,2014,1.0,1.0,3.0,194.64,58.73999,791.438,560240.341,3560.826,174931.2951,10.5,0.11,2.342523835
3,Brazil,2014-01-24,2014,1.0,1.0,4.0,206.22,68.06,781.836,560240.341,3560.826,174931.2951,10.5,0.11,2.398196556
4,Brazil,2014-01-31,2014,1.0,1.0,5.0,205.43,62.89999,739.29,560240.341,3560.826,174931.2951,10.5,0.1,2.412661648
5,Brazil,2014-02-07,2014,1.0,2.0,6.0,183.07,47.09,714.782,566323.7144,3560.826,174931.2951,10.5,0.12,2.380215648
6,Brazil,2014-02-14,2014,1.0,2.0,7.0,184.8,47.75,745.282,566323.7144,3560.826,174931.2951,10.5,0.11,2.389029576
7,Brazil,2014-02-21,2014,1.0,2.0,8.0,177.89,45.09,750.029,566323.7144,3560.826,174931.2951,10.5,0.12,2.345545809
8,Brazil,2014-02-28,2014,1.0,2.0,9.0,170.39,39.75,765.166,566323.7144,3560.826,174931.2951,10.5,0.12,2.338306131
9,Brazil,2014-03-07,2014,1.0,3.0,10.0,170.76,41.73999,757.713,573520.8279,3560.826,174931.2951,10.5,0.13,2.340550029
10,Brazil,2014-03-14,2014,1.0,3.0,11.0,180.9,45.07999,735.983,573520.8279,3560.826,174931.2951,10.5,0.12,2.346481451
11,Brazil,2014-03-21,2014,1.0,3.0,12.0,179.04,46.09,726.559,573520.8279,3560.826,174931.2951,10.5,0.14,2.324554267
12,Brazil,2014-03-28,2014,1.0,3.0,13.0,158.05,39.42999,778.453,573520.8279,3560.826,174931.2951,10.5,0.13,2.26177821
13,Brazil,2014-04-04,2014,2.0,4.0,14.0,161.72,35.76999,839.396,567398.6257,3560.826,174931.2951,10.75,0.11,2.236035955
14,Brazil,2014-04-11,2014,2.0,4.0,15.0,153.38,37.75999,871.718,567398.6257,3560.826,174931.2951,10.75,0.09,2.218327824
15,Brazil,2014-04-18,2014,2.0,4.0,16.0,152.94,31.65999,873.691,567398.6257,3560.826,174931.2951,10.75,0.11,2.237236565
16,Brazil,2014-04-25,2014,2.0,4.0,17.0,148.89,36.14,869.7,567398.6257,3560.826,174931.2951,10.75,0.11,2.244467388
17,Brazil,2014-05-02,2014,2.0,5.0,18.0,141.45,32.64999,856.353,562889.3722,3560.826,174931.2951,10.75,0.1,2.22000222
18,Brazil,2014-05-09,2014,2.0,5.0,19.0,144.55,34.09,885.544,562889.3722,3560.826,174931.2951,10.75,0.1,2.212781023
19,Brazil,2014-05-16,2014,2.0,5.0,20.0,146.38,35.54999,899.05,562889.3722,3560.826,174931.2951,10.75,0.09,2.214545132
20,Brazil,2014-05-23,2014,2.0,5.0,21.0,146.37,36.04999,891.463,562889.3722,3560.826,174931.2951,10.75,0.1,2.223556356
21,Brazil,2014-05-30,2014,2.0,5.0,22.0,139.78,32.54999,879.926,562889.3722,3560.826,174931.2951,10.75,0.1,2.24074572
22,Brazil,2014-06-06,2014,2.0,6.0,23.0,133.74,30.12,840.378,573469.7957,3560.826,174931.2951,10.75,0.11,2.247494044
23,Brazil,2014-06-13,2014,2.0,6.0,24.0,135.25,32.09999,897.34,573469.7957,3560.826,174931.2951,10.75,0.11,2.224050886
24,Brazil,2014-06-20,2014,2.0,6.0,25.0,138.99,36.39999,901.134,573469.7957,3560.826,174931.2951,10.75,0.09,2.229505273
25,Brazil,2014-06-27,2014,2.0,6.0,26.0,138.97,35.89999,898.794,573469.7957,3560.826,174931.2951,10.75,0.1,2.193944713
26,Brazil,2014-07-04,2014,3.0,7.0,27.0,140.98,37.39,887.66,580932.4842,3560.826,174931.2951,10.75,0.11,2.213221787
27,Brazil,2014-07-11,2014,3.0,7.0,28.0,146.36,38.89999,888.035,580932.4842,3560.826,174931.2951,10.75,0.11,2.220840366
28,Brazil,2014-07-18,2014,3.0,7.0,29.0,138.35,34.89999,919.829,580932.4842,3560.826,174931.2951,10.75,0.1,2.225486269
29,Brazil,2014-07-25,2014,3.0,7.0,30.0,136.86,36.12999,945.464,580932.4842,3560.826,174931.2951,10.75,0.11,2.229008314
30,Brazil,2014-08-01,2014,3.0,8.0,31.0,151.88,50.60999,942.33,548547.7721,3560.826,174931.2951,10.75,0.13,2.257438259
31,Brazil,2014-08-08,2014,3.0,8.0,32.0,148.95,52.07999,911.608,548547.7721,3560.826,174931.2951,10.75,0.1,2.281230039
32,Brazil,2014-08-15,2014,3.0,8.0,33.0,144.07,46.60999,904.733,548547.7721,3560.826,174931.2951,10.75,0.09,2.259784868
33,Brazil,2014-08-22,2014,3.0,8.0,34.0,139.51,46.09999,925.424,548547.7721,3560.826,174931.2951,10.75,0.1,2.277748673
34,Brazil,2014-08-29,2014,3.0,8.0,35.0,128.38,34.37,950.706,548547.7721,3560.826,174931.2951,10.75,0.09,2.235985958
35,Brazil,2014-09-05,2014,3.0,9.0,36.0,128.05,33.87,992.106,538873.8267,3560.826,174931.2951,10.75,0.1,2.240544901
36,Brazil,2014-09-12,2014,3.0,9.0,37.0,145.62,46.12,956.475,538873.8267,3560.826,174931.2951,10.75,0.11,2.339236006
37,Brazil,2014-09-19,2014,3.0,9.0,38.0,141.79,44.09,896.902,538873.8267,3560.826,174931.2951,10.75,0.11,2.368153077
38,Brazil,2014-09-26,2014,3.0,9.0,39.0,162.8,56.09999,863.143,538873.8267,3560.826,174931.2951,10.75,0.11,2.420018392
39,Brazil,2014-10-03,2014,4.0,10.0,40.0,173.59,60.59,809.651,530513.5456,3560.826,174931.2951,11.0,0.11,2.45887531
40,Brazil,2014-10-10,2014,4.0,10.0,41.0,158.57,55.35999,854.659,530513.5456,3560.826,174931.2951,11.0,0.1,2.429425198
41,Brazil,2014-10-17,2014,4.0,10.0,42.0,153.26,52.34999,874.728,530513.5456,3560.826,174931.2951,11.0,0.11,2.435638259
42,Brazil,2014-10-24,2014,4.0,10.0,43.0,160.83,56.09999,796.326,530513.5456,3560.826,174931.2951,11.0,0.11,2.473900351
43,Brazil,2014-10-31,2014,4.0,10.0,44.0,152.56,53.09999,718.711,530513.5456,3560.826,174931.2951,11.0,0.11,2.478314746
44,Brazil,2014-11-07,2014,4.0,11.0,45.0,170.88,62.56999,776.805,531322.9287,3560.826,174931.2951,11.0,0.12,2.558722686
45,Brazil,2014-11-14,2014,4.0,11.0,46.0,183.4,70.56,748.391,531322.9287,3560.826,174931.2951,11.0,0.15,2.601727547
46,Brazil,2014-11-21,2014,4.0,11.0,47.0,156.48,52.84999,710.241,531322.9287,3560.826,174931.2951,11.0,0.14,2.515280328
47,Brazil,2014-11-28,2014,4.0,11.0,48.0,151.58,48.60999,782.307,531322.9287,3560.826,174931.2951,11.0,0.13,2.565813106
48,Brazil,2014-12-05,2014,4.0,12.0,49.0,163.49,59.07999,733.288,548460.6034,3560.826,174931.2951,11.0,0.18,2.589466052
49,Brazil,2014-12-12,2014,4.0,12.0,50.0,209.0,90.00999,697.156,548460.6034,3560.826,174931.2951,11.0,0.19,2.654491399
50,Brazil,2014-12-19,2014,4.0,12.0,51.0,182.57,85.01999,629.815,548460.6034,3560.826,174931.2951,11.0,0.26,2.659786685
51,Brazil,2014-12-26,2014,4.0,12.0,52.0,182.43,88.03,679.749,548460.6034,3560.826,174931.2951,11.0,0.26,2.668516838
52,Brazil,2015-01-02,2015,1.0,1.0,1.0,207.97,107.97,676.648,525862.7771,4300.759,172887.433,12.25,0.25,2.694110674
53,Brazil,2015-01-09,2015,1.0,1.0,2.0,201.92,99.0,628.864,525862.7771,4300.759,172887.433,12.25,0.22,2.630125457
54,Brazil,2015-01-16,2015,1.0,1.0,3.0,205.65,98.5,648.938,525862.7771,4300.759,172887.433,12.25,0.17,2.620957174
55,Brazil,2015-01-23,2015,1.0,1.0,4.0,193.65,88.53,651.848,525862.7771,4300.759,172887.433,12.25,0.17,2.579713136
56,Brazil,2015-01-30,2015,1.0,1.0,5.0,212.77,102.49,670.825,525862.7771,4300.759,172887.433,12.25,0.18,2.682403433
57,Brazil,2015-02-06,2015,1.0,2.0,6.0,229.48,114.46,633.764,522377.7389,4300.759,172887.433,12.25,0.26,2.782492557
58,Brazil,2015-02-13,2015,1.0,2.0,7.0,235.35,111.96,635.083,522377.7389,4300.759,172887.433,12.25,0.23,2.834547464
59,Brazil,2015-02-20,2015,1.0,2.0,8.0,235.89,113.96,635.105,522377.7389,4300.759,172887.433,12.25,0.23,2.86795916
60,Brazil,2015-02-27,2015,1.0,2.0,9.0,235.88,113.96,636.307,522377.7389,4300.759,172887.433,12.25,0.22,2.838973427
61,Brazil,2015-03-06,2015,1.0,3.0,10.0,253.64,128.43,629.378,524322.3247,4300.759,172887.433,12.25,0.27,3.061755611
62,Brazil,2015-03-13,2015,1.0,3.0,11.0,302.25,154.35,562.758,524322.3247,4300.759,172887.433,12.25,0.24,3.249179582
