COUNTRY,INDICATOR,FREQUENCY,SCALE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Honduras,Population - Persons for countries / Index for country groups,Annual,Millions,6.575,6.752,6.929,7.106,7.283,7.459,7.634,7.809,7.981,8.151,8.317,8.481,8.641,8.799,8.956,9.113,9.273,9.436,9.602,9.77,9.942,10.117,10.294,10.475,10.659
Bahamas,Population - Persons for countries / Index for country groups,Annual,Millions,0.304,0.308,0.313,0.318,0.323,0.328,0.332,0.337,0.342,0.347,0.351,0.355,0.359,0.362,0.366,0.37,0.373,0.377,0.381,0.385,0.389,0.394,0.399,0.404,0.408
Puerto Rico,Population - Persons for countries / Index for country groups,Annual,Millions,3.811,3.819,3.824,3.826,3.827,3.821,3.805,3.783,3.761,3.74,3.722,3.679,3.634,3.593,3.535,3.474,3.411,3.3,3.2,3.2,3.159,3.2,3.2,3.206,3.177
Sri Lanka,Population - Persons for countries / Index for country groups,Annual,Millions,18.778,18.912,19.062,19.224,19.387,19.545,19.696,19.842,19.984,20.124,20.262,20.398,20.425,20.585,20.778,20.97,21.203,21.444,21.67,21.803,21.919,22.156,22.396,22.638,22.882
Serbia,Population - Persons for countries / Index for country groups,Annual,Millions,7.516,7.503,7.5,7.481,7.463,7.441,7.412,7.382,7.35,7.321,7.291,7.237,7.201,7.167,7.132,7.095,7.058,7.021,6.983,6.945,6.899,6.834,6.664,6.623,6.576
United Kingdom,Current account balance (credit less debit) - Percent of GDP,Annual,Units,-1.831,-1.773,-1.973,-1.823,-2.302,-1.998,-3.12,-3.729,-3.862,-3.068,-2.761,-1.63,-3.146,-4.644,-5.022,-4.948,-5.448,-3.493,-3.927,-2.688,-2.934,-0.437,-2.102,-3.509,-2.656
United States,Population - Persons for countries / Index for country groups,Annual,Millions,282.296,285.216,288.019,290.733,293.389,296.115,298.93,301.903,304.718,307.374,309.737,311.944,314.167,316.331,318.619,320.926,323.221,325.28,327.023,328.547,331.307,332.453,334.273,337.014,340.102
G7,Net lending (+) / net borrowing (-) - General government - Percent of GDP,Annual,Units,,-2.002,-4.133,-4.715,-3.961,-3.252,-2.207,-2.231,-4.499,-9.825,-8.787,-7.359,-6.444,-4.336,-3.61,-3.016,-3.323,-3.355,-3.364,-3.801,-11.716,-8.871,-3.716,-6.135,-6.188
United States,Expenditure - General government - Percent of GDP,Annual,Units,,32.801,33.698,34.037,33.719,33.928,33.692,34.562,37.144,41.399,39.763,38.796,37.223,35.782,35.324,35.031,35.333,35.194,35.349,35.819,44.722,43.201,36.79,37.65,37.918
Austria,Current account balance (credit less debit) - Percent of GDP,Annual,Units,-0.71,-0.8,2.118,1.557,2.092,2.274,3.318,3.826,4.52,2.613,2.873,1.641,1.492,1.748,2.397,1.577,2.574,1.264,0.846,2.376,3.367,1.735,-0.862,1.341,2.409
G7,Current account balance (credit less debit) - Percent of GDP,Annual,Units,-1.361,-1.376,-1.408,-1.481,-1.296,-1.706,-1.86,-1.339,-1.607,-0.633,-0.674,-0.75,-0.877,-0.621,-0.633,-0.512,-0.123,0.09,-0.103,0.039,-0.738,-0.74,-1.992,-1.434,-1.629
United States,Gross debt - General government - Percent of GDP,Annual,Units,,53.485,55.859,58.956,66.439,65.778,64.531,64.948,73.845,87.07,95.644,100.02,103.659,105.003,104.93,105.424,107.38,106.374,107.625,108.751,132.513,125.009,119.104,119.836,122.322
United Kingdom,Expenditure - General government - Percent of GDP,Annual,Units,33.936,34.66,35.941,37.213,38.037,38.439,38.415,38.654,40.958,44.629,44.705,43.503,43.553,41.84,41.184,40.425,39.632,39.155,38.871,38.763,49.987,45.753,44.099,44.829,44.04
Advanced Economies,Gross debt - General government - Percent of GDP,Annual,Units,,70.273,71.312,73.425,76.799,76.269,73.547,71.231,77.935,91.158,97.515,101.453,105.725,104.187,103.694,103.292,105.633,103.23,102.746,103.814,122.16,115.62,109.327,108.513,109.053
Advanced Economies,Structural balance - General government - Percent,Annual,Units,,-2.294,-3.462,-3.8,-3.603,-2.847,-2.34,-2.676,-4.162,-5.924,-6.689,-5.632,-4.409,-3.153,-2.543,-2.179,-2.344,-2.392,-2.474,-3.156,-7.514,-6.679,-4.405,-5.002,-4.935
Advanced Economies,Primary Net lending (+) / net borrowing (-) - General government - Percent of GDP,Annual,Units,,0.591,-1.405,-2.05,-1.423,-0.66,0.283,0.435,-1.816,-6.99,-5.953,-4.401,-3.689,-2.089,-1.472,-1.085,-1.132,-1.007,-0.939,-1.547,-9.029,-5.936,-1.102,-3.014,-2.927
Advanced Economies,Output gap - Percent of potential GDP,Annual,Units,1.9,0.671,-0.241,-0.672,0.12,0.56,1.591,2.516,1.369,-3.31,-1.666,-1.405,-1.732,-1.989,-1.551,-1.27,-1.21,-0.504,0.036,0.188,-3.866,-0.573,0.443,0.142,0.075
