country,year,indicator,value
Angola,2000,NGDPD,12646000000.0
Angola,2001,NGDPD,12378000000.0
Angola,2002,NGDPD,17312000000.0
Angola,2003,NGDPD,20342000000.0
Angola,2004,NGDPD,26998000000.0
Angola,2005,NGDPD,41397000000.0
Angola,2006,NGDPD,58654000000.0
Angola,2007,NGDPD,73038000000.0
Angola,2008,NGDPD,98790000000.0
Angola,2009,NGDPD,81705000000.0
Angola,2010,NGDPD,95547000000.0
Angola,2011,NGDPD,125552000000.0
Angola,2012,NGDPD,143573000000.0
Angola,2013,NGDPD,153761000000.0
Angola,2014,NGDPD,164448000000.0
Angola,2015,NGDPD,131661000000.0
Angola,2016,NGDPD,114764000000.0
Angola,2017,NGDPD,139835000000.0
Angola,2018,NGDPD,114189000000.0
Angola,2019,NGDPD,94671000000.0
Angola,2020,NGDPD,66521000000.0
Angola,2021,NGDPD,84375000000.0
Angola,2022,NGDPD,142442000000.0
Angola,2023,NGDPD,112483000000.0
Angola,2024,NGDPD,115214000000.0
United Arab Emirates,2000,NGDPD,102987000000.0
United Arab Emirates,2001,NGDPD,103312000000.0
United Arab Emirates,2002,NGDPD,109816000000.0
United Arab Emirates,2003,NGDPD,124346000000.0
United Arab Emirates,2004,NGDPD,147812000000.0
United Arab Emirates,2005,NGDPD,180616000000.0
United Arab Emirates,2006,NGDPD,222117000000.0
United Arab Emirates,2007,NGDPD,257883000000.0
United Arab Emirates,2008,NGDPD,315464000000.0
United Arab Emirates,2009,NGDPD,253547000000.0
United Arab Emirates,2010,NGDPD,307736000000.0
United Arab Emirates,2011,NGDPD,368881000000.0
United Arab Emirates,2012,NGDPD,392793000000.0
United Arab Emirates,2013,NGDPD,409633000000.0
United Arab Emirates,2014,NGDPD,424936000000.0
United Arab Emirates,2015,NGDPD,381973000000.0
United Arab Emirates,2016,NGDPD,381717000000.0
United Arab Emirates,2017,NGDPD,403365000000.0
United Arab Emirates,2018,NGDPD,440560000000.0
United Arab Emirates,2019,NGDPD,433926000000.0
United Arab Emirates,2020,NGDPD,357162000000.0
United Arab Emirates,2021,NGDPD,422441000000.0
United Arab Emirates,2022,NGDPD,511403000000.0
United Arab Emirates,2023,NGDPD,522622000000.0
United Arab Emirates,2024,NGDPD,552325000000.0
Argentina,2000,NGDPD,317759000000.0
Argentina,2001,NGDPD,300421000000.0
Argentina,2002,NGDPD,112458000000.0
