treatment_group,treatment_size,beta,pval,n_obs,is_true
Abu Dhabi,1,-0.03277279186505794,0.022188025417807955,9129,False
Brazil,1,0.033766977683142144,0.018379024908987907,9129,False
Chile,1,0.043467880699979325,0.00224622635541194,9129,False
China,1,-0.0333504898887676,0.01989964391786514,9129,False
Colombia,1,0.11035386649576591,0.0,9129,False
Dubai,1,-0.07096380485458204,2.81879654506767e-07,9129,False
Egypt,1,-0.0683491714234381,8.266535718171042e-07,9129,False
Indonesia,1,0.039107117162847656,0.006139752647665864,9129,False
Malaysia,1,0.08600413064747994,1.9173773679881378e-10,9129,False
Mexico,1,0.08280826821596995,1.0700291763754421e-09,9129,False
Philippines,1,0.04983295208646533,0.00042863723512809315,9129,False
Qatar,1,0.01036173598807445,0.47335581329188936,9129,False
Saudi Arabia,1,-0.03717661600565502,0.009280425526048353,9129,False
South Africa,1,-0.03860200209850398,0.006853386372207115,9129,False
South Korea,1,-0.04433888853667427,0.001814978762798125,9129,False
Thailand,1,-0.03639846977921981,0.010902723355562971,9129,False
Turkey,1,-0.09375069452782511,1.930233750613297e-12,9129,False
"Abu Dhabi,Brazil",2,0.0005302324363115094,0.9842328523401005,9129,False
"Abu Dhabi,Chile",2,0.0057040473786246415,0.8466870924088705,9129,False
"Abu Dhabi,China",2,-0.03526575026870684,0.019619500174448357,9129,False
"Abu Dhabi,Colombia",2,0.04137657313637724,0.4035744719473626,9129,False
"Abu Dhabi,Dubai",2,-0.055326184917141114,0.004169978609914304,9129,False
"Abu Dhabi,Egypt",2,-0.05393171375386439,0.004104234390670092,9129,False
"Abu Dhabi,Indonesia",2,0.0033783068254877977,0.9049386485824535,9129,False
"Abu Dhabi,Malaysia",2,0.0283900473506249,0.4994399794333817,9129,False
"Abu Dhabi,Mexico",2,0.02668558738715299,0.5157888529750818,9129,False
"Abu Dhabi,Philippines",2,0.009098752118083937,0.7713175408243036,9129,False
"Abu Dhabi,Qatar",2,-0.011952563134391225,0.5685415055220635,9129,False
"Abu Dhabi,Saudi Arabia",2,-0.03730635086438027,0.013754348058191868,9129,False
"Abu Dhabi,South Africa",2,-0.03806655678056637,0.012155828371519517,9129,False
"Abu Dhabi,South Korea",2,-0.04112622954759058,0.0078630154945305,9129,False
"Abu Dhabi,Thailand",2,-0.03689133954361487,0.014746317836086265,9129,False
"Abu Dhabi,Turkey",2,-0.06747919274287112,0.006172996176843304,9129,False
"Brazil,Chile",2,0.041191924470997884,0.007215935586246003,9129,False
"Brazil,China",2,0.00022212682366639942,0.9934326421012443,9129,False
"Brazil,Colombia",2,0.07686445022875057,0.0076417637668271254,9129,False
"Brazil,Dubai",2,-0.01983830782476787,0.599677404358949,9129,False
"Brazil,Egypt",2,-0.018443836661491148,0.6182949480561377,9129,False
"Brazil,Indonesia",2,0.03886618391786102,0.01028050799332636,9129,False
"Brazil,Malaysia",2,0.0638779244429982,0.004404689159993369,9129,False
"Brazil,Mexico",2,0.0621734644795262,0.0041186465108948855,9129,False
"Brazil,Philippines",2,0.04458662921045715,0.00485802791950718,9129,False
"Brazil,Qatar",2,0.023535313957982067,0.1693958631757082,9129,False
"Brazil,Saudi Arabia",2,-0.0018184737720069344,0.9482742630730647,9129,False
"Brazil,South Africa",2,-0.0025786796881930394,0.9277138848888136,9129,False
"Brazil,South Korea",2,-0.0056383524552172,0.8510568648743368,9129,False
"Brazil,Thailand",2,-0.0014034624512415182,0.9597611503554839,9129,False
"Brazil,Turkey",2,-0.03199131565049768,0.47435281042144806,9129,False
"Chile,China",2,0.005395941765979562,0.8556628214838629,9129,False
"Chile,Colombia",2,0.0820382651710637,0.001558034284226073,9129,False
