treatment_group,treatment_size,beta,pval,n_obs,is_true
Abu Dhabi,1,-0.08687537750819033,0.030507452929681378,442,False
Brazil,1,0.18241584760375806,3.5221409253605174e-06,442,False
Chile,1,-0.08214859669749608,0.040909611241402466,442,False
China,1,-0.1663601977854153,2.5518229079146693e-05,442,False
Colombia,1,0.24266899723456817,2.8864177714638117e-10,442,False
Dubai,1,0.0539492359527815,0.18069528872089546,442,False
Egypt,1,-0.026851685055485214,0.5059711192904763,442,False
Indonesia,1,0.1112082769608541,0.00543660502500698,442,False
Malaysia,1,0.33024600325605924,0.0,442,False
Mexico,1,0.21949040184676186,1.6010792469600688e-08,442,False
Philippines,1,0.11621092702716285,0.0036416989623133666,442,False
Qatar,1,-0.12759381239304196,0.00137661670111755,442,False
Saudi Arabia,1,-0.12474208620041345,0.0017707882670205954,442,False
South Africa,1,-0.13627058635724226,0.0006185318248066451,442,False
South Korea,1,-0.18869972893691808,1.5338445353840768e-06,442,False
Thailand,1,-0.0926498151671593,0.020936843225487944,442,False
Turkey,1,-0.22399780378058293,7.63995666730466e-09,442,False
"Abu Dhabi,Brazil",2,0.05095491738430273,0.6072152073109196,442,False
"Abu Dhabi,Chile",2,-0.0901461195763659,0.033804851564076754,442,False
"Abu Dhabi,China",2,-0.13505897348992288,0.006137413485271637,442,False
"Abu Dhabi,Colombia",2,0.08308993052073492,0.47890103236787973,442,False
"Abu Dhabi,Dubai",2,-0.017560608829551287,0.7822934066393463,442,False
"Abu Dhabi,Egypt",2,-0.06065443336729361,0.19883042003661555,442,False
"Abu Dhabi,Indonesia",2,0.012977546374754059,0.8688444139772278,442,False
"Abu Dhabi,Malaysia",2,0.12979766706552984,0.3693323821350287,442,False
"Abu Dhabi,Mexico",2,0.07072801298057146,0.5212636387215808,442,False
"Abu Dhabi,Philippines",2,0.01564562641011868,0.8449123090599313,442,False
"Abu Dhabi,Qatar",2,-0.11438356794732372,0.009602390483721912,442,False
"Abu Dhabi,Saudi Arabia",2,-0.11286264731125513,0.010165279607206257,442,False
"Abu Dhabi,South Africa",2,-0.11901118072823068,0.008247570203764099,442,False
"Abu Dhabi,South Korea",2,-0.14697339010405763,0.005925211855984047,442,False
"Abu Dhabi,Thailand",2,-0.09574676942685305,0.023951962957656336,442,False
"Abu Dhabi,Turkey",2,-0.16579903002067892,0.006717455689358998,442,False
"Brazil,Chile",2,0.053475867150006406,0.58415120357167,442,False
"Brazil,China",2,0.008563013236449537,0.9447236256834786,442,False
"Brazil,Colombia",2,0.22671191724710704,2.1104845870922873e-07,442,False
"Brazil,Dubai",2,0.12606137789682123,0.034789777407117084,442,False
"Brazil,Egypt",2,0.08296755335907868,0.3083390178160057,442,False
"Brazil,Indonesia",2,0.15659953310112648,0.0009599968186990715,442,False
"Brazil,Malaysia",2,0.2734196537919022,8.187248902169486e-06,442,False
"Brazil,Mexico",2,0.21434999970694368,1.9584347032974847e-07,442,False
"Brazil,Philippines",2,0.15926761313649088,0.0006245278886787275,442,False
"Brazil,Qatar",2,0.029238418779048637,0.7931693993185358,442,False
"Brazil,Saudi Arabia",2,0.03075933941511713,0.780998210719839,442,False
"Brazil,South Africa",2,0.024610805998141794,0.8293468810226539,442,False
