Classification,Threshold,N,N_treatment,N_control,Beta_A,pval_A,Beta_B,pval_B
Oil Exporters,Full,9129,4833,4296,0.02534057664037753,0.33215226215235294,0.02534057664037752,0.34713697751680406
Oil Exporters,Top 10%,901,477,424,0.14116827092112488,0.001331789662938787,0.14116827092112474,0.0019977281710494843
Oil Exporters,Top 5%,442,234,208,0.1472683388303994,0.02610620097146965,0.1472683388303993,0.03351305647761138
Oil Exporters,Top 1%,85,45,40,0.6081870007278738,0.058387577884983166,0.6081870007278734,0.09204322557059696
GCC,Full,9129,2148,6981,-0.04016968514991388,0.059736639528330526,-0.040169685149913974,0.06796964536778116
GCC,Top 10%,901,212,689,-0.0038855858454875367,0.9190946099701534,-0.003885585845487484,0.9220760463850421
GCC,Top 5%,442,104,338,-0.08777293543041968,0.13530611650533642,-0.08777293543041965,0.15354574048002534
GCC,Top 1%,85,20,65,0.10010729640037089,0.79121682778452,0.1001072964003709,0.8142558645752653
Low GDP pc,Full,9129,3759,5370,0.02050543317189908,0.44994125353487124,0.020505433171899134,0.4639066695297851
Low GDP pc,Top 10%,901,371,530,0.05121530665894739,0.3428254125389727,0.051215306658947496,0.3609632003021228
Low GDP pc,Top 5%,442,182,260,0.09068159137061836,0.1995222497422513,0.09068159137061854,0.22024572797994324
Low GDP pc,Top 1%,85,35,50,-0.11405158036089767,0.7331090790003425,-0.1140515803608975,0.7621711973464476
High Debt/GDP,Full,9129,4296,4833,0.04066518124882716,0.11460334406771255,0.040665181248827086,0.12610908401741527
High Debt/GDP,Top 10%,901,424,477,0.07827838848246449,0.14536570142502825,0.07827838848246463,0.16083162922914762
High Debt/GDP,Top 5%,442,208,234,0.11505443741110268,0.11376924968371283,0.11505443741110255,0.13073935380574309
High Debt/GDP,Top 1%,85,40,45,0.30838624034464734,0.37425827196288886,0.30838624034464784,0.4301033031324324
Low CA/GDP,Full,9129,4296,4833,-0.0023121101749450095,0.9330227736483017,-0.002312110174945008,0.9350645909137745
Low CA/GDP,Top 10%,901,424,477,-0.015540286416073336,0.7806843446404512,-0.015540286416073237,0.7885964011827649
Low CA/GDP,Top 5%,442,208,234,-0.005694525613063452,0.939937888309458,-0.005694525613063446,0.9426057335858871
Low CA/GDP,Top 1%,85,40,45,-0.6832153312132411,0.02700783345030011,-0.683215331213241,0.048788619670665945
Low Fiscal Bal,Full,9129,6981,2148,0.04237346131330441,0.047492890542021104,0.04237346131330452,0.05469082035865047
Low Fiscal Bal,Top 10%,901,689,212,0.042277329444113367,0.3914691464442832,0.042277329444113367,0.40921442496513416
Low Fiscal Bal,Top 5%,442,338,104,0.10745221011857488,0.08494631937883734,0.10745221011857496,0.09973501192512124
Low Fiscal Bal,Top 1%,85,65,20,0.1043646937686202,0.7835200372857662,0.10436469376862045,0.8073713804747793
Asian,Full,9129,3222,5907,0.014753054955668077,0.5766937146685394,0.014753054955668114,0.5883939464175434
Asian,Top 10%,901,318,583,-0.020914473845175512,0.7326174334489484,-0.020914473845175467,0.7421442998292176
Asian,Top 5%,442,156,286,0.026655870388989745,0.7502783916112845,0.026655870388989693,0.7610434006927171
Asian,Top 1%,85,30,55,0.4768944118746169,0.2027006503106823,0.47689441187461695,0.2576268609605834
Latin America,Full,9129,2148,6981,0.08319907479841737,2.0644594703522756e-05,0.08319907479841747,3.663869220038585e-05
Latin America,Top 10%,901,212,689,0.1401605703265374,0.005328475888057849,0.14016057032653712,0.007284109643605152
Latin America,Top 5%,442,104,338,0.17305435384233592,0.01863363260109252,0.17305435384233575,0.024552194528979054
Latin America,Top 1%,85,20,65,-0.20091060955422546,0.5122707962269022,-0.2009106095542253,0.5607431777157323
Low Credit Rating,Full,9129,4833,4296,0.01750418751448963,0.5085302221290711,0.017504187514489598,0.5215694532717152
Low Credit Rating,Top 10%,901,477,424,0.037996086380557806,0.48560332260518546,0.037996086380557806,0.501876603151858
Low Credit Rating,Top 5%,442,234,208,0.08716101340280766,0.23376263239916906,0.08716101340280764,0.2552139283274035
Low Credit Rating,Top 1%,85,45,40,-0.30939657167370316,0.37891107715124783,-0.30939657167370294,0.4345969583049982
