country,year,indicator,value
AGO,2000,NGDPD,1.2646e+10
AGO,2001,NGDPD,1.2378e+10
AGO,2002,NGDPD,1.7312e+10
AGO,2003,NGDPD,2.0342e+10
AGO,2004,NGDPD,2.6998e+10
AGO,2005,NGDPD,4.1397e+10
AGO,2006,NGDPD,5.8654e+10
AGO,2007,NGDPD,7.3038e+10
AGO,2008,NGDPD,9.879e+10
AGO,2009,NGDPD,8.1705e+10
AGO,2010,NGDPD,9.5547e+10
AGO,2011,NGDPD,1.25552e+11
AGO,2012,NGDPD,1.43573e+11
AGO,2013,NGDPD,1.53761e+11
AGO,2014,NGDPD,1.64448e+11
AGO,2015,NGDPD,1.31661e+11
AGO,2016,NGDPD,1.14764e+11
AGO,2017,NGDPD,1.39835e+11
AGO,2018,NGDPD,1.14189e+11
AGO,2019,NGDPD,9.4671e+10
AGO,2020,NGDPD,6.6521e+10
AGO,2021,NGDPD,8.4375e+10
AGO,2022,NGDPD,1.42442e+11
AGO,2023,NGDPD,1.12483e+11
AGO,2024,NGDPD,1.15214e+11
ARE,2000,NGDPD,1.02987e+11
ARE,2001,NGDPD,1.03312e+11
ARE,2002,NGDPD,1.09816e+11
ARE,2003,NGDPD,1.24346e+11
ARE,2004,NGDPD,1.47812e+11
ARE,2005,NGDPD,1.80616e+11
ARE,2006,NGDPD,2.22117e+11
ARE,2007,NGDPD,2.57883e+11
ARE,2008,NGDPD,3.15464e+11
ARE,2009,NGDPD,2.53547e+11
ARE,2010,NGDPD,3.07736e+11
ARE,2011,NGDPD,3.68881e+11
ARE,2012,NGDPD,3.92793e+11
ARE,2013,NGDPD,4.09633e+11
ARE,2014,NGDPD,4.24936e+11
ARE,2015,NGDPD,3.81973e+11
ARE,2016,NGDPD,3.81717e+11
ARE,2017,NGDPD,4.03365e+11
ARE,2018,NGDPD,4.4056e+11
ARE,2019,NGDPD,4.33926e+11
ARE,2020,NGDPD,3.57162e+11
ARE,2021,NGDPD,4.22441e+11
ARE,2022,NGDPD,5.11403e+11
ARE,2023,NGDPD,5.22622e+11
ARE,2024,NGDPD,5.52325e+11
ARG,2000,NGDPD,3.17759e+11
ARG,2001,NGDPD,3.00421e+11
ARG,2002,NGDPD,1.12458e+11
ARG,2003,NGDPD,1.42431e+11
ARG,2004,NGDPD,1.64911e+11
ARG,2005,NGDPD,1.99273e+11
ARG,2006,NGDPD,2.32892e+11
ARG,2007,NGDPD,2.87921e+11
ARG,2008,NGDPD,3.63545e+11
ARG,2009,NGDPD,3.34633e+11
ARG,2010,NGDPD,4.24729e+11
ARG,2011,NGDPD,5.27644e+11
ARG,2012,NGDPD,5.79666e+11
ARG,2013,NGDPD,6.11471e+11
ARG,2014,NGDPD,5.63614e+11
ARG,2015,NGDPD,6.42464e+11
ARG,2016,NGDPD,5.56774e+11
ARG,2017,NGDPD,6.43861e+11
ARG,2018,NGDPD,5.24431e+11
ARG,2019,NGDPD,4.46762e+11
ARG,2020,NGDPD,3.85218e+11
ARG,2021,NGDPD,4.8604e+11
ARG,2022,NGDPD,6.3352e+11
ARG,2023,NGDPD,6.48895e+11
ARG,2024,NGDPD,6.37234e+11
BHR,2000,NGDPD,9.448e+09
BHR,2001,NGDPD,9.579e+09
BHR,2002,NGDPD,1.0001e+10
BHR,2003,NGDPD,1.1546e+10
BHR,2004,NGDPD,1.3709e+10
BHR,2005,NGDPD,1.6647e+10
BHR,2006,NGDPD,1.9291e+10
BHR,2007,NGDPD,2.2653e+10
BHR,2008,NGDPD,2.6803e+10
BHR,2009,NGDPD,2.3913e+10
BHR,2010,NGDPD,2.6806e+10
BHR,2011,NGDPD,2.9915e+10
BHR,2012,NGDPD,3.1963e+10
BHR,2013,NGDPD,3.3823e+10
BHR,2014,NGDPD,3.4773e+10
BHR,2015,NGDPD,3.2523e+10
BHR,2016,NGDPD,3.3885e+10
BHR,2017,NGDPD,3.7205e+10
BHR,2018,NGDPD,3.9568e+10
BHR,2019,NGDPD,4.0447e+10
