model,country,horizon,group,alpha,beta,se_beta,t_stat,p_value,r2,n_obs,ci_lower,ci_upper
M0,Abu Dhabi,1,Exporter,-0.04845375408856564,0.009284333718061642,0.019735152646660974,0.47044651157701967,0.6380360405605736,6.172782597602122e-05,521,-0.029395854698794188,0.047964522134917476
M0,Brazil,1,Exporter,0.08051031221239491,-11.11422080392377,3.971006797282841,-2.7988420497110877,0.005128621805375594,0.04359271246449514,521,-18.897251108961886,-3.331190498885654
M0,Chile,1,Control,-0.06548865934433308,-0.9963811714459544,0.5994226891881843,-1.6622346624806321,0.09646573252697928,0.003493765326165299,521,-2.1712280537709425,0.17846571087903362
M0,China,1,Control,-0.04408332145970025,0.003156773676874358,0.019567588608069383,0.1613266580825678,0.8718361281398028,2.22735008923447e-05,521,-0.03519499525923788,0.041508542612986594
M0,Colombia,1,Exporter,0.11213783776164038,-3.6980795562567326,2.0318455061227465,-1.8200594214043195,0.06874995630057788,0.014440871075518835,521,-7.680423570406873,0.2842644578934084
M0,Dubai,1,Control,-0.3168165555248293,-0.04974407329870107,0.04250002552374368,-1.1704480805761006,0.2418206963462156,0.0004755885108349567,521,-0.13304259266727173,0.03355444606986959
M0,Egypt,1,Exporter,0.5299193764387462,0.09345112584677147,0.40986905451906375,0.22800239446333923,0.8196443790351663,9.896945259213474e-06,521,-0.7098774593880773,0.8967797110816204
M0,Indonesia,1,Control,-0.16169791528394972,-0.07643931887549846,0.16923934460669582,-0.4516639972409477,0.6515110584917378,0.00012006467765623974,521,-0.4081423390717853,0.25526370132078835
M0,Malaysia,1,Exporter,-0.11905939795591826,-0.08413943249447957,0.057585101792570204,-1.4611319573170483,0.14397923161267187,0.0005418692545499093,521,-0.19700415805399007,0.028725293065030938
M0,Mexico,1,Exporter,-0.00400955769215023,-6.8016682906228585,3.2807921053413462,-2.0731786935079772,0.03815565251335722,0.07919980080088795,521,-13.231902657855237,-0.3714339233904811
M0,Philippines,1,Control,-0.05443354407994949,-0.0017682973610653758,0.062164635368361115,-0.02844539102638019,0.9773069220291877,2.2066337301840377e-07,521,-0.12360874379511799,0.12007214907298724
M0,Qatar,1,Exporter,-0.07406286106342738,0.00995163046900476,0.05876475352425539,0.1693469277446588,0.865523765982492,1.343028335099028e-05,521,-0.10522516999890903,0.12512843093691856
M0,Saudi Arabia,1,Exporter,-0.010919310120286707,0.002658680539368716,0.009348730776293158,0.284389464515407,0.776111931937265,6.479090745137306e-06,521,-0.015664495083327054,0.020981856162064487
M0,South Africa,1,Control,0.02872054447747251,-15.88570564354224,4.057859815423149,-3.914799023653728,9.047954190349446e-05,0.06306608684699244,521,-23.838964736083962,-7.932446551000516
M0,South Korea,1,Control,-0.035851606181211026,-0.04661968941116422,0.08245738654374642,-0.5653791778427383,0.571815884184032,0.0003265389678062114,521,-0.20823319729620487,0.11499381847387645
M0,Thailand,1,Control,-0.11295908931836933,0.009548220279016952,0.0981348615017312,0.09729692519970093,0.922490597752115,1.298392737081322e-05,521,-0.1827925738922025,0.20188901445023638
M0,Turkey,1,Control,-0.02786655927417025,-8.844340031363991,4.778423127326766,-1.8508909311076132,0.0641852456973152,0.012137371633014538,521,-18.209877263817706,0.5211972010897234
M0,Abu Dhabi,2,Exporter,-0.10553527348032142,-0.022537381190305614,0.029645287220516337,-0.7602348738489664,0.447114202781665,0.0002669892147179054,520,-0.08064107645386315,0.03556631407325193
M0,Brazil,2,Exporter,0.21398017769752153,-14.000476475838338,3.721082401965644,-3.762474184512188,0.00016824067905550218,0.07954669174183249,520,-21.293663967196796,-6.70728898447988
M0,Chile,2,Control,-0.14233981513346955,-2.1428879861964534,0.8694324076866687,-2.4646976202533275,0.013712892111413457,0.010233293580325431,520,-3.846944192254269,-0.43883178013863744
M0,China,2,Control,-0.10536922358001444,-0.019350420380537053,0.017987883001024565,-1.0757475117797286,0.282040192376943,0.0004350105509022262,520,-0.05460602322066547,0.015905182459591362
M0,Colombia,2,Exporter,0.20276694106521845,-5.166976179646825,2.6026948200154867,-1.985240889523913,0.047117677029294855,0.024304473996770604,520,-10.268164289626139,-0.06578806966751305
M0,Dubai,2,Control,-0.6911101670215738,-0.060438244862633245,0.057600540800482734,-1.049265232977235,0.2940560627019221,0.000483746173901789,520,-0.17333323032160936,0.05245674059634285
M0,Egypt,2,Exporter,1.0892085226910067,0.9824122281660115,1.4982194581922685,0.6557198431739613,0.512004398967936,0.000670183441347727,520,-1.954043950827948,3.918868407159971
M0,Indonesia,2,Control,-0.33430782477477095,-0.2061573441179419,0.23567352548691128,-0.8747581795282786,0.38170549656117825,0.0005794567703011344,520,-0.6680689661818705,0.2557542779459867
M0,Malaysia,2,Exporter,-0.2903605588710485,-0.2540875973831402,0.15497410367156175,-1.639548746296547,0.1010990273302759,0.0027114198721224225,520,-0.5578312591157778,0.04965606434949743
M0,Mexico,2,Exporter,-0.015700600683341656,-7.408179174841857,3.649098417525105,-2.0301395926356625,0.04234235201090284,0.11655464653441228,520,-14.560280649233167,-0.2560777004505459
M0,Philippines,2,Control,-0.12090251420000872,-0.014345444254177876,0.0795604170196585,-0.1803088117377926,0.8569101382811011,1.1243118478665437e-05,520,-0.1702809962076961,0.14159010769934033
M0,Qatar,2,Exporter,-0.143637206255757,-0.05564916736196199,0.2285698386719261,-0.2434668007174695,0.8076438006318598,0.0002900717007285891,520,-0.5036378191110676,0.3923394843871436
M0,Saudi Arabia,2,Exporter,-0.018567279915555908,-0.02916866697428558,0.021007375176643785,-1.3884965032050078,0.16498590882658148,0.00038789486963430875,520,-0.07034236573022815,0.012005031781656995
M0,South Africa,2,Control,0.033954766437426065,-17.87332585684956,3.9874327240673653,-4.482414398861116,7.380325053082048e-06,0.08463127506643486,520,-25.688550386798035,-10.058101326901086
M0,South Korea,2,Control,-0.07919938941488236,-0.07063465957956946,0.11762805649356452,-0.6004915977119278,0.5481786589218067,0.0005175356633283501,520,-0.30118141387839875,0.15991209471925982
M0,Thailand,2,Control,-0.2533937809152093,-0.013200722811361226,0.10580210016617685,-0.12476806028072848,0.9007071739639398,2.0282690027739747e-05,520,-0.2205690286257671,0.19416758300304465
M0,Turkey,2,Control,-0.19039028196410374,-12.16899620963851,5.677054327502211,-2.1435405595268664,0.032069717883404084,0.022428172831890802,520,-23.2958182298201,-1.0421741894569188
M0,Abu Dhabi,4,Exporter,-0.2202772065728371,-0.04813819835768661,0.04712449114703506,-1.0215112606200594,0.3070122767920258,0.0009934583921378248,518,-0.14050050379565193,0.04422410708027873
M0,Brazil,4,Exporter,0.3562183680928937,-15.297995981963757,4.230277833594047,-3.61630998807626,0.000298832490067014,0.10690135964887937,518,-23.58918818040621,-7.006803783521301
