Year,country,All Commodities,Copper and articles thereof,Petroleum oils and oils obtained from bituminous minerals; crude,Oil exposure,Copper exposure
2013,Angola,67712526547,,65464178236,0.9668,0.0000
2013,Australia,2.52155E+11,3657158664,8675391474,0.0344,0.0145
2013,Bahrain,20036210162,8906318,,0.0000,0.0004
2013,Brazil,2.32544E+11,1042682095,12956638294,0.0557,0.0045
2013,Chile,77069413217,23487820610,,0.0000,0.3048
2013,Colombia,58821869987,338781265,27644198008,0.4700,0.0058
2013,Ecuador,24957644407,58207337,13411758600,0.5374,0.0023
2013,Egypt,28779409063,295783758,3059529274,0.1063,0.0103
2013,Indonesia,1.82552E+11,1737564274,10204709564,0.0559,0.0095
2013,Kazakhstan,84698536273,2921916927,57249535115,0.6759,0.0345
2013,Kenya,5536952633,30754319,11438,0.0000,0.0056
2013,Morocco,21965433272,180365468,329399,0.0000,0.0082
2013,Nigeria,90554484841,120992123,74953784338,0.8277,0.0013
2013,Oman,55497131211,56717548,32087129500,0.5782,0.0010
2013,Peru,48114378767,2735005695,537895524.4,0.0112,0.0568
2013,Zambia,10596212324,6891538192,47621.444,0.0000,0.6504
2014,Angola,58672369190,,56439535479,0.9619,0.0000
2014,Australia,2.40445E+11,3836891509,9633230879,0.0401,0.0160
2014,Bahrain,23745958554,6517169,5431103985,0.2287,0.0003
2014,Brazil,2.20921E+11,749460329,16356785878,0.0740,0.0034
2014,Chile,75343198549,21703825927,,0.0000,0.2881
2014,Colombia,54794812015,269065077,25760766275,0.4701,0.0049
2014,Ecuador,25724432491,55584617,13016019766,0.5060,0.0022
2014,Egypt,26812195958,265405753,3050496068,0.1138,0.0099
2014,Indonesia,1.76036E+11,1967399512,9271213972,0.0527,0.0112
2014,Kazakhstan,79458749145,1830343483,53626939227,0.6749,0.0230
2014,Morocco,23815815609,158923077,,0.0000,0.0067
2014,Nigeria,1.02878E+11,51541659,75033422632,0.7293,0.0005
2014,Oman,53220765273,27042751.79,30146468746,0.5664,0.0005
2014,Peru,38645855012,2420590672,496337220.1,0.0128,0.0626
2014,Zambia,9682995919,7205796802,95052.64,0.0000,0.7442
2015,Angola,33924937478,529507.81,31393669832,0.9254,0.0000
2015,Australia,1.87792E+11,2823645962,4570286861,0.0243,0.0150
2015,Bahrain,13882170669,6283321.917,,0.0000,0.0005
2015,Brazil,1.86775E+11,1053826939,11781324149,0.0631,0.0056
2015,Chile,62118220376,17001960367,,0.0000,0.2737
2015,Colombia,35690766593,230655741,12834380107,0.3596,0.0065
2015,Ecuador,18330607692,38322494,6355235196,0.3467,0.0021
2015,Egypt,21858773825,194481834.1,1983618421,0.0907,0.0089
2015,Indonesia,1.50366E+11,1526059728,6479431669,0.0431,0.0101
2015,Kazakhstan,45954426051,2008899405,26773012920,0.5826,0.0437
2015,Kenya,5906821406,28413760.14,56074.86,0.0000,0.0048
2015,Morocco,22336935399,139589456.9,,0.0000,0.0062
2015,Nigeria,48433351370,15067588.64,34380007804,0.7098,0.0003
2015,Oman,35686298632,23849797.59,17379452272,0.4870,0.0007
2015,Peru,37278004119,1968210365,120071360.5,0.0032,0.0528
2015,Zambia,6565142512,4697747318,20698.229,0.0000,0.7156
2016,Angola,28057499522,192641.41,25577532561,0.9116,0.0000
2016,Australia,1.8963E+11,2484959383,3527584753,0.0186,0.0131
2016,Bahrain,10545888964,5126754.951,,0.0000,0.0005
2016,Brazil,1.79526E+11,910141747,10073804866,0.0561,0.0051
2016,Chile,60768690455,15446101507,,0.0000,0.2542
2016,Colombia,31044991243,181899620,8060042084,0.2596,0.0059
2016,Ecuador,16797664624,32712156,5053937423,0.3009,0.0019
2016,Egypt,22973368854,163394187.4,1808107144,0.0787,0.0071
2016,Indonesia,1.4449E+11,1604581837,5196717181,0.0360,0.0111
2016,Kazakhstan,36775323403,1918988166,19378014069,0.5269,0.0522
2016,Kenya,5697559391,24370615.83,42279.43,0.0000,0.0043
2016,Morocco,22858288521,103418269,,0.0000,0.0045
2016,Nigeria,32883045467,1532616,26979833380,0.8205,0.0000
2016,Oman,30013599551,14717158.62,12839270626,0.4278,0.0005
2016,Peru,36309958804,1721154123,24015819.21,0.0007,0.0474
2016,Zambia,6379082560,4435294090,,0.0000,0.6953
2017,Angola,34904881109,626308.06,31057113480,0.8898,0.0000
2017,Australia,2.30537E+11,2585786128,4022643031,0.0174,0.0112
2017,Bahrain,12485359227,4893087.285,,0.0000,0.0004
2017,Brazil,2.14988E+11,735677736,16625024187,0.0773,0.0034
2017,Chile,68903578704,17904693261,,0.0000,0.2599
2017,Colombia,37766321060,247132169.3,10951738280,0.2900,0.0065
2017,Ecuador,19092352243,46994745.45,6189823872,0.3242,0.0025
2017,Egypt,26434038480,240513803.7,2106108669,0.0797,0.0091
2017,Indonesia,1.68828E+11,2059493175,5354864570,0.0317,0.0122
2017,Kazakhstan,48502738958,2543531838,26584238979,0.5481,0.0524
2017,Kenya,5747414820,34020670.23,411195.678,0.0001,0.0059
2017,Morocco,25624297849,143860219.3,,0.0000,0.0056
2017,Nigeria,44466366757,2203791.029,36057296059,0.8109,0.0000
2017,Oman,32904047205,14053522.79,15072300334,0.4581,0.0004
2017,Peru,44237949423,2188474896,25644327.43,0.0006,0.0495
2017,Zambia,8028213379,6188765609,21.162,0.0000,0.7709
2018,Angola,40664718815,231267.532,36580105349,0.8996,0.0000
2018,Australia,2.56565E+11,2847208924,6053138367,0.0236,0.0111
2018,Bahrain,14347737494,9719727.235,,0.0000,0.0007
2018,Brazil,2.3189E+11,855644128,25251318666,0.1089,0.0037
2018,Chile,74837981347,17929312078,,0.0000,0.2396
2018,Colombia,41831520221,244184474,13734811111,0.3283,0.0058
2018,Ecuador,21651955550,55463943.68,7877586327,0.3638,0.0026
2018,Egypt,29303872573,221352593.9,2133332526,0.0728,0.0076
2018,Indonesia,1.80215E+11,1961045485,5120474238,0.0284,0.0109
2018,Kazakhstan,61108294589,2549144288,37802957342,0.6186,0.0417
2018,Kenya,6050420682,41215295.05,7436.43,0.0000,0.0068
2018,Morocco,29345572117,143480622.2,1470.259,0.0000,0.0049
2018,Nigeria,62399696340,14454024.24,51371204852,0.8233,0.0002
2018,Oman,41762284850,17858258.47,20099608074,0.4813,0.0004
2018,Peru,48015148375,2303525509,138873906.5,0.0029,0.0480
2018,Zambia,9022458135,6774177661,2722.854,0.0000,0.7508
2019,Angola,35432454859,227515.311,31534121191,0.8900,0.0000
2019,Australia,2.70261E+11,3050697104,6566389782,0.0243,0.0113
2019,Bahrain,14167263135,28999007.83,,0.0000,0.0020
2019,Brazil,2.21127E+11,948659529,24199539301,0.1094,0.0043
2019,Chile,68792008183,15081848839,,0.0000,0.2192
2019,Colombia,39489359462,184334297.4,12979915800,0.3287,0.0047
2019,Ecuador,22329378719,55722167.39,7731162686,0.3462,0.0025
2019,Egypt,30505251684,180263136.2,1916595894,0.0628,0.0059
2019,Indonesia,1.67683E+11,1843986779,1726630216,0.0103,0.0110
2019,Kazakhstan,58065248749,2737380657,33585170295,0.5784,0.0471
2019,Kenya,5836255974,35013615.19,5608.19,0.0000,0.0060
2019,Morocco,29582399076,133988663,,0.0000,0.0045
2019,Nigeria,53617812190,36219396.42,41039870941,0.7654,0.0007
2019,Oman,38723580348,8398568.815,19651213425,0.5075,0.0002
2019,Peru,46131564759,2086453903,121954090.9,0.0026,0.0452
2019,Zambia,7039405155,5034270994,,0.0000,0.7152
2020,Angola,22134505473,940900.59,18379869212,0.8304,0.0000
2020,Australia,2.47159E+11,2747697543,2975132784,0.0120,0.0111
2020,Bahrain,11559232443,57677949.26,,0.0000,0.0050
2020,Brazil,2.0918E+11,570750923,19613857928,0.0938,0.0027
2020,Chile,74080745460,16867117048,11870850.66,0.0002,0.2277
2020,Colombia,31055810660,155565211.2,7130106325,0.2296,0.0050
2020,Ecuador,20355361439,62399768.07,4684794165,0.2302,0.0031
2020,Egypt,29322919595,182338921.1,1191878165,0.0406,0.0062
2020,Indonesia,1.63192E+11,1894788387,1396868368,0.0086,0.0116
2020,Kazakhstan,41874386710,54559346.79,23703849620,0.5661,0.0013
2020,Kenya,6021954589,31751961.15,1992.92,0.0000,0.0053
2020,Morocco,27702724584,115309160.2,,0.0000,0.0042
2020,Nigeria,34900471091,17967525.57,26322067330,0.7542,0.0005
2020,Oman,33479358823,15566745.02,13143217532,0.3926,0.0005
2020,Peru,38757234044,2237327255,151659630.3,0.0039,0.0577
2020,Zambia,7923921917,5820214203,0.8,0.0000,0.7345
2021,Angola,34472161957,2358369.984,27481273609,0.7972,0.0001
2021,Australia,3.42036E+11,3815109338,7606804961,0.0222,0.0112
2021,Bahrain,18198973800,114808470.4,,0.0000,0.0063
2021,Brazil,2.80815E+11,980805821,30608981810,0.1090,0.0035
2021,Chile,94676809206,23962308830,,0.0000,0.2531
2021,Colombia,41389989048,287666283.5,11200541488,0.2706,0.0070
2021,Ecuador,26699199844,107349751.2,7278163135,0.2726,0.0040
2021,Egypt,43636851989,410282187.9,3213265952,0.0736,0.0094
2021,Indonesia,2.31522E+11,3050220524,2795919222,0.0121,0.0132
2021,Kazakhstan,53068759291,109884783.7,31089837286,0.5858,0.0021
2021,Kenya,6751366221,57037958.03,14548.336,0.0000,0.0084
2021,Morocco,36585224951,231369214.2,,0.0000,0.0063
2021,Nigeria,47231712930,73848458.93,35998144403,0.7622,0.0016
2021,Oman,44590926521,26739180.71,18686070387,0.4191,0.0006
2021,Peru,56260115203,3042051579,289657421.8,0.0051,0.0541
2021,Zambia,11013140617,8344372035,484197.488,0.0000,0.7577
2022,Angola,51274951712,3634461.294,40311108897,0.7862,0.0001
2022,Australia,4.10253E+11,3934444876,10054424249,0.0245,0.0096
2022,Bahrain,22252183289,159156728.8,,0.0000,0.0072
2022,Brazil,3.34463E+11,878222625,42688098560,0.1276,0.0026
2022,Chile,98557005169,21659867329,37836314.78,0.0004,0.2198
2022,Colombia,56910136648,330472271.5,15836623713,0.2783,0.0058
2022,Ecuador,35380361707,117329759.2,10834637184,0.3062,0.0033
2022,Egypt,52115727913,451399274,3202780000,0.0615,0.0087
2022,Indonesia,2.92187E+11,2788844988,1615292667,0.0055,0.0095
2022,Kazakhstan,76139804973,48166316.4,46920647039,0.6162,0.0006
2022,Kenya,7371116495,39614725.3,13614269.22,0.0018,0.0054
2022,Morocco,42183470726,211213471.1,,0.0000,0.0050
2022,Nigeria,63416711382,149588806.1,49932928898,0.7874,0.0024
2022,Oman,66063352835,11442330.28,30315734673,0.4589,0.0002
2022,Peru,58172421866,3315742930,508915564.7,0.0087,0.0570
2022,Zambia,11642769409,8092005598,391807.904,0.0000,0.6950
2023,Angola,39505783209,4141029.6,32047478607,0.8112,0.0001
2023,Australia,3.69235E+11,4133909947,7678708459,0.0208,0.0112
2023,Bahrain,12406927759,100901640.2,,0.0000,0.0081
2023,Brazil,3.39696E+11,693688938,42611148597,0.1254,0.0020
2023,Chile,94935525008,19717825258,19212069.09,0.0002,0.2077
2023,Colombia,49769114432,288523882.3,12659153725,0.2544,0.0058
2023,Ecuador,31126424076,83912894.6,7823367067,0.2513,0.0027
2023,Egypt,42553243151,695369017.8,2638393000,0.0620,0.0163
2023,Indonesia,2.58774E+11,2290229303,1749296021,0.0068,0.0089
2023,Kazakhstan,78735590867,3224020476,42314945073,0.5374,0.0409
2023,Kenya,7158109333,64163585.9,4429.1,0.0000,0.0090
2023,Morocco,42462806870,211006740.6,,0.0000,0.0050
2023,Nigeria,65129007548,191754077,52520992085,0.8064,0.0029
2023,Oman,59010531458,14393576.05,25575449143,0.4334,0.0002
2023,Peru,64355040435,3599008795,221631764.7,0.0034,0.0559
2023,Zambia,10431183716,6726121609,11364.211,0.0000,0.6448
2024,Angola,39250263062,4883771.41,31257304278,0.7964,0.0001
2024,Australia,3.40855E+11,4357154545,7064711970,0.0207,0.0128
2024,Bahrain,12452725986,221958421.6,,0.0000,0.0178
2024,Brazil,3.37036E+11,799764325,44842761197,0.1331,0.0024
2024,Chile,99093542748,19563821227,10113086.01,0.0001,0.1974
2024,Colombia,49551987660,413566926.4,12062242730,0.2434,0.0083
2024,Ecuador,31558096621,95314910.77,7834790006,0.2483,0.0030
2024,Egypt,44846871351,1041165535,1408882000,0.0314,0.0232
2024,Indonesia,2.6633E+11,3730037100,2228458183,0.0084,0.0140
2024,Kazakhstan,81612893051,4205025037,42878761295,0.5254,0.0515
2024,Kenya,8255797030,113864090.1,4745.664,0.0000,0.0138
2024,Morocco,80568883409,293656993.5,,0.0000,0.0036
2024,Nigeria,52361700787,124637205.3,37380669162,0.7139,0.0024
2024,Peru,74053924516,3631549986,317674708.8,0.0043,0.0490
2024,Zambia,11275829503,7590851630,14.582,0.0000,0.6732
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
