country,year,total_exports_usd,exports_copper_usd,exports_energy_usd,gdp_usd,gdp_usd_if_billions,share_copper,share_energy,expgdp_copper,expgdp_copper_if_gdp_billions,expgdp_energy,expgdp_energy_if_gdp_billions,total_expgdp,total_expgdp_if_gdp_billions
AGO,2023,39505783208.732,2324559.809,32348919364.009,1.12483e+11,1.12483e+20,5.88410004863845e-05,0.81884009723566,2.06658767013682e-05,2.06658767013682e-14,0.287589407857267,2.87589407857267e-10,0.351215589988994,3.51215589988994e-10
AGO,2024,39250263061.7,1127313.07,31617576916.46,1.15214e+11,1.15214e+20,2.87211596066988e-05,0.805537962045205,9.78451464231777e-06,9.78451464231777e-15,0.274424782721371,2.74424782721371e-10,0.340672687882549,3.40672687882549e-10
ARE,2023,570245383584.532,112721085.794,246441314683.817,5.22622e+11,5.22622e+20,0.000197671193908561,0.432167136776628,0.000215683774877445,2.15683774877445e-13,0.471547915479672,4.71547915479672e-10,1.09112395495125,1.09112395495125e-09
ARG,2023,66788515986.35,0,4560920918.28,6.48895e+11,6.48895e+20,0,0.0682889992526881,0,0,0.00702875028822845,7.02875028822845e-12,0.102926538170813,1.02926538170813e-10
ARG,2024,79703206722.25,0,5885105715.61,6.37234e+11,6.37234e+20,0,0.0738377533054402,0,0,0.00923539188996507,9.23539188996507e-12,0.125076826914838,1.25076826914838e-10
BHR,2023,12406927759.432,91584.784,33826429.272,4.6192e+10,4.6192e+19,7.38174556794492e-06,0.00272641462317571,1.98269795635608e-06,1.98269795635608e-15,0.000732300599064773,7.32300599064773e-13,0.26859472981105,2.6859472981105e-10
BHR,2024,12452725986.221,2101.25,6945539.394,4.711e+10,4.711e+19,1.68738154386842e-07,0.000557752527573904,4.4603056675865e-08,4.4603056675865e-17,0.000147432379409892,1.47432379409892e-13,0.264332965107642,2.64332965107642e-10
BRA,2023,339695766008,3489952394,53865485619,2.191137e+12,2.191137e+21,0.0102737588843477,0.158569788054796,0.00159275864265904,1.59275864265904e-12,0.0245833490187971,2.45833490187971e-11,0.155031732843725,1.55031732843725e-10
BRA,2024,337036275422,4211194893,56536814645,2.179413e+12,2.179413e+21,0.0124947823130528,0.167746971966774,0.00193226106892085,1.93226106892085e-12,0.0259413037570208,2.59413037570208e-11,0.154645436831844,1.54645436831844e-10
CHL,2023,94935525007.931,41282283318.007,1530825201.032,3.35627e+11,3.35627e+20,0.434845473436401,0.0161248931936081,0.123000483626189,1.23000483626189e-10,0.00456109073772968,4.56109073772968e-12,0.282860213892002,2.82860213892002e-10
CHL,2024,99093542747.754,48260687381.389,1091816468.37,3.3021e+11,3.3021e+20,0.487021515662612,0.0110180384926721,0.146151501715239,1.46151501715239e-10,0.00330643066039793,3.30643066039793e-12,0.300092494920669,3.00092494920669e-10
CIV,2023,18350163618.47,157995.33,2672114998.107,7.963e+10,7.963e+19,8.61002295592465e-06,0.145618047537049,1.98411817154339e-06,1.98411817154339e-15,0.0335566369221022,3.35566369221022e-11,0.230442843381515,2.30442843381515e-10
CIV,2024,20548862153.319,187572.985,2852683277.143,8.7096e+10,8.7096e+19,9.12814459508668e-06,0.138824391144317,2.15363489712501e-06,2.15363489712501e-15,0.0327533213596836,3.27533213596836e-11,0.235933477465314,2.35933477465314e-10
COL,2023,49769114432.38,56525482.55,15589204170.02,3.66292e+11,3.66292e+20,0.00113575423623018,0.313230491396439,0.000154318091986721,1.54318091986721e-13,0.0425594994431219,4.25594994431219e-11,0.135872785734824,1.35872785734824e-10
COL,2024,49551987659.86,86644628.79,14795008357.01,4.18818e+11,4.18818e+20,0.00174856010589838,0.298575477104319,0.000206878951692621,2.06878951692621e-13,0.0353256267806303,3.53256267806303e-11,0.118313892095994,1.18313892095994e-10
ECU,2023,31126424076.3,1244126627.5,8947354932.1,1.21147e+11,1.21147e+20,0.0399701110686625,0.287452066776685,0.010269561999059,1.0269561999059e-11,0.0738553569803627,7.38553569803627e-11,0.256931034827936,2.56931034827936e-10
ECU,2024,31558096621.268,1112825667.44,8669871892.166,1.24676e+11,1.24676e+20,0.0352627625422134,0.27472733847716,0.00892574085982868,8.92574085982868e-12,0.0695392207976355,6.95392207976355e-11,0.253120862245083,2.53120862245083e-10
EGY,2023,42553243151.133,1989335.13,4606847713.859,3.93828e+11,3.93828e+20,4.67493187989135e-05,0.108260789841499,5.05127906090984e-06,5.05127906090984e-15,0.0116976134603406,1.16976134603406e-11,0.108050324383063,1.08050324383063e-10
