country,year,total_exports_usd,exports_oil_crude_usd,exports_oil_refined_usd,exports_nat_gas_lng_usd,exports_energy_total_usd,exports_copper_ore_usd,exports_copper_metal_usd,exports_aluminum_usd,exports_nickel_usd,exports_steel_primary_usd,exports_steel_articles_usd,exports_iron_ore_usd,exports_gold_usd,exports_precious_total_usd,exports_wheat_usd,exports_corn_usd,exports_cereals_total_usd,exports_soybeans_usd,exports_oilseeds_total_usd,exports_live_cattle_usd,exports_meat_beef_fresh_usd,exports_meat_beef_frozen_usd,exports_livestock_total_usd,gdp_usd,share_oil_crude,share_oil_refined,share_nat_gas_lng,share_energy_total,share_copper_ore,share_copper_metal,share_aluminum,share_nickel,share_steel_primary,share_steel_articles,share_iron_ore,share_gold,share_precious_total,share_wheat,share_corn,share_cereals_total,share_soybeans,share_oilseeds_total,share_live_cattle,share_meat_beef_fresh,share_meat_beef_frozen,share_livestock_total,expgdp_oil_crude,expgdp_oil_refined,expgdp_nat_gas_lng,expgdp_energy_total,expgdp_copper_ore,expgdp_copper_metal,expgdp_aluminum,expgdp_nickel,expgdp_steel_primary,expgdp_steel_articles,expgdp_iron_ore,expgdp_gold,expgdp_precious_total,expgdp_wheat,expgdp_corn,expgdp_cereals_total,expgdp_soybeans,expgdp_oilseeds_total,expgdp_live_cattle,expgdp_meat_beef_fresh,expgdp_meat_beef_frozen,expgdp_livestock_total
AGO,2004,13253676784.371,12354817267.36,0,0,24740036292.456,0,5860.827,989204.192,4789.819,667202.349,7995897.388,0,0,765225998.147,0,12.19,152.413,0,39684.001,0,0,0,0,2.6998e+10,0.932180365370691,0,0,1.86665456649961,0,4.42203857491923e-07,7.46362091134205e-05,3.61395488808679e-07,5.03409250017911e-05,0.0006032965431471,0,0,0.0577368839301536,0,9.19744777115335e-10,1.14996768428613e-08,0,2.99418807668497e-06,0,0,0,0,0.457619722474257,0,0,0.916365519388695,0,2.17083746944218e-07,3.66399063634343e-05,1.77413845470035e-07,2.47130287058301e-05,0.000296166285947107,0,0,0.0283438031760501,0,4.51514927031632e-10,5.64534409956293e-09,0,1.46988669531076e-06,0,0,0,0
AGO,2005,23668205179.913,22217114075.799,250940703.494,51913883.341,45078545554.693,0,17843.497,383395.813,0,1867826.921,8135574.163,0,0,965812011.412,0,0,695734.298,0,0,0,0,0,0,4.1397e+10,0.938690276973535,0.0106024390775086,0.00219340177873136,1.90460346325503,0,7.53901568131732e-07,1.6198770041312e-05,0,7.89171340539674e-05,0.000343734309431481,0,0,0.0408063055086102,0,0,2.93953129403519e-05,0,0,0,0,0,0,0.536684157687731,0.00606180891112883,0.00125404940795227,1.0889326655239,0,4.31033577312366e-07,9.26143954875957e-06,0,4.51198618498925e-05,0.000196525694204894,0,0,0.0233304831609054,0,0,1.68063941348407e-05,0,0,0,0,0,0
AGO,2006,31844185776.488,30013717104.476,222421902.704,248904541.909,61033484854.296,0,39089.598,728950.917,5716.186,1538827.976,27848337.889,0,0,1144951936.604,0,0,977.638,0,3007.713,0,0,0,0,5.8654e+10,0.942517962781026,0.00698469429443613,0.00781632614682136,1.91662884027513,0,1.22752700522372e-06,2.28911777527129e-05,1.79504856557536e-07,4.83236716052632e-05,0.000874518760958922,0,0,0.0359548190253735,0,0,3.07006750576689e-08,0,9.44509312032946e-08,0,0,0,0,0.511707933039111,0.00379210118157329,0.00424360728865892,1.04056815996004,0,6.6644385719644e-07,1.24279830361101e-05,9.74560302792649e-08,2.62356868414771e-05,0.00047479008914993,0,0,0.019520440832748,0,0,1.66678828383401e-08,0,5.12789068094248e-08,0,0,0,0
AGO,2007,44177783071,42286185648,0,0,85238704875,0,0,0,0,0,0,0,0,1181943962,0,0,0,0,0,0,0,0,0,7.3038e+10,0.957182156018107,0,0,1.92944731377782,0,0,0,0,0,0,0,0,0.0267542615278011,0,0,0,0,0,0,0,0,0,0.578961439907993,0,0,1.16704598804732,0,0,0,0,0,0,0,0,0.0161825893644404,0,0,0,0,0,0,0,0,0
AGO,2008,65772699298.792,62786729938.715,784056215.169,0,127252995837.676,0,28175.778,639861.243,0,3302172.181,43588420.98,0,0,1239911709.658,0,0,23003.495,0,5907.559,0,0,0,0,9.879e+10,0.954601690489965,0.01192069389774,0,1.93473883836805,0,4.28381050198399e-07,9.72837134284607e-06,0,5.02058181617103e-05,0.000662712971258587,0,0,0.0188514645571308,0,0,3.49742298023984e-07,0,8.98177977030129e-08,0,0,0,0,0.635557545689999,0.00793659495059217,0,1.28811616396068,0,2.85208806559368e-07,6.47698393562102e-06,0,3.34261785707055e-05,0.000441223008199211,0,0,0.0125509840030165,0,0,2.32852464824375e-07,0,5.97991598339913e-08,0,0,0,0
AGO,2009,40639411732,39262457163,0,0,79055085761,0,0,0,0,0,0,0,0,813613812,0,0,0,0,0,0,0,0,0,8.1705e+10,0.966117753424177,0,0,1.94528125265039,0,0,0,0,0,0,0,0,0.0200203146976006,0,0,0,0,0,0,0,0,0,0.480539222360933,0,0,0.967567294057891,0,0,0,0,0,0,0,0,0.00995794396915733,0,0,0,0,0,0,0,0,0
AGO,2010,52612114761,50788866848,0,0,102300097501,0,0,0,0,0,0,0,0,1072039839,0,0,0,0,0,0,0,0,0,9.5547e+10,0.965345473732002,0,0,1.94442093737757,0,0,0,0,0,0,0,0,0.0203762924921367,0,0,0,0,0,0,0,0,0,0.531558990318901,0,0,1.07067827876333,0,0,0,0,0,0,0,0,0.0112200261546673,0,0,0,0,0,0,0,0,0
AGO,2011,66427390220,64140141220,0,0,129332636770,0,0,0,0,0,0,0,0,1209184374,0,0,0,0,0,0,0,0,0,1.25552e+11,0.965567682360772,0,0,1.94697753956109,0,0,0,0,0,0,0,0,0.0182030992034358,0,0,0,0,0,0,0,0,0,0.510865149260864,0,0,1.03011211904231,0,0,0,0,0,0,0,0,0.00963094474002804,0,0,0,0,0,0,0,0,0
AGO,2012,70863076413,68863266749,0,0,138571391500,0,0,0,0,0,0,0,0,1110222942,0,0,0,0,0,0,0,0,0,1.43573e+11,0.971779242939654,0,0,1.95548088672282,0,0,0,0,0,0,0,0,0.0156671569764974,0,0,0,0,0,0,0,0,0,0.479639394238471,0,0,0.965163307167782,0,0,0,0,0,0,0,0,0.00773281147569529,0,0,0,0,0,0,0,0,0
AGO,2013,67712526547,65464178236,0,0,131969566539,0,0,0,0,0,0,0,0,1156063734,0,0,0,0,0,0,0,0,0,1.53761e+11,0.966795681306628,0,0,1.9489682820711,0,0,0,0,0,0,0,0,0.017073114724165,0,0,0,0,0,0,0,0,0,0.425752812715838,0,0,0.858277238955262,0,0,0,0,0,0,0,0,0.0075185758027068,0,0,0,0,0,0,0,0,0
