country,date,year,quarter,month,week,cds_spread,fx_rate,monetary_base_mn_localcurr,domestic_debt_bn_localcurr,lt_external_debt_bn_usd,st_external_debt_bn_usd,domestic_rate_in_units,risk_free_rate
Brazil,2014-01-03,2014,1.00,1.00,1.00,187.25,2.371500015,560240.341,3560.826,63.7595515,0,10.5,0.13
Brazil,2014-01-10,2014,1.00,1.00,2.00,191.83,2.353499889,560240.341,3560.826,63.7595515,0,10.5,0.12
Brazil,2014-01-17,2014,1.00,1.00,3.00,194.64,2.347500086,560240.341,3560.826,63.7595515,0,10.5,0.11
Brazil,2014-01-24,2014,1.00,1.00,4.00,206.22,2.393199921,560240.341,3560.826,63.7595515,0,10.5,0.11
Brazil,2014-01-31,2014,1.00,1.00,5.00,205.43,2.4223001,560240.341,3560.826,63.7595515,0,10.5,0.1
Brazil,2014-02-07,2014,1.00,2.00,6.00,183.07,2.375200033,566323.7144,3560.826,63.7595515,0,10.5,0.12
Brazil,2014-02-14,2014,1.00,2.00,7.00,184.8,2.38409996,566323.7144,3560.826,63.7595515,0,10.5,0.11
Brazil,2014-02-21,2014,1.00,2.00,8.00,177.89,2.340600014,566323.7144,3560.826,63.7595515,0,10.5,0.12
Brazil,2014-02-28,2014,1.00,2.00,9.00,170.39,2.333400011,566323.7144,3560.826,63.7595515,0,10.5,0.12
Brazil,2014-03-07,2014,1.00,3.00,10.00,170.76,2.335599899,573520.8279,3560.826,63.7595515,0,10.5,0.13
Brazil,2014-03-14,2014,1.00,3.00,11.00,180.9,2.340500116,573520.8279,3560.826,63.7595515,0,10.5,0.12
Brazil,2014-03-21,2014,1.00,3.00,12.00,179.04,2.3197999,573520.8279,3560.826,63.7595515,0,10.5,0.14
Brazil,2014-03-28,2014,1.00,3.00,13.00,158.05,2.256099939,573520.8279,3560.826,63.7595515,0,10.5,0.13
Brazil,2014-04-04,2014,2.00,4.00,14.00,161.72,2.260699987,567398.6257,3560.826,239.126,0,10.75,0.11
Brazil,2014-04-11,2014,2.00,4.00,15.00,153.38,2.21600008,567398.6257,3560.826,239.126,0,10.75,0.09
Brazil,2014-04-18,2014,2.00,4.00,16.00,152.94,2.228199959,567398.6257,3560.826,239.126,0,10.75,0.11
Brazil,2014-04-25,2014,2.00,4.00,17.00,148.89,2.238800049,567398.6257,3560.826,239.126,0,10.75,0.11
Brazil,2014-05-02,2014,2.00,5.00,18.00,141.45,2.230700016,562889.3722,3560.826,239.126,0,10.75,0.1
Brazil,2014-05-09,2014,2.00,5.00,19.00,144.55,2.207499981,562889.3722,3560.826,239.126,0,10.75,0.1
Brazil,2014-05-16,2014,2.00,5.00,20.00,146.38,2.200000048,562889.3722,3560.826,239.126,0,10.75,0.09
Brazil,2014-05-23,2014,2.00,5.00,21.00,146.37,2.219000101,562889.3722,3560.826,239.126,0,10.75,0.1
Brazil,2014-05-30,2014,2.00,5.00,22.00,139.78,2.223599911,562889.3722,3560.826,239.126,0,10.75,0.1
Brazil,2014-06-06,2014,2.00,6.00,23.00,133.74,2.242799997,573469.7957,3560.826,239.126,0,10.75,0.11
Brazil,2014-06-13,2014,2.00,6.00,24.00,135.25,2.219599962,573469.7957,3560.826,239.126,0,10.75,0.11
Brazil,2014-06-20,2014,2.00,6.00,25.00,138.99,2.225300074,573469.7957,3560.826,239.126,0,10.75,0.09
