"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.RES:WEO(9.0.0)","LIE.LE.A","OBS_VALUE","Liechtenstein, Principality of","Employed persons, Persons for countries / Index for country groups","Annual","Millions","0.028","0.030","0.030","0.030","0.031","0.031","0.032","0.033","0.035","0.034","0.034","0.035","0.036","0.036","0.037","0.037","0.037","0.039","0.040","0.041","0.040","0.041","0.043","0.043","0.044"
"IMF.RES:WEO(9.0.0)","CAN.LE.A","OBS_VALUE","Canada","Employed persons, Persons for countries / Index for country groups","Annual","Millions","14.766","14.938","15.284","15.653","15.923","16.130","16.420","16.761","16.988","16.756","16.984","17.227","17.439","17.660","17.731","17.856","17.973","18.377","18.711","19.065","18.073","18.973","19.748","20.341","20.723"
"IMF.RES:WEO(9.0.0)","HND.NGDPPC.A","OBS_VALUE","Honduras","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Annual","Units","16222.383","17538.099","18640.736","20097.297","22176.101","24634.370","27021.214","29911.848","32880.388","33816.686","35982.817","39504.869","41819.398","42795.761","46298.853","50522.270","53480.161","57588.828","59915.056","62416.071","57739.110","66813.898","74749.009","80686.569","86300.122"
"IMF.RES:WEO(9.0.0)","HND.LP.A","OBS_VALUE","Honduras","Population, Persons for countries / Index for country groups","Annual","Millions","6.575","6.752","6.929","7.106","7.283","7.459","7.634","7.809","7.981","8.151","8.317","8.481","8.641","8.799","8.956","9.113","9.273","9.436","9.602","9.770","9.942","10.117","10.294","10.475","10.659"
"IMF.RES:WEO(9.0.0)","BHS.LP.A","OBS_VALUE","Bahamas, The","Population, Persons for countries / Index for country groups","Annual","Millions","0.304","0.308","0.313","0.318","0.323","0.328","0.332","0.337","0.342","0.347","0.351","0.355","0.359","0.362","0.366","0.370","0.373","0.377","0.381","0.385","0.389","0.394","0.399","0.404","0.408"
"IMF.RES:WEO(9.0.0)","DMA.LP.A","OBS_VALUE","Dominica","Population, Persons for countries / Index for country groups","Annual","Millions","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.070","0.069","0.070","0.070","0.071","0.071","0.069","0.070","0.072","0.073","0.074","0.074","0.074","0.075"
"IMF.RES:WEO(9.0.0)","PRI.LP.A","OBS_VALUE","Puerto Rico","Population, Persons for countries / Index for country groups","Annual","Millions","3.811","3.819","3.824","3.826","3.827","3.821","3.805","3.783","3.761","3.740","3.722","3.679","3.634","3.593","3.535","3.474","3.411","3.300","3.200","3.200","3.159","3.200","3.200","3.206","3.177"
"IMF.RES:WEO(9.0.0)","PRI.LE.A","OBS_VALUE","Puerto Rico","Employed persons, Persons for countries / Index for country groups","Annual","Millions","1.160","1.129","1.160","1.184","1.205","1.225","1.269","1.232","1.186","1.102","1.061","1.025","1.022","1.000","0.976","0.984","0.986","0.973","0.982","1.001","1.012","1.078","1.117","1.131","1.152"
"IMF.RES:WEO(9.0.0)","QAT.LP.A","OBS_VALUE","Qatar","Population, Persons for countries / Index for country groups","Annual","Millions","0.594","0.612","0.630","0.660","0.720","0.821","0.968","1.152","1.554","1.639","1.715","1.733","1.833","2.004","2.216","2.438","2.618","2.725","2.760","2.799","2.834","2.748","2.932","3.063","3.094"
"IMF.RES:WEO(9.0.0)","LKA.LP.A","OBS_VALUE","Sri Lanka","Population, Persons for countries / Index for country groups","Annual","Millions","18.778","18.912","19.062","19.224","19.387","19.545","19.696","19.842","19.984","20.124","20.262","20.398","20.425","20.585","20.778","20.970","21.203","21.444","21.670","21.803","21.919","22.156","22.396","22.638","22.882"
