"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2000-M01","2000-M02","2000-M03","2000-M04","2000-M05","2000-M06","2000-M07","2000-M08","2000-M09","2000-M10","2000-M11","2000-M12","2001-M01","2001-M02","2001-M03","2001-M04","2001-M05","2001-M06","2001-M07","2001-M08","2001-M09","2001-M10","2001-M11","2001-M12","2002-M01","2002-M02","2002-M03","2002-M04","2002-M05","2002-M06","2002-M07","2002-M08","2002-M09","2002-M10","2002-M11","2002-M12","2003-M01","2003-M02","2003-M03","2003-M04","2003-M05","2003-M06","2003-M07","2003-M08","2003-M09","2003-M10","2003-M11","2003-M12","2004-M01","2004-M02","2004-M03","2004-M04","2004-M05","2004-M06","2004-M07","2004-M08","2004-M09","2004-M10","2004-M11","2004-M12","2005-M01","2005-M02","2005-M03","2005-M04","2005-M05","2005-M06","2005-M07","2005-M08","2005-M09","2005-M10","2005-M11","2005-M12","2006-M01","2006-M02","2006-M03","2006-M04","2006-M05","2006-M06","2006-M07","2006-M08","2006-M09","2006-M10","2006-M11","2006-M12","2007-M01","2007-M02","2007-M03","2007-M04","2007-M05","2007-M06","2007-M07","2007-M08","2007-M09","2007-M10","2007-M11","2007-M12","2008-M01","2008-M02","2008-M03","2008-M04","2008-M05","2008-M06","2008-M07","2008-M08","2008-M09","2008-M10","2008-M11","2008-M12","2009-M01","2009-M02","2009-M03","2009-M04","2009-M05","2009-M06","2009-M07","2009-M08","2009-M09","2009-M10","2009-M11","2009-M12","2010-M01","2010-M02","2010-M03","2010-M04","2010-M05","2010-M06","2010-M07","2010-M08","2010-M09","2010-M10","2010-M11","2010-M12","2011-M01","2011-M02","2011-M03","2011-M04","2011-M05","2011-M06","2011-M07","2011-M08","2011-M09","2011-M10","2011-M11","2011-M12","2012-M01","2012-M02","2012-M03","2012-M04","2012-M05","2012-M06","2012-M07","2012-M08","2012-M09","2012-M10","2012-M11","2012-M12","2013-M01","2013-M02","2013-M03","2013-M04","2013-M05","2013-M06","2013-M07","2013-M08","2013-M09","2013-M10","2013-M11","2013-M12","2014-M01","2014-M02","2014-M03","2014-M04","2014-M05","2014-M06","2014-M07","2014-M08","2014-M09","2014-M10","2014-M11","2014-M12","2015-M01","2015-M02","2015-M03","2015-M04","2015-M05","2015-M06","2015-M07","2015-M08","2015-M09","2015-M10","2015-M11","2015-M12","2016-M01","2016-M02","2016-M03","2016-M04","2016-M05","2016-M06","2016-M07","2016-M08","2016-M09","2016-M10","2016-M11","2016-M12","2017-M01","2017-M02","2017-M03","2017-M04","2017-M05","2017-M06","2017-M07","2017-M08","2017-M09","2017-M10","2017-M11","2017-M12","2018-M01","2018-M02","2018-M03","2018-M04","2018-M05","2018-M06","2018-M07","2018-M08","2018-M09","2018-M10","2018-M11","2018-M12","2019-M01","2019-M02","2019-M03","2019-M04","2019-M05","2019-M06","2019-M07","2019-M08","2019-M09","2019-M10","2019-M11","2019-M12","2020-M01","2020-M02","2020-M03","2020-M04","2020-M05","2020-M06","2020-M07","2020-M08","2020-M09","2020-M10","2020-M11","2020-M12","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12"
"IMF.STA:MFS_IR(8.0.1)","PHL.MFS166_RT_PT_A_PT.M","OBS_VALUE","Philippines","Monetary policy-related, Rate, Percent per annum","Monthly","Units","","","","","","","","","","","","","","","","","","","","","","","","7.75","7.5","7.25","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6.75","6.75","6.75","6.75","6.75","6.75","6.75","6.75","6.75","6.75","6.75","6.75","6.75","6.75","6.75","6.75","6.75","6.75","6.75","6.75","6.75","7","7","7","7","7","7.25","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","6","6","6","5.75","5.5","5.25","5","5","5","5","5","5.25","5.75","6","6","6","6","5.5","5","5","4.75","4.5","4.25","4.25","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4.25","4.25","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.25","4.25","4","4","4","4","3.75","3.75","3.75","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.75","3.75","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3.25","3.5","3.5","4","4.5","4.5","4.75","4.75","4.75","4.75","4.75","4.75","4.5","4.5","4.5","4.25","4","4","4","4","4","3.75","3.25","2.75","2.75","2.25","2.25","2.25","2.25","2.25","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2.25","2.5","3.25","3.75","4.25","4.25","5","5.5","5.5","6","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.25","6.25","6","6","5.75"
"IMF.STA:MFS_IR(8.0.1)","STP.MFS166_RT_PT_A_PT.M","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","Monetary policy-related, Rate, Percent per annum","Monthly","Units","17","17","17","17","17","17","17","17","17","17","17","17","17","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","14.5","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","24","24","24","24","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","26","26","23.5","19","19","19","19","17","17","16","16","16","16","16","16","16","16","16","16","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","12","12","12","12","12","12","12","12","12","12","12","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"IMF.STA:MFS_IR(8.0.1)","TJK.MFS166_RT_PT_A_PT.M","OBS_VALUE","Tajikistan, Republic of","Monetary policy-related, Rate, Percent per annum","Monthly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.25","8.25","9","9","9","9","9","9","9","9","10","10","9.8","9.8","9","8","8","8","8","6.8","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.1","6.1","6.1","5.5","5.5","5.5","4.8","4.8","4.8","4.8","5.9","5.9","5.9","5.9","5.9","6.9","6.9","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","9","9","9","9","11","11","11","11","11","12.5","12.5","16","16","16","16","16","16","16","16","16","16","16","14.75","14.75","14","14","14","14","14","14","14","14","14","14","14","14.75","14.75","14.75","14.75","13.25","13.25","13.25","13.25","13.25","13.25","12.25","12.25","12.75","12.75","12.75","11.75","11.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_IR(8.0.1)","KAZ.MFS166_RT_PT_A_PT.M","OBS_VALUE","Kazakhstan, Republic of","Monetary policy-related, Rate, Percent per annum","Monthly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","7.5","8","8","8","8","8","8","8","8","8","8.5","8.5","8.5","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","11","11","11","11","11","11","11","10.5","10.5","10.5","10.5","10.5","10.5","10","9.5","9.5","9.5","9","8.5","8","7.5","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7","7","6.5","6.5","6","6","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","12","16","16","16","16","17","17","17","15","15","13","13","13","12.5","12","12","12","11","11","11","11","10.5","10.5","10.25","10.25","10.25","10.25","10.25","9.75","9.75","9.5","9.25","9.25","9","9","9","9","9.25","9.25","9.25","9.25","9.25","9.25","9","9","9","9","9","9.25","9.25","9.25","9.25","9.25","9.25","12","9.5","9.5","9.5","9","9","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_IR(8.0.1)","SEN.MFS166_RT_PT_A_PT.M","OBS_VALUE","Senegal","Monetary policy-related, Rate, Percent per annum","Monthly","Units","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","3.5","3.5","3.5","3.5","3.5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3","3","3","3","3","3","3","3","3","2.75","2.75","2.75","2.75","2.75","2.75","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_IR(8.0.1)","NER.MFS166_RT_PT_A_PT.M","OBS_VALUE","Niger","Monetary policy-related, Rate, Percent per annum","Monthly","Units","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","3.5","3.5","3.5","3.5","3.5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3","3","3","3","3","3","3","3","3","2.75","2.75","2.75","2.75","2.75","2.75","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_IR(8.0.1)","PNG.MFS166_RT_PT_A_PT.M","OBS_VALUE","Papua New Guinea","Monetary policy-related, Rate, Percent per annum","Monthly","Units","","","","","","","","","","","","","","","","","","","","","","","","12","12","12","12","12","12","12","12","12.5","12.5","12.5","14","14","14.5","15","15","15","15","16","16","15","15","14","14","14","13","13","12","11","10","10","10","10","9","7","7","7","7","7","7","7","7","7","7","7","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6.25","6.25","6.5","7","7","7","8","8","8","8","8","8","8","8","8","8","8","8","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7.25","7.5","7.5","7.75","7.75","7.75","7.75","7.75","7.75","7.75","7.75","7.75","7.75","7.75","7.75","6.75","6.75","6.75","6.75","6.75","6.75","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6.25","6","5.5","5.5","5.5","5","5","5","5","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3.25","3.25","3.25","3.25","3.25","3.25","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3","3","2.5","2.5","2.5","2","2","2","2.5","2.5","2.5","3","4","4","4","4"
"IMF.STA:MFS_IR(8.0.1)","THA.MFS166_RT_PT_A_PT.M","OBS_VALUE","Thailand","Monetary policy-related, Rate, Percent per annum","Monthly","Units","","","","","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","2.5","2.5","2.5","2.5","2.5","2.5","2.25","2","2","2","2","2","2","2","2","2","2","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.5","1.5","1.75","1.75","2","2","2","2.25","2.25","2.25","2.5","2.75","2.75","3.25","3.75","3.75","4","4.25","4.25","4.5","4.75","4.75","5","5","5","5","5","5","5","4.75","4.5","4.5","4","3.5","3.5","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.5","3.75","3.75","3.75","3.75","2.75","2","1.5","1.5","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.5","1.75","1.75","1.75","1.75","2","2.25","2.25","2.5","2.75","2.75","3","3.25","3.5","3.5","3.5","3.25","3.25","3","3","3","3","3","3","3","3","3","2.75","2.75","2.75","2.75","2.75","2.75","2.75","2.5","2.5","2.5","2.5","2.5","2.5","2.25","2.25","2.25","2.25","2","2","2","2","2","2","2","2","2","2","2","2","1.75","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.5","1.5","1.5","1.25","1.25","1.25","1","0.75","0.75","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.75","1","1","1.25","1.25","1.5","1.5","1.75","1.75","2","2","2","2.25","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.25","2.25","2.25"
"IMF.STA:MFS_IR(8.0.1)","CHL.MFS166_RT_PT_A_PT.M","OBS_VALUE","Chile","Monetary policy-related, Rate, Percent per annum","Monthly","Units","5.02","5.25","5.37","5.5","5.5","5.5","5.5","5.43","5","5","5","5","4.9","4.68","4.05","3.84","3.75","3.5","3.5","6.5","6.5","6.5","6.5","6.5","6","5.5","4.75","4.75","4","4","3.25","3","3","3","3","3","2.75","2.75","2.75","2.75","2.75","2.75","2.75","2.75","2.75","2.75","2.75","2.25","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","2","2","2.25","2.25","2.5","2.75","2.75","3","3.25","3.25","3.5","3.75","4","4.25","4.5","4.5","4.5","4.75","4.75","5","5","5","5.25","5.25","5.25","5.25","5.25","5.25","5","5","5","5","5","5","5.25","5.5","5.75","5.75","5.75","6","6.25","6.25","6.25","6.25","6.25","6.75","7.25","7.75","8.25","8.25","8.25","8.25","7.25","4.75","2.25","1.75","1.25","0.75","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","1","1.5","2","2.5","2.75","3","3.25","3.25","3.5","4","4.5","5","5.25","5.25","5.25","5.25","5.25","5.25","5.25","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4.75","4.5","4.5","4.5","4.25","4","4","4","4","3.75","3.5","3.25","3","3","3","3","3","3","3","3","3","3","3","3","3.25","3.25","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.25","3.25","3","2.75","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.75","2.75","2.75","3","3","3","3","3","2.5","2.5","2.5","2","1.75","1.75","1.75","1.75","1.75","1","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.75","0.75","1.5","2.75","2.75","4","5.5","5.5","7","7","8.25","9","9.75","9.75","10.75","11.25","11.25","11.25","11.25","11.25","11.25","11.25","11.25","11.25","10.25","10.25","9.5","9","9","8.25","8.25","7.25","7.25","6.5","6","5.75","5.75","5.75","5.5","5.25","5.25","5"
"IMF.STA:MFS_IR(8.0.1)","TGO.MFS166_RT_PT_A_PT.M","OBS_VALUE","Togo","Monetary policy-related, Rate, Percent per annum","Monthly","Units","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","3.5","3.5","3.5","3.5","3.5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3","3","3","3","3","3","3","3","3","2.75","2.75","2.75","2.75","2.75","2.75","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
