Date,Country,CDS_Spread
2000-01-01,Austria,
2000-01-08,Austria,
2000-01-15,Austria,
2000-01-22,Austria,
2000-01-29,Austria,
2000-02-05,Austria,
2000-02-12,Austria,
2000-02-19,Austria,
2000-02-26,Austria,
2000-03-04,Austria,
2000-03-11,Austria,
2000-03-18,Austria,
2000-03-25,Austria,
2000-04-01,Austria,
2000-04-08,Austria,
2000-04-15,Austria,
2000-04-22,Austria,
2000-04-29,Austria,
2000-05-06,Austria,
2000-05-13,Austria,
2000-05-20,Austria,
2000-05-27,Austria,
2000-06-03,Austria,
2000-06-10,Austria,
2000-06-17,Austria,
2000-06-24,Austria,
2000-07-01,Austria,
2000-07-08,Austria,
2000-07-15,Austria,
2000-07-22,Austria,
2000-07-29,Austria,
2000-08-05,Austria,
2000-08-12,Austria,
2000-08-19,Austria,
2000-08-26,Austria,
2000-09-02,Austria,
2000-09-09,Austria,
2000-09-16,Austria,
2000-09-23,Austria,
2000-09-30,Austria,
2000-10-07,Austria,
2000-10-14,Austria,
2000-10-21,Austria,
2000-10-28,Austria,
2000-11-04,Austria,
2000-11-11,Austria,
2000-11-18,Austria,
2000-11-25,Austria,
2000-12-02,Austria,
2000-12-09,Austria,
2000-12-16,Austria,
2000-12-23,Austria,
2000-12-30,Austria,
2001-01-06,Austria,
2001-01-13,Austria,
2001-01-20,Austria,
2001-01-27,Austria,
2001-02-03,Austria,
2001-02-10,Austria,
2001-02-17,Austria,
2001-02-24,Austria,
2001-03-03,Austria,
2001-03-10,Austria,
2001-03-17,Austria,
2001-03-24,Austria,
2001-03-31,Austria,
2001-04-07,Austria,
2001-04-14,Austria,
2001-04-21,Austria,
2001-04-28,Austria,
2001-05-05,Austria,
2001-05-12,Austria,
2001-05-19,Austria,
2001-05-26,Austria,
2001-05-28,Austria,
2001-06-02,Austria,
2001-06-04,Austria,
2001-06-09,Austria,
2001-06-11,Austria,
2001-06-16,Austria,
2001-06-18,Austria,
2001-06-23,Austria,
2001-06-25,Austria,
2001-06-30,Austria,
2001-07-02,Austria,
2001-07-07,Austria,
2001-07-09,Austria,
2001-07-14,Austria,
2001-07-16,Austria,
2001-07-21,Austria,
2001-07-23,Austria,
2001-07-28,Austria,
2001-07-30,Austria,
2001-08-04,Austria,
2001-08-06,Austria,
2001-08-11,Austria,
2001-08-13,Austria,
2001-08-18,Austria,
2001-08-20,Austria,
2001-08-25,Austria,
2001-08-27,Austria,
2001-09-01,Austria,
2001-09-03,Austria,
2001-09-08,Austria,
2001-09-10,Austria,
2001-09-15,Austria,
2001-09-17,Austria,
2001-09-22,Austria,
2001-09-24,Austria,
2001-09-29,Austria,
2001-10-01,Austria,
2001-10-06,Austria,
2001-10-08,Austria,
