country,date,year,quarter,month,week,cds_spread_5Y,cds_spread_1Y,fx_rate,msci_index,monetary_base_mn_localcurr,domestic_debt_bn_localcurr,external_debt_mn_usd,domestic_rate_in_units,risk_free_rate
Brazil,2014-01-03,2014,1.00,1.00,1,187.25,54.92,2.371500015,826.471,560240.341,3560.826,174931.2951,10.5,0.13
Brazil,2014-01-10,2014,1.00,1.00,2.00,191.83,57.62999,2.353499889,804.646,560240.341,3560.826,174931.2951,10.5,0.12
Brazil,2014-01-17,2014,1.00,1.00,3.00,194.64,58.73999,2.347500086,791.438,560240.341,3560.826,174931.2951,10.5,0.11
Brazil,2014-01-24,2014,1.00,1.00,4.00,206.22,68.06,2.393199921,781.836,560240.341,3560.826,174931.2951,10.5,0.11
Brazil,2014-01-31,2014,1.00,1.00,5.00,205.43,62.89999,2.4223001,739.29,560240.341,3560.826,174931.2951,10.5,0.1
Brazil,2014-02-07,2014,1.00,2.00,6.00,183.07,47.09,2.375200033,714.782,566323.7144,3560.826,174931.2951,10.5,0.12
Brazil,2014-02-14,2014,1.00,2.00,7.00,184.8,47.75,2.38409996,745.282,566323.7144,3560.826,174931.2951,10.5,0.11
Brazil,2014-02-21,2014,1.00,2.00,8.00,177.89,45.09,2.340600014,750.029,566323.7144,3560.826,174931.2951,10.5,0.12
Brazil,2014-02-28,2014,1.00,2.00,9.00,170.39,39.75,2.333400011,765.166,566323.7144,3560.826,174931.2951,10.5,0.12
Brazil,2014-03-07,2014,1.00,3.00,10.00,170.76,41.73999,2.335599899,757.713,573520.8279,3560.826,174931.2951,10.5,0.13
Brazil,2014-03-14,2014,1.00,3.00,11.00,180.9,45.07999,2.340500116,735.983,573520.8279,3560.826,174931.2951,10.5,0.12
Brazil,2014-03-21,2014,1.00,3.00,12.00,179.04,46.09,2.3197999,726.559,573520.8279,3560.826,174931.2951,10.5,0.14
Brazil,2014-03-28,2014,1.00,3.00,13.00,158.05,39.42999,2.256099939,778.453,573520.8279,3560.826,174931.2951,10.5,0.13
Brazil,2014-04-04,2014,2.00,4.00,14.00,161.72,35.76999,2.260699987,839.396,567398.6257,3560.826,174931.2951,10.75,0.11
Brazil,2014-04-11,2014,2.00,4.00,15.00,153.38,37.75999,2.21600008,871.718,567398.6257,3560.826,174931.2951,10.75,0.09
Brazil,2014-04-18,2014,2.00,4.00,16.00,152.94,31.65999,2.228199959,873.691,567398.6257,3560.826,174931.2951,10.75,0.11
Brazil,2014-04-25,2014,2.00,4.00,17.00,148.89,36.14,2.238800049,869.7,567398.6257,3560.826,174931.2951,10.75,0.11
Brazil,2014-05-02,2014,2.00,5.00,18.00,141.45,32.64999,2.230700016,856.353,562889.3722,3560.826,174931.2951,10.75,0.1
Brazil,2014-05-09,2014,2.00,5.00,19.00,144.55,34.09,2.207499981,885.544,562889.3722,3560.826,174931.2951,10.75,0.1
Brazil,2014-05-16,2014,2.00,5.00,20.00,146.38,35.54999,2.200000048,899.05,562889.3722,3560.826,174931.2951,10.75,0.09
Brazil,2014-05-23,2014,2.00,5.00,21.00,146.37,36.04999,2.219000101,891.463,562889.3722,3560.826,174931.2951,10.75,0.1
Brazil,2014-05-30,2014,2.00,5.00,22.00,139.78,32.54999,2.223599911,879.926,562889.3722,3560.826,174931.2951,10.75,0.1
Brazil,2014-06-06,2014,2.00,6.00,23.00,133.74,30.12,2.242799997,840.378,573469.7957,3560.826,174931.2951,10.75,0.11
Brazil,2014-06-13,2014,2.00,6.00,24.00,135.25,32.09999,2.219599962,897.34,573469.7957,3560.826,174931.2951,10.75,0.11
Brazil,2014-06-20,2014,2.00,6.00,25.00,138.99,36.39999,2.225300074,901.134,573469.7957,3560.826,174931.2951,10.75,0.09
Brazil,2014-06-27,2014,2.00,6.00,26.00,138.97,35.89999,2.193900108,898.794,573469.7957,3560.826,174931.2951,10.75,0.1
Brazil,2014-07-04,2014,3.00,7.00,27.00,140.98,37.39,2.209800005,887.66,580932.4842,3560.826,174931.2951,10.75,0.11
Brazil,2014-07-11,2014,3.00,7.00,28.00,146.36,38.89999,2.217499971,888.035,580932.4842,3560.826,174931.2951,10.75,0.11
Brazil,2014-07-18,2014,3.00,7.00,29.00,138.35,34.89999,2.222300053,919.829,580932.4842,3560.826,174931.2951,10.75,0.1
Brazil,2014-07-25,2014,3.00,7.00,30.00,136.86,36.12999,2.222100019,945.464,580932.4842,3560.826,174931.2951,10.75,0.11
Brazil,2014-08-01,2014,3.00,8.00,31.00,151.88,50.60999,2.252300024,942.33,548547.7721,3560.826,174931.2951,10.75,0.13
Brazil,2014-08-08,2014,3.00,8.00,32.00,148.95,52.07999,2.279000044,911.608,548547.7721,3560.826,174931.2951,10.75,0.1
Brazil,2014-08-15,2014,3.00,8.00,33.00,144.07,46.60999,2.256400108,904.733,548547.7721,3560.826,174931.2951,10.75,0.09
Brazil,2014-08-22,2014,3.00,8.00,34.00,139.51,46.09999,2.272900105,925.424,548547.7721,3560.826,174931.2951,10.75,0.1
Brazil,2014-08-29,2014,3.00,8.00,35.00,128.38,34.37,2.231600046,950.706,548547.7721,3560.826,174931.2951,10.75,0.09
Brazil,2014-09-05,2014,3.00,9.00,36.00,128.05,33.87,2.239300013,992.106,538873.8267,3560.826,174931.2951,10.75,0.1
Brazil,2014-09-12,2014,3.00,9.00,37.00,145.62,46.12,2.271899939,956.475,538873.8267,3560.826,174931.2951,10.75,0.11
Brazil,2014-09-19,2014,3.00,9.00,38.00,141.79,44.09,2.36500001,896.902,538873.8267,3560.826,174931.2951,10.75,0.11
Brazil,2014-09-26,2014,3.00,9.00,39.00,162.8,56.09999,2.419800043,863.143,538873.8267,3560.826,174931.2951,10.75,0.11
Brazil,2014-10-03,2014,4.00,10.00,40.00,173.59,60.59,2.454900026,809.651,530513.5456,3560.826,174931.2951,11,0.11
Brazil,2014-10-10,2014,4.00,10.00,41.00,158.57,55.35999,2.385999918,854.659,530513.5456,3560.826,174931.2951,11,0.1
Brazil,2014-10-17,2014,4.00,10.00,42.00,153.26,52.34999,2.430700064,874.728,530513.5456,3560.826,174931.2951,11,0.11
Brazil,2014-10-24,2014,4.00,10.00,43.00,160.83,56.09999,2.468899965,796.326,530513.5456,3560.826,174931.2951,11,0.11
Brazil,2014-10-31,2014,4.00,10.00,44.00,152.56,53.09999,2.413500071,718.711,530513.5456,3560.826,174931.2951,11,0.11
Brazil,2014-11-07,2014,4.00,11.00,45.00,170.88,62.56999,2.566600084,776.805,531322.9287,3560.826,174931.2951,11,0.12
Brazil,2014-11-14,2014,4.00,11.00,46.00,183.4,70.56,2.596800089,748.391,531322.9287,3560.826,174931.2951,11,0.15
Brazil,2014-11-21,2014,4.00,11.00,47.00,156.48,52.84999,2.512000084,710.241,531322.9287,3560.826,174931.2951,11,0.14
Brazil,2014-11-28,2014,4.00,11.00,48.00,151.58,48.60999,2.527199984,782.307,531322.9287,3560.826,174931.2951,11,0.13
Brazil,2014-12-05,2014,4.00,12.00,49.00,163.49,59.07999,2.586100101,733.288,548460.6034,3560.826,174931.2951,11,0.18
Brazil,2014-12-12,2014,4.00,12.00,50.00,209,90.00999,2.649600029,697.156,548460.6034,3560.826,174931.2951,11,0.19
Brazil,2014-12-19,2014,4.00,12.00,51.00,182.57,85.01999,2.659300089,629.815,548460.6034,3560.826,174931.2951,11,0.26
Brazil,2014-12-26,2014,4.00,12.00,52.00,182.43,88.03,2.695199966,679.749,548460.6034,3560.826,174931.2951,11,0.26
Brazil,2015-01-02,2015,1.00,1.00,1.00,207.97,107.97,2.653199911,676.648,525862.7771,4300.759,172887.433,12.25,0.25
Brazil,2015-01-09,2015,1.00,1.00,2.00,201.92,99,2.659699917,628.864,525862.7771,4300.759,172887.433,12.25,0.22
Brazil,2015-01-16,2015,1.00,1.00,3.00,205.65,98.5,2.638700008,648.938,525862.7771,4300.759,172887.433,12.25,0.17
Brazil,2015-01-23,2015,1.00,1.00,4.00,193.65,88.53,2.57069993,651.848,525862.7771,4300.759,172887.433,12.25,0.17
Brazil,2015-01-30,2015,1.00,1.00,5.00,212.77,102.49,2.678800106,670.825,525862.7771,4300.759,172887.433,12.25,0.18
Brazil,2015-02-06,2015,1.00,2.00,6.00,229.48,114.46,2.741600037,633.764,522377.7389,4300.759,172887.433,12.25,0.26
Brazil,2015-02-13,2015,1.00,2.00,7.00,235.35,111.96,2.830899954,635.083,522377.7389,4300.759,172887.433,12.25,0.23
Brazil,2015-02-20,2015,1.00,2.00,8.00,235.89,113.96,2.863300085,635.105,522377.7389,4300.759,172887.433,12.25,0.23
Brazil,2015-02-27,2015,1.00,2.00,9.00,235.88,113.96,2.904999971,636.307,522377.7389,4300.759,172887.433,12.25,0.22
Brazil,2015-03-06,2015,1.00,3.00,10.00,253.64,128.43,3.000099897,629.378,524322.3247,4300.759,172887.433,12.25,0.27
Brazil,2015-03-13,2015,1.00,3.00,11.00,302.25,154.35,3.244999886,562.758,524322.3247,4300.759,172887.433,12.25,0.24
Brazil,2015-03-20,2015,1.00,3.00,12.00,291.2898,135.37,3.290400028,538.572,524322.3247,4300.759,172887.433,12.25,0.24
Brazil,2015-03-27,2015,1.00,3.00,13.00,285.95,133.37,3.179500103,580.281,524322.3247,4300.759,172887.433,12.25,0.27
Brazil,2015-04-03,2015,2.00,4.00,14.00,259.48,110.71,3.122200012,557.212,519039.288,4300.759,172887.433,12.25,0.21
Brazil,2015-04-10,2015,2.00,4.00,15.00,245.19,110.46,3.055299997,615.503,519039.288,4300.759,172887.433,12.25,0.24
Brazil,2015-04-17,2015,2.00,4.00,16.00,241.81,104.98,3.03670001,616.126,519039.288,4300.759,172887.433,12.25,0.23
Brazil,2015-04-24,2015,2.00,4.00,17.00,220.11,91.01999,2.948299885,622.397,519039.288,4300.759,172887.433,12.25,0.24
Brazil,2015-05-01,2015,2.00,5.00,18.00,237.95,100.49,3.011100054,668.96,526021.4795,4300.759,172887.433,12.25,0.25
Brazil,2015-05-08,2015,2.00,5.00,19.00,222.26,87.03,3.021300077,652.141,526021.4795,4300.759,172887.433,12.25,0.23
Brazil,2015-05-15,2015,2.00,5.00,20.00,228.93,93.00999,2.989900112,661.727,526021.4795,4300.759,172887.433,12.25,0.23
Brazil,2015-05-22,2015,2.00,5.00,21.00,220.46,83.78999,3.03670001,653.449,526021.4795,4300.759,172887.433,12.25,0.23
Brazil,2015-05-29,2015,2.00,5.00,22.00,231.01,89.51999,3.158400059,625.401,526021.4795,4300.759,172887.433,12.25,0.26
Brazil,2015-06-05,2015,2.00,6.00,23.00,247.9,100.49,3.1401999,585.564,513879.5985,4300.759,172887.433,12.25,0.29
Brazil,2015-06-12,2015,2.00,6.00,24.00,242.18,95.00999,3.087100029,593.207,513879.5985,4300.759,172887.433,12.25,0.28
Brazil,2015-06-19,2015,2.00,6.00,25.00,240.17,89.01999,3.057800055,601.046,513879.5985,4300.759,172887.433,12.25,0.25
Brazil,2015-06-26,2015,2.00,6.00,26.00,256.0898,99.5,3.1243999,614.336,513879.5985,4300.759,172887.433,12.25,0.29
Brazil,2015-07-03,2015,3.00,7.00,27.00,249.89,93.01999,3.094000101,593.275,514327.7481,4300.759,172887.433,12.75,0.26
Brazil,2015-07-10,2015,3.00,7.00,28.00,251.79,92.01999,3.221100092,584.876,514327.7481,4300.759,172887.433,12.75,0.28
Brazil,2015-07-17,2015,3.00,7.00,29.00,262.49,100,3.185199976,589.946,514327.7481,4300.759,172887.433,12.75,0.29
Brazil,2015-07-24,2015,3.00,7.00,30.00,293.25,114.2,3.284199953,567.246,514327.7481,4300.759,172887.433,12.75,0.32
Brazil,2015-07-31,2015,3.00,7.00,31.00,288.8699,109.46,3.370800018,514.083,514327.7481,4300.759,172887.433,12.75,0.33
Brazil,2015-08-07,2015,3.00,8.00,32.00,327.8999,136.39,3.531599998,513.495,527538.4893,4300.759,172887.433,12.75,0.38
Brazil,2015-08-14,2015,3.00,8.00,33.00,300.5698,113.46,3.519299984,499.046,527538.4893,4300.759,172887.433,12.75,0.41
Brazil,2015-08-21,2015,3.00,8.00,34.00,336.74,144.84,3.457799911,479.325,527538.4893,4300.759,172887.433,12.75,0.36
Brazil,2015-08-28,2015,3.00,8.00,35.00,327.0698,134.87,3.550199986,440.317,527538.4893,4300.759,172887.433,12.75,0.38
Brazil,2015-09-04,2015,3.00,9.00,36.00,375.1199,166.79,3.734999895,449.808,554806.8376,4300.759,172887.433,12.75,0.36
Brazil,2015-09-11,2015,3.00,9.00,37.00,392.8799,178.21,3.848099947,423.577,554806.8376,4300.759,172887.433,12.75,0.4
Brazil,2015-09-18,2015,3.00,9.00,38.00,390.3398,173.71,3.891400099,425.422,554806.8376,4300.759,172887.433,12.75,0.35
Brazil,2015-09-25,2015,3.00,9.00,39.00,489.5098,309.22,3.933000088,407.582,554806.8376,4300.759,172887.433,12.75,0.35
Brazil,2015-10-02,2015,4.00,10.00,40.00,521.3599,360.5698,3.998800039,381.922,566280.402,4300.759,172887.433,13.25,0.25
Brazil,2015-10-09,2015,4.00,10.00,41.00,410.8398,234.64,3.75909996,424.88,566280.402,4300.759,172887.433,13.25,0.28
Brazil,2015-10-16,2015,4.00,10.00,42.00,435.3699,254.52,3.792500019,456.422,566280.402,4300.759,172887.433,13.25,0.23
Brazil,2015-10-23,2015,4.00,10.00,43.00,445.24,262.8198,3.902299881,425.009,566280.402,4300.759,172887.433,13.25,0.24
Brazil,2015-10-30,2015,4.00,10.00,44.00,429.6699,237.63,3.844700098,424.295,566280.402,4300.759,172887.433,13.25,0.34
Brazil,2015-11-06,2015,4.00,11.00,45.00,401.45,206.91,3.780100107,414.399,571388.5027,4300.759,172887.433,13.25,0.47
Brazil,2015-11-13,2015,4.00,11.00,46.00,426.99,217.34,3.766900063,424.07,571388.5027,4300.759,172887.433,13.25,0.5
Brazil,2015-11-20,2015,4.00,11.00,47.00,388.6199,175.61,3.761199951,425.038,571388.5027,4300.759,172887.433,13.25,0.49
