Month,Philippines,Turkey,Egypt,Chile,Mexico,Malaysia,Indonesia,Colombia,Brazil,South Africa,Thailand,South Korea,United Arab Emirates,China,Qatar,Saudi Arabia
31.01.2000,,,,4057502,34216.93,,,,,,,,,1582.8,,99340.457
29.02.2000,,,,3987887,48676.11,,,,,,,,,1582.8,,98871.974
31.03.2000,,,,3986135,35718.26,,,,,,,,,1582.8,,98868.647
28.04.2000,,,,4091349,42905.79,,,,,,,,,1582.8,,99988.015
31.05.2000,,,,4165561,50844.22,,,,,,,,,1582.8,,101584.107
30.06.2000,,,,4242716,46843.82,,,,,,,,,1582.8,,103972.297
31.07.2000,,,,4370721,43571.23,,,,,,,,,1582.8,,108116.42
31.08.2000,,,,4426018,40118.3,,,,,,,,,1582.8,,110703.49
29.09.2000,,,,4463106,42420.69,,,,,,,,,1582.8,,112158.215
31.10.2000,,,,4525602,54863.92,,,,,,,,,1582.8,,112396.979
30.11.2000,,,,4600631,48216.05,,,,,,,,,1582.8,,112003.212
29.12.2000,,,,4548559,60606.56,,,,,,,,,1582.8,,110062.408
31.01.2001,,,,4507957,63956.94,,,,,,,,,2729.84,,109424.319
28.02.2001,,,,4548376,49606.38,,,,,,,,,2801.81,,111128.592
30.03.2001,,,,4725972,53624.57,,,,,,,,,2731.1,,110428.346
30.04.2001,,,,4789691,37280.13,,,,,,,,,2840.5,,111076.534
31.05.2001,,,,4879774,41454.69,,,,,,,,,2841.76,,114258.508
29.06.2001,,,,4974585,44003.55,,,,,,,,,2841.2,,116546.916
31.07.2001,,,,5230693,41272.03,,,,,,,,,2842.73,,117690.59
31.08.2001,,,,5214754,47451.94,,,,,,,,,2855.3,,118538.414
28.09.2001,,,,5461461,53379.85,,,,,,,,,2811.5,,121972.162
31.10.2001,,,,5611427,52872.3,,,,,,,,,2813.69,,121427.495
30.11.2001,,,,5396769,88465.13,,,,,,,,,,,122607.769
31.12.2001,198035.98,34699,116392,5049006,62763.38,1422,270228283,2033962.409,189786,9065,124406.4,6388027,0,2821.3,,121843.239
31.01.2002,207222.378,33391,115270,5188601,65351.85,1378,288075519,1942119.537,193934,8707,135047.5,5444117,0,2725.62,,121206.102
28.02.2002,214337.987,41666,115539,5171812,51350.67,1377,288587659,1967459.184,198786,8707,130417.1,5526762,0,2725.62,,118051.409
29.03.2002,213933.627,42322,119420,5105907,52965.87,1379,289153057,1724147.291,198206,8231,142115.8,5825400,0,2727.7,,119090.961
30.04.2002,217898.903,44289,120174,5014881,54216.39,1378,289765022,1696880.789,203919,8789,123842.6,5224260,0,2657.7,,117533.007
31.05.2002,217700.622,43673,122952,5055615,43505.85,1378,290331579,1590535.322,204734,8809,114265.8,5512184,0,2577.12,,124696.608
28.06.2002,216111.077,47859,122155,5136639,73596.06,1378,290900047,1723228.25,215518,45942,113459.5,5285379,450,2537.5,,125152.715
