Quarter,China,Chile,Indonesia,Malaysia,Mexico,Egypt,Philippines,Brazil,Turkey,South Korea,South Africa,Thailand,Saudi Arabia,United Arab Emirates,Colombia,Qatar
Q1 2000,2722.735,3311.877,291727.2,79247.66,539.709,288493.4,1019362,379620,26679,74783,315943.4,639.29,680925.9,11800,64340.37,33967
Q2 2000,2763.859,3432.783,399233.9,84709.93,566.153,287516,1046333,466288.1,30392,77511,324279.5,671.23,680925.9,11800,64340.37,33967
Q3 2000,2804.837,3461.419,423516.4,89261.14,600.781,295208.7,1030743,473129.8,31417,84036,327270.3,718.81,680925.9,11800,64340.37,33967
Q4 2000,2846.056,3544.702,444232.2,95752.27,675.107,309608,1068200,469874.2,36421,81529,319879.2,740.94,680925.9,11800,64340.37,33967
Q1 2001,3109.479,3750.722,447910.1,90889.27,712.84,321976.6,1122495,494279.3,50851,82079,316860.1,777.87,718424.1,10205,85977.82,37721
Q2 2001,3372.898,3845.785,450409.1,91175.36,714.4,333176,1141793,498062.2,90332,86083,335957.9,768.78,718424.1,10205,85977.82,37721
Q3 2001,3636.315,3821.583,445321.7,98456.88,734.344,341749.4,1187184,491463.5,105769,89420,343478.7,814.09,718424.1,10205,85977.82,37721
Q4 2001,3899.715,3960.125,447834,108833.3,763.559,351602.5,1247683,566159.5,122157,94905,331944.4,845.69,718424.1,10205,85977.82,37721
Q1 2002,4041.904,4091.145,446477,97668.52,812.913,363234.9,1276803,594194.9,120299,99057,305794.1,910.29,744278,13822,104978.1,33545
Q2 2002,4184.065,4193.62,442129.3,99808.3,852.708,374141.1,1398262,629195.1,126830.5,100435,318039.8,950.68,744278,13822,104978.1,33545
Q3 2002,4326.273,4044.886,437553.3,106078.8,862.505,398194.7,1412483,711705.7,140290.7,102134,303749.1,1260.98,744278,13822,104978.1,33545
Q4 2002,4468.434,4055.227,431426.8,115363.5,907.408,428329.5,1471202,615075.9,149869.7,102443,264258.5,1293.88,744278,13822,104978.1,33545
Q1 2003,4627.688,3207.371,422515.4,111557,871.843,444567.6,1475708,655431.1,162557.9,106038,275466.1,1258.51,703042.6,15216,117760.7,33484
Q2 2003,4786.949,3121.36,414588.6,117247.2,922.556,468559.9,1542898,687970,175269.9,109375,282370.1,1253.87,703042.6,15216,117760.7,33484
Q3 2003,4946.196,3066.425,409613.4,126394.1,986.927,486471.4,1656676,741754.6,178711.7,119308,302536.3,1307.36,703042.6,15216,117760.7,33484
Q4 2003,5105.471,3318.662,415057.7,135806.8,1011.889,479087.5,1703781,784009.2,194386.7,128431,325704.3,1279.28,703042.6,15216,117760.7,33484
Q1 2004,5294.545,3143.741,410346.9,128872.1,1034.129,480523.7,1762747,810737.2,203707.5,146576,316585.2,1286.26,614460.9,22148,121987.1,33539
Q2 2004,5483.646,3036.746,405467.3,132498.1,1078.896,488607.3,1833495,828815.6,209118.7,154214,337168.6,1325.01,614460.9,22148,121987.1,33539
Q3 2004,5672.745,2876.853,412027.9,144365.7,1084.822,499340,1960780,837359.9,217571.4,165643,348109.9,1506.49,614460.9,22148,121987.1,33539
Q4 2004,5861.851,2947.992,413676.1,163138.8,1099.206,519195,2001220,884702.6,224482.9,173970,372067.8,1508.58,614460.9,22148,121987.1,33539
Q1 2005,6043.213,2773.579,421932.1,155377.4,1127.706,528676,2059465,945621.6,232489.4,205697,354863.2,1513.75,458012.4,29727,136081.3,31075
Q2 2005,6164.482,2381.825,416645.2,155697.8,1160.432,543893,2034992,987058.5,234798.7,221750,372395.7,1485.16,458012.4,29727,136081.3,31075
Q3 2005,6305.742,2433.536,418098.8,165613.5,1213.612,526607,2144468,1042488,243206.8,224878,387358.6,1576.15,458012.4,29727,136081.3,31075
Q4 2005,6446.404,2381.864,411351,178110.6,1242.154,524976,2164293,1140188,244781.9,231710,393860.7,1614.65,458012.4,29727,136081.3,31075
Q1 2006,6312.382,2191.826,411123.6,166870.5,1284.643,531492,2190363,1153905,246360,266435.8,376517.2,1690.2,358481.5,41208,147011.6,29764
Q2 2006,6182.789,2085.539,419019.6,173993.9,1476.525,554837,2161367,1148012,249084.7,281423,386194.4,1738.54,358481.5,41208,147011.6,29764
Q3 2006,6701.425,1847.896,436955.6,184732.3,1650.249,558895,2164366,1190776,250869,290054.3,392688.5,1775.78,358481.5,41208,147011.6,29764
Q4 2006,7872.763,1726.123,430807.5,194741,1741.408,562090,2154078,1228670,251470,291090.5,399118.9,1797.48,358481.5,41208,147011.6,29764
Q1 2007,9334.56,1535.967,451458.4,185464.5,1787.766,572553,2177788,1276121,263723.6,288007.4,384571.7,1915.22,272368.6,84211,146714.7,25903
Q2 2007,10525.4,1468.367,463900.6,194762.4,1857.943,591001,2118861,1362748,253718.3,287401.6,388965.8,1927.11,272368.6,84211,146714.7,25903
Q3 2007,11018.64,1616.589,481723.4,213431.7,1929.776,607329,2205969,1404265,258271.9,286395.2,404450.1,1943.44,272368.6,84211,146714.7,25903
Q4 2007,10811.73,1527.231,487213.1,221546.8,1957.992,621597,2201167,1424668,255310,290058.7,405554.5,1957.99,272368.6,84211,146714.7,25903
Q1 2008,10502.66,2228.553,508464.8,210849,2039.599,631908,2286678,1485132,266477.4,305530.7,390325.8,2050.63,250648.4,103683,163306.8,46556
Q2 2008,10474.64,2570.238,529805,219849,2096.064,599603,2303223,1504715,260999.8,313414.7,403251.8,2093.07,250648.4,103683,163306.8,46556
Q3 2008,10693.6,2684.213,542161.8,228798,2178.256,639774,2369434,1550907,266363.6,336163.1,404333.1,2095.1,250648.4,103683,163306.8,46556
Q4 2008,11156.75,2495.678,525695,256512,2498.689,659477,2414428,1597587,274827.3,335311.3,420894,2061.01,250648.4,103683,163306.8,46556
