Year,Brazil,Chile,China,Colombia,Indonesia,Malaysia,Mexico,Philippines,Qatar,South Africa,South Korea,Saudi Arabia,Turkey,Thailand,United Arab Emirates,Egypt
2000,236156.6,37407.2,145906.9,31711.89,146742.2,38307.2,152260,59603.54,9702,25833.96,133806.8,19949.12,118601.9,79715,15199,27171.65
2001,226067,38740.3,184315.4,35433,135174.7,41240.46,165914,59546.24,8774,24876.87,114666.1,18021.5,113591.7,67509,17561,27610.4
2002,227689,41324.1,185465.7,33709,133417.3,44149.71,159276,61243.62,8421,34002,127375.7,14486.47,131790.4,59459,15752,28838.3
2003,235414,45243,207180.5,33445,136838.7,46368.54,164115,63994.69,9592,39309,137204.7,15377.36,148363,51909,16377,30548.2
2004,220182,45319,247359.2,35525,139672.1,55261.11,169545,62349,11449,45014,146960.9,17835.24,165686.7,58790,26043,31099.3
2005,187987,46624,285857,35647,134476.7,59280.22,175918,61555,15782,48761,160478,23549.14,175409.9,59294.84,40061,29691.6
2006,199372,49500,326419.5,38732,132629,63973.68,173454,61372,24185,60372,226971.6,32323.29,215148.2,69008.96,84716,28957.7
2007,240495,56533,377749.2,44802,141180.3,76909.57,199218,66508,43796,77140,336236.6,57513.92,259260.9,74415.25,133345,32840.2
2008,262910,64289,386423.1,45471,155080.2,97622.59,206736,65228,57016,74932,312940.5,63012.23,284786.6,76102.44,146081,32123.2
2009,277563,74293,454495.6,51539,172870.5,114164.7,251486.1,64738,69144,82893,342082.4,68052.42,275991.3,75306.13,150651,33287.3
2010,351941,87956,742737.5,64224,202413.2,139431,317999.7,73594,84065,111256,354692.8,71802.24,307496.3,100561.4,151268,34992.5
2011,404117,101094,1054210,77352,225374.5,170503.5,363915,75569,92547,118180,399149.8,69372.91,319648.7,104333.5,152877,33692.7
2012,440604,126214,1148164,81620,252364.2,196912.5,451693.9,79949,88246.06,141791,408188,70017.19,355190.2,130746.8,170741.4,38823.7
2013,482771,138226,1480477,97253,266109.3,217038,509593,78489,76314.96,136516,422096.1,70376.31,402446.9,141932.9,179741.2,45752.2
2014,560440,153696,1778381,113686,293328,222255.7,544167,77674,77598.55,145082,423034.1,70575.18,413585.3,141714.7,205492.7,41324.1
2015,540456,159613,1333769,122837,310730.3,195286.5,538015.2,77474,80722.03,124132,396064.2,64650.24,399634.5,131078.2,252367.5,47792.3
2016,548641,165217,1413904,137545,320005.8,211453.1,543011.6,74763,98557.79,142833,382126.3,88296.98,403636.8,132833.7,266451.2,67322.6
2017,545146,179976,1710820,145218,352468.6,212803,578618,73098,103647.7,173295,412019.5,110227.2,447294.4,155948.9,320021.5,82884.5
2018,559217,184220,1961562,154219,375430.2,221208.4,592606,78960,138938,172508,441153.4,140392.3,422260,163103,335556.7,96612.1
2019,573647,198396,2114162,159907,403562.6,227469.3,621607.4,83618,171944.1,185357,470735.7,174384.5,409791.7,172707.6,378780.7,112670.6
2020,554903,208485,2326232,177321,416935.3,233344.7,628510.2,98488,192801.4,170408,550628.2,225518.9,423454.6,190125.3,411323.2,129195.7
2021,567547,235405,2724354,193493,412025.3,258176.1,602083.5,106428,215270.4,160513,630694.3,268334.4,427960.3,196870.3,450672.4,145529.3
2022,576444,231526,2530502,204942,394763.2,250294.8,582636.4,111268,202593.6,164281,673295.9,263360.3,450244.8,201426.1,443905.1,162927.9
2023,607211,243345,2447538,219970,406722.3,269166.8,594002.6,125394,209089.3,158124,677323.5,298547.2,491930.3,196547,487275.4,168034.2
2024,603021,244989,2419836,220953,425117.9,307063.9,590136.1,137628,214258.5,168354,672902.9,370003.5,517174.7,195432.5,559777.7,155093.4
