Month,China,Brazil,Indonesia,Egypt,South Korea,Malaysia,Mexico,Philippines,Thailand,Turkey,United States,Colombia,Saudi Arabia,Qatar,United Arab Emirates,South Africa,Chile
31.01.2000,,,,,9.28,6.106,6.58,14.9,7.85,,6.86,,,,,13.49,
29.02.2000,,,,,8.99,6.044,6.04,14.8,7.33,,6.54,,,,,13.5,
31.03.2000,,,,,9.06,6.013,5.91,14.6,7.3,,6.38,,,,,13.92,
28.04.2000,,,,,8.95,6.088,,13.9,7.25,,6.18,,,,,14.27,
31.05.2000,,,,,8.96,6.056,7.52,13.9,7.02,,6.55,,,,,14.79,
30.06.2000,,,,,8.66,5.915,7.64,14.3,6.38,,6.28,,,,,14.33,
31.07.2000,,,,,8,5.9,,14.1,5.84,,6.2,,,,,13.9,
31.08.2000,,,,,7.85,5.964,6.81,14.5,6.11,,6.02,,,,,13.52,
29.09.2000,,,,,7.96,5.941,6.48,14.6,6.18,,6.09,,,,,13.72,
31.10.2000,,,,,7.84,5.894,6.91,14.6,5.96,,6.04,,,,,13.72,
30.11.2000,,,,,7.31,5.769,,14.6,6.01,,5.98,,,,,13.4,
29.12.2000,,,,,6.79,5.694,6.78,14.6,5.85,,5.64,,,,,12.88,
31.01.2001,,,,,5.99,5.25,7.47,17.5,5.02,,5.65,,,,,12.61,
28.02.2001,,,,,5.43,4.85,,17.5,4,,5.62,,,,,11.97,
30.03.2001,,,,,5.84,4.694,7.68,17.5,4.96,,5.49,,,,,11.79,
30.04.2001,,,,,6.59,4.744,7.26,17.5,5.17,,5.78,,,,,12.17,
31.05.2001,,,,,6.46,4.625,6.34,17.5,5.36,,5.92,,,,,11.93,
29.06.2001,,,,,6.04,4.469,,17.5,6.01,,5.82,,,,,11.32,
31.07.2001,,,,,5.75,4.338,6.05,17.5,6.17,,5.75,,,,,10.9,
31.08.2001,,,,,5.15,4.2,6.25,17.5,6.48,,5.58,,,,,10.75,
28.09.2001,,,,,4.89,3.565,6.56,17.5,6.3,,5.53,,,,,10.81,
31.10.2001,,,,,4.74,3.445,,15.5,5.85,,5.34,,,,,10.73,
30.11.2001,,,,,5.34,3.505,6.26,16.5,5.25,,5.33,,,,,10.27,
31.12.2001,,,,,5.93,3.81,5.78,16.5,5.01,,5.76,,,,,11.63,
31.01.2002,,,,,6.08,4.37,5.29,16.5,4.77,,5.69,,,,,11.7214,
28.02.2002,,,,,5.92,4.458,,14,4.91,,5.61,,,,,11.9055,
29.03.2002,,,,,6.3,4.825,5.11,14,5.59,,5.93,,,,,12.6416,
30.04.2002,,,,,6.47,4.857,4.89,14,5.84,,5.85,,,,,12.511,
31.05.2002,,,,,6.3,4.707,,13,5.48,,5.81,,,,,11.6473,
28.06.2002,2.5302,,,,5.93,4.097,5.32,13,5.45,,5.65,,,,,11.5963,
31.07.2002,2.8701,,,,5.7,4.088,5.92,13,5.12,,5.51,,,2,,11.1257,
30.08.2002,2.8466,,,,5.37,4.05,5.8,13,4.75,,5.19,,,2,,11.0819,
30.09.2002,3.0807,29.394,,,5.37,3.872,,13,4.23,,4.87,19,,2,,11.3535,
31.10.2002,3.0678,22.411,,,5.39,3.862,6.06,13,4,,5,16.35,,2,,11.2452,
29.11.2002,3.322,,,,5.29,4.053,5.75,12.1,3.71,,5.04,15,,1.7,,10.8357,
31.12.2002,3.0991,20.811,,,5.28,4.058,,12.1,3.69,,5.01,15.7,,1.7,,10.4416,
31.01.2003,3.0571,27.075,,,4.96,3.775,5.5,12.1,3.36,,5.02,15.65,,1.7,,10.2055,
28.02.2003,3.0088,20.439,,,4.73,3.783,5.44,12.1,3.3,,4.87,16.5,,1.7,,9.9425,
31.03.2003,2.9631,29.394,,,4.78,3.722,5.13,12.1,3.34,,4.82,16.35,,1.7,,9.985,
30.04.2003,3.1206,22.411,,,4.6,3.628,,12.8,3.33,,4.91,15.55,,1.7,,9.9463,
30.05.2003,2.8974,20.843,12.01,,4.27,3.56,4.71,12.8,3.01,,4.52,15,,1.7,,9.771,
30.06.2003,2.9844,18.908,12.01,,4.07,3.532,4.19,11.8,2.57,,4.34,14.7,,1.53,,9.271,
31.07.2003,2.9021,17.866,12.01,,4.37,3.955,4.34,11.8,2.58,,4.92,14.97,,1.33,,9.5552,
29.08.2003,2.9398,15.892,12.01,,4.62,4.142,,11.8,2.89,,5.39,14.8,,1.33,,9.5781,
30.09.2003,3.4101,14.014,12.01,,4.25,4.228,4.08,11.8,3.35,,5.21,15.05,,1.33,,9.6005,
31.10.2003,3.6269,11.716,12.01,,4.28,4.608,3.89,11.8,3.97,,5.21,14.53,,1.33,,9.1313,
28.11.2003,3.7844,11.018,12.01,,4.77,4.867,,11,4.79,,5.17,14.11,,1.33,,9.2655,
31.12.2003,3.7547,11.091,12.01,,4.87,4.85,4,11,4.96,,5.11,14.1218,,1.33,,9.156,
30.01.2004,3.7596,12.204,12.01,,4.88,4.703,3.99,11,4.97,,5.01,13.885,,1.33,,9.1743,
27.02.2004,3.9484,10.994,12.01,,4.83,5.075,4.07,11,4.57,,4.94,12.991,,1.33,,9.4045,
