Month,Saudi Arabia,Qatar,Egypt,South Africa,United Arab Emirates,China,Brazil,Indonesia,Philippines,Colombia,Mexico,Thailand,South Korea,Chile,Malaysia,Turkey
31.01.2000,63127,2465.7,,34983,,1609.39,41892.64,49676,159998,4881.4,157161.3,385077,14259600,3436.09,22503.883,1774172
29.02.2000,66520,2442.9,,35508,,1398.3,41920.44,49436,147945,4718.96,150127,377337,13908200,3356.79,20609.295,1892806
31.03.2000,64659,2719.5,,36804,,1323.54,39093.51,51197,151089,4921.66,152994.8,369644,13646500,3209.11,20000.4,1951389
28.04.2000,64664,2610.9,,37613,,1367.55,37720.87,51204,159471,4911.72,158904.2,364424,13728600,3172.38,20178.364,2051094
31.05.2000,67888,2657.7,,35879,,1307.55,35875.83,52453,153003,5351.63,157679.4,346384,13117300,3133.43,19634.468,2057586
30.06.2000,65268,2753.9,,36518,,1300.6,32316.22,55831,150567,5516.68,165529.5,350102,12840100,3155.78,19816.724,2287779
31.07.2000,65039,2736.6,,36912,,1315.65,36452.16,55445,144119,5471.66,162204,347582,13726400,3104.78,19665.057,2428456
31.08.2000,63335,2681.5,,36965,,1337.87,39122.15,54637,141273,5550.24,157692.6,347704,13482200,3104.52,20265.198,2535151
29.09.2000,62920,2694.8,,37493,,1389.47,37521.17,56844,144636,5532.18,161399.4,358608,14442400,3198,19950.776,2670065
31.10.2000,63009,2745.9,68078,39128,,1358.95,38636.09,56728,152420,5547.1,162822.9,360594,14245500,3142.59,19694.522,2563519
30.11.2000,64894,2790,68608,40261,,1387.77,40730.88,58520,163529,6045.83,175112.3,367910,14252200,3176.78,19966.546,2517654
29.12.2000,71963,3061.3,71180,43568,,1465.27,47686.21,72371,192300,7276.05,208943.1,401714,16170400,3518.1,22263.797,3196942
31.01.2001,65998,2985.1,70117,37807,,1701.9,42363.82,59540,170300,6669.72,181949.2,391116,15688400,3509.83,23070.929,2385402
28.02.2001,71091,3070.4,70435,38162,,1491.04,47891.2,59525,162477,6492.94,176273.9,392642,15125700,3470.61,21218.544,2947918
30.03.2001,68143,3051.1,68464,39369,,1436.21,41367.75,60114,169603,6263.18,176109.9,396478,15027800,3700.56,20910.386,3057713
30.04.2001,70957,3073.9,68043,40313,,1462.3,40910.72,61429,175435,6167.48,174570.7,394060,14994300,3704.13,20728.614,3220649
31.05.2001,71271,3135.7,68679,39615,,1394.23,41452.77,63131,173559,6412.55,178269.9,381734,14595700,3698.85,20664.229,3338588
29.06.2001,68217,3144.3,70010,40166,,1394.34,41974.06,66201,167228,6505.24,180733.9,382641,14578600,3719.53,20717.456,3835182
31.07.2001,66665,3056.5,72397,41190,,1407.16,41594.15,66312,156252,6350.64,178340,377101,15084500,3698.11,20393.33,3785028
31.08.2001,63338,3015.2,72715,41483,,1437.01,42629.11,69136,157693,6356.99,178963.8,384463,14909200,3595.45,21321.949,4132396
28.09.2001,64483,3075,72901,42729,,1506.46,45482.01,69047,159847,6283.48,182187.8,392687,19399500,3779.49,21304.326,4467366
31.10.2001,65660,3135.6,71848,43618,,1448.46,43074.94,68325,164548,6670.2,181392.4,395508,15948100,3737.1,20996.414,4008943
30.11.2001,65967,3274.1,71816,46612,,1478.01,46234.27,73139,169283,6868.52,193892.1,402903,16278900,3658.87,21497.396,4224770
31.12.2001,67353,3416.1,70338,49220,,1568.88,53255.97,76342,189956.783,8349.44,225580.4,436362,17078500,4009.68,22147.642,4462913
31.01.2002,67042,3383.1,69898,44611,,1672.59,49722.83,68762,163016.502,7565.96,206862,422031,16376800,4140.01,22594.267,4107171
28.02.2002,70411,3362.9,71350,50054,,1664.16,47891.21,69408,162287.965,7488.48,202264.4,436098,17389500,4061.37,23261.758,5054597
29.03.2002,67808,3395.3,72053,49039,,1554.46,48854.69,69716,174423.297,7509.96,216308.6,438397,17109000,4044.65,22929.202,4922485
30.04.2002,68808,3426.4,71932,49242,,1586.42,46745.6,68114,171849.093,7198.67,201288.8,432583,16836600,4038.49,22495.599,4924166
31.05.2002,68786,3549.8,72619,47936,,1524.31,51513.19,70447,175776.205,7527.8,209329,428682,16652600,4116.38,22761.533,5229371
28.06.2002,68044,3958.6,73772,48923,,1509.74,50692.55,71975,168790.703,7962.27,211892.7,428503,16775700,4161.53,22736.219,5911345
31.07.2002,66837,3812,76590,48836,,1535.77,52432.53,70327,162496.654,8250.14,209824.8,421544,16876400,4114.42,22372.329,5779291
30.08.2002,65604,4208.9,75814,49562,,1571.26,54985.47,72586,166233.931,8192.59,210266.1,430007,16746100,4196.22,23005.016,6219902
30.09.2002,66237,4042.8,77019,52750,,1623.36,60769.7,72757,162998.81,8155.28,210993.6,431055,17035400,4285.08,22482.679,6131837
31.10.2002,72780,3877.4,78647,52427,,1601.47,60640.13,74121,174726.914,8420.17,213941.7,434916,17335000,4283.5,22840.619,6266841
29.11.2002,79821,3862,80226,54269,,1634.64,60558.94,87008,180212.85,8516.69,227456.7,446852,17559700,4461,24060.983,7288046
31.12.2002,77410,3995.5,80461,56269,,1727.8,73302.27,80686,214694.0533,9993.5,263936.9,495533,18228100,4669.59,23896.754,6899360
31.01.2003,91260,3994.4,82588,52245,,2124.47,64370.26,75908,183815.8683,9142.34,246102,491623,21849800,4887.26,28430.636,6886566
28.02.2003,89862,4014.3,78649,51408,,1793.72,67494.43,74555,183521.2643,8865.06,241470.2,485636,18273700,4863.35,24741.05,7438430
31.03.2003,94138,4157.1,81826,53713,,1710.65,66032.46,72323,186213.4493,8713.05,237849.6,482244,17506600,5244.87,24214.943,7496072
30.04.2003,92819,4194.8,83159,53866,,1744.11,68228.79,73023,189588.3293,8939.64,243730.8,480769,17562600,5104.91,24206.898,7394339
30.05.2003,94875,4543.4,85173,52575,,1711.5,65113.59,75787,192537.8653,8829.55,246356.3,474723,17374400,5124.14,24705.489,7699447
30.06.2003,75968,4900.4,82955,53010,,1695.69,63837.94,77091,177037.9013,9183.32,240017.5,469762,16647800,5043.7,24276.494,8204918
31.07.2003,74736,4450.1,95374,53072,,1736.21,67841.21,77053,177129.8783,9419.67,242514.3,469958,17488800,4857.07,24208.644,8667928
29.08.2003,74373,3964.3,100447,53687,,1760.68,58430.02,80283,181718.2473,9185.34,242435.4,482924,17515300,4809.77,25273.747,9143382
30.09.2003,74432,4025.8,102859,56755,,1830.64,56110.11,81118,180196.3763,9136.99,238702.5,479071,17830000,4987.57,24623.519,9149591
31.10.2003,76619,4593.3,106037,57328,,1825.07,57710.44,84238,192028.8063,9650.61,247926,489563,17666400,4919.82,24966.436,9907175
28.11.2003,83287,4655.8,110427,59854,,1843.96,62417.37,103788,200099.4813,9933.92,260002.3,504333,17946800,5008.82,26760.241,11013126
