Month,Qatar,Brazil,Mexico,Chile,Philippines,Egypt,Malaysia,Indonesia,Colombia,Turkey,South Korea,South Africa,Thailand,United Arab Emirates,Saudi Arabia,China
31.01.2000,,,,2121858,,,,,,,,,,,63127,16093.9
29.02.2000,,,,2064304,,,,,,,,,,,66520,13983
31.03.2000,,,,1956023,,,,,,,,,,,64659,13235.4
28.04.2000,,,,2030624,,,,,,,,,,,64664,13675.5
31.05.2000,,,,2134410,,,,,,,,,,,67888,13075.45
30.06.2000,,,,2051059,,,,,,,,,,,65268,13006.04
31.07.2000,,,,1972971,,,,,,,,,,,65039,13156.47
31.08.2000,,,,2017843,,,,,,,,,,,63335,13378.68
29.09.2000,,,,1946377,,,,,,,,,,,62920,13894.69
31.10.2000,,,,2202612,,,,,,,,,,,63009,13589.45
30.11.2000,,,,2001202,,,,,,,,,,,64894,13877.7
29.12.2000,,,,2474410,,,,,,,,,,,71963,14652.65
31.01.2001,,,,2175480,,,,,,,,,,,65998,17018.98
28.02.2001,,,,2249282,,,,,,,,,,,71091,14910.39
30.03.2001,,,,2264474,,,,,,,,,,,68143,14362.12
30.04.2001,,,,2148640,,,,,,,,,,,70957,14622.99
31.05.2001,,,,2245035,,,,,,,,,,,71271,13942.28
29.06.2001,,,,2264766,,,,,,,,,,,68217,13943.44
31.07.2001,,,,2290623,,,,,,,,,,,66665,14071.62
31.08.2001,,,,2410522,,,,,,,,,,,63338,14370.13
28.09.2001,,,,2413076,,,,,,,,,,,64483,15064.6
31.10.2001,,,,2316044,,,,,,,,,,,65660,14484.61
30.11.2001,,,,2359566,,,,,,,,,,,65967,14780
31.12.2001,3416,197942,225730,7053731.5,323474.004,102094,40022,181508018,11647926.58,7886,32826809,49254,543652.9,38387,67353,15688.8
31.01.2002,3383,195710,207113,6684552.2,293399.924,101425,42775,132295741,10329078.19,7721,30286659,44609,537416.4,37717,67042,16727.06
28.02.2002,3363,185553,202277,6696174.9,289003.266,102255,41641,136769821,9927819.443,8729,33184279,46291,564002.3,38014,70411,16642.65
29.03.2002,3395,181072,216309,6719297.7,317213.656,103730,40942,137784013,10659486.56,8498,33825675,48882,554240.1,36616,67808,15545.47
30.04.2002,3426,171703,201644,6793463.2,307933.207,102890,40828,143083052,10859879.75,8759,33513819,48593,559163.7,38934,68808,15864.91
31.05.2002,3550,176560,209439,6759270.4,314303.071,103954,40997,140624131,10433814.62,9215,34397218,47659,535017.1,37669,68786,15243.74
28.06.2002,3959,183291,212070,7093443.8,312977.571,105497,40934,141292136,11100303.24,9103,33148563,47106,531494.2,40167,68044,15098.04
31.07.2002,3812,177745,209975,7339460.6,297013.559,107196,40624,146701475,11167497.98,9007,33265937,47963,558069.6,38238,66837,15358.29
30.08.2002,4208,162049,210518,7222263.8,311919.743,106769,40544,148867126,11311806.29,9610,32482637,48525,539829.6,37937,65604,15713.28
30.09.2002,4042,193151,211352,7334983.4,308250.349,108219,40046,148060460,11627956.84,10719,36277878,51043,561585.4,38218,66237,16234.11
31.10.2002,3877,199703,213942,6947109.1,319367.625,108984,41301,150338008,11311066.27,10252,32730104,51473,554808.1,37456,72780,16015.18
29.11.2002,3862,190555,227630,7319112.9,328603.803,111287,43541,165099443,11919003.98,11829,34178482,53393,555550.2,38117,79821,16346.89
31.12.2002,3995,195615,263937,8032499.1,369784.638,111002,42581,179896071,14105096.22,21702,37987367,55431,617784.6,37652,77410,17278.43
31.01.2003,3994,181941,246102,7410632.8,332356.91,118258,47978,149074110,12604511.44,22426,36241681,51880,625446.4,39356,91260,21245.12
28.02.2003,4014,183167,241728,7447381.6,331004.539,122006,43435,152286333,12274162.11,22536,35688030,51372,600176.1,39036,89862,17937.58
31.03.2003,4157,173807,237850,7633250.9,335716.689,127152,43143,138803230,12251669.44,24030,38149860,52590,629619.9,39397,94138,17106.89
30.04.2003,4195,165570,243731,7188062.5,330748.842,129475,42802,149403154,11972360.23,22332,35940774,53819,601891.3,40187,92819,17441.44
30.05.2003,4543,159761,246356,7045390.9,341515.737,131877,42965,152400039,12380002.82,21653,36336723,52461,591980.5,39955,94875,17115.34
30.06.2003,4900,154634,240017,7152775.2,350192.668,137142,42719,156467221,12736666.31,22522,37312181,52735,596138.6,40095,75968,16957.18
31.07.2003,4450,157626,242514,7039213.3,308070.88,144090,43827,150845784,12650664.86,22180,35377059,53048,594914.5,39683,74736,17362.4
29.08.2003,3964,146925,242435,6870311.5,328869.851,148160,44695,157219286,12713823.23,23371,36243219,53631,602170.3,39218,74373,17607.08
30.09.2003,4026,143664,238703,7066035.9,322853.261,150386,44513,162326696,12742446.86,23911,38913431,56753,607831.4,39529,74432,18306.62
31.10.2003,4593,144564,247926,7066399.7,354090.54,153706,44552,165489560,13429008.48,25512,37234386,57295,611395.9,41041,76619,18250.94
28.11.2003,4655,149917,260002,6839222,358317.17,158168,47584,195908635,13697927.4,26871,36423056,59481,620663,42301,83287,18439.85
31.12.2003,4589,160771,303614,7381505.9,389768.43,155065,45534,202870056,16614631.93,25651,40748970,61995,691074.8,42301,78486,19746.23
30.01.2004,4605,157031,278373,6952156.5,367943.296,110429,49741,185384862,14670654.57,28211,39480573,58883,667190.2,47887,84413,22287.43
27.02.2004,4566,156536,273568,7151334.7,374604.839,111368,47052,168712630,14402221.77,27094,37196936,58632,672125,48997,79750,19893.44
