date,Kuwait,India,Indonesia,Taiwan,United States,South Africa,Thailand,Czechia,China,Brazil,Canada,Abu Dhabi,Dubai,United Arab Emirates,Qatar,Philippines,Greece,Mexico,Hong Kong,Vietnam,Turkey,Argentina,United Kingdom,Tunisia,Australia,Sri Lanka,Sweden,Botswana,Estonia,Ukraine,Belgium,Austria,Mauritius,Kenya,South Korea,Finland,Singapore,GCC,Netherlands,Zhonghua,Bosnia and Herzegovina,Morocco,Portugal,Oman,Slovenia,Bahrain,Malaysia,Trinidad and Tobago,New Zealand,Chile,Saudi Arabia,China,LatAm,Bulgaria,Hungary,Poland,Israel,Norway,Peru,Switzerland,Pakistan,Denmark,Nigeria,Jamaica,Ireland,Bahrain,Germany,Japan,Kazakhstan,Oman,Spain,Italy,Colombia,Croatia,Serbia,Bangladesh,France,Egypt,Ghana,Romania,EU,Lithuania,Jordan,Lebanon
31.12.1999,,318.056,535.724,1330.338,907.301,382.818,614.268,150.373,525.61,277.356,395.628,,,,,933.969,1070.038,300.064,761.215,,851.763,,770.363,,397.61,,635.872,,,,542.581,210.256,,,519.614,1077.139,615.25,,802.451,,,509.546,635.293,,,,554.361,,445.62,342.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.2000,,341.101,535.724,1328.727,900.233,385.164,624.32,151.861,532.257,270.957,397.607,,,,,944.346,1146.703,300.217,777.393,,855.953,,776.099,,401.044,,649.825,,,,546.535,213.707,,,522.057,1147.691,652.382,,815.161,,,513.381,637.92,,,,575.268,,447.628,346.877,,,,,298.802,315.651,742.967,318.823,225.631,574.802,,356.832,,,405.166,,721.196,1166.958,,,507.356,634.125,151.657,,,,676.632,362.685,,,,,341.523,
04.01.2000,,350.405,539.374,1412.912,863.582,383.256,639.904,153.138,542.138,253.942,385.199,,,,,950.608,1125.583,279.83,766.642,,994.362,,757.605,,396.08,,638.818,,,,532.736,215.328,,,541.393,1076.963,635.694,,789.804,,,517.449,623.292,,,,574.187,,445.107,343.455,,,,,302.403,308.326,707.194,308.278,223.362,564.923,,354.623,,,402.25,,713.996,1150.968,,,497.502,628.133,150.729,,,,660.201,364.215,,,,,341.951,
05.01.2000,,342.164,515.989,1419.351,863.731,381.36,591.04,152.429,519.104,258.381,380.568,,,,,914.925,1084.084,283.082,711.789,,988.564,,745.296,,386.74,,611.765,,,,520.506,215.844,,,497.022,990.341,606.111,,779.487,,,518.084,608.76,,,,564.238,,433.552,343.814,,,,,292.229,294.096,695.681,299.928,224.035,560.252,,348.191,,,401.705,,706.848,1096.376,,,486.031,617.716,152.272,,,,640.148,358.586,,,,,342.571,
06.01.2000,,342.967,515.961,1427.086,855.496,381.296,553.095,155.045,514.347,256.923,378.89,,,,,906.21,1085.508,279.315,677.445,,960.748,,741.604,,383.129,,611.841,,,,521.056,216.107,,,479.643,991.491,593.793,,773.313,,,517.584,624.074,,,,562.534,,425.473,345.803,,,,,293.752,303.794,688.048,302.675,222.862,566.863,,351.598,,,400.31,,704.487,1053.746,,,486.614,610.414,154.479,,,,638.558,362.349,,,,,343.356,
07.01.2000,,334.095,521.373,1417.888,884.347,394.533,574.589,156.995,533.804,261.18,392.868,,,,,908.529,1100.984,293.307,691.077,,927.086,,744.455,,384.097,,616.035,,,,528.674,219.203,,,476.915,1025.712,600.371,,792.408,,,513.523,632.233,,,,562.534,,430.209,349.443,,,,,297.022,321.967,693.071,306.616,224.026,575.023,,352.384,,,402.692,,728.264,1043.848,,,492.557,625.665,156.667,,,,645.472,362.267,,,,,343.356,
10.01.2000,,339.434,520.645,1460.653,899.516,408.857,591.655,159.015,543.566,272.762,401.767,,,,,910.522,1085.092,305.033,706.483,,924.617,,754.851,,391.758,,633.033,,,,538.25,219.914,,,498.714,1047.562,606.666,,803.769,,,512.944,639.987,,,,562.534,,435.884,355.059,,,,,305.678,338.545,739.76,312.503,223.797,574.803,,356.05,,,408.463,,741.539,1044.762,,,496.155,619.914,156.976,,,,657.83,361.818,,,,,343.356,
11.01.2000,,327.015,522.265,1431.503,884.625,411.93,575.664,159.709,530.737,267.507,394.41,,,,,894.074,1042.468,296.493,709.955,,938.299,,752.613,,399.27,,638.308,,,,533.054,218.803,,,490.294,1038.729,603.903,,800.353,,,513.877,643.962,,,,583.522,,435.837,354.73,,,,,303.044,337.998,734.691,310.603,224.253,574.522,,358.15,,,414.061,,741.492,1093.257,,,493.346,622.537,157,,,,657.457,368.233,,,,,343.539,
12.01.2000,,335.467,515.791,1464.865,878.807,410.807,583.541,157.7,527.301,266.934,391.358,,,,,890.792,1038.804,295.766,708.155,,973.053,,752.7,,393.267,,637.056,,,,525.692,214.948,,,477.985,1027.861,602.302,,790.442,,,514.224,642.513,,,,599.023,,429.19,359.452,,,,,303.656,330.191,729.761,305.28,225.837,574.323,,353.043,,,414.86,,742.765,1079.962,,,486.762,627.505,159.001,,,,651.553,368.708,,,,,342.396,
13.01.2000,,330.912,514.957,1457.287,893.81,412.707,581.99,158.512,515.955,275.225,395.13,,,,,883.417,1036.622,300.527,709.949,,1046.759,,753.938,,396.751,,645.471,,,,529.963,214.501,,,480.232,1064.077,598.37,,790.956,,,517.465,652.502,,,,609.382,,429.838,371.826,,,,,309.307,343.564,744.643,312.029,241.847,574.419,,355.32,,,413.862,,747.016,1076.272,,,491.829,633.702,160.315,,,,657.414,361.317,,,,,342.791,
