Dates,Argentina,Brazil,Chile,Colombia,Mexico,Peru,Uruguay,Angola,Egypt,Ghana,Kenya,Morocco,Nigeria,South Africa,Tunisia,Zambia,West African CFA Franc,Kazakhstan,Poland,Euro,Turkey,Ukraine,Hungary,Bahrain,Oman,Saudi,United Arab Emirates,Qatar,Iraq,Indonesia,Pakistan,Philippines,Sri Lanka,Vietnam
07.01.2000,1,1.827,524.55,1901,9.565,3.511,11.625,5.54,3.4417,0.375,72.8,9.9663,100.3,6.0575,1.2312,2.8,637.5325,138.76,4.075,0.9713,0.5395,5.42,247.35,0.37701,0.3849,3.7503,3.6731,3.6408,0.315,7165,51.895,40.38,72.78,14034
14.01.2000,1,1.804,515.67,1921,9.4503,3.4875,11.61,5.54,3.427,0.395,70.05,10.051,100.5,6.0725,1.2465,2.7164,638.2501,139.36,4.075,0.9879,0.5493,5.55,251.33,0.377,0.385,3.7505,3.673,3.6408,0.315,7123,51.64,40.59,72.39,14039
21.01.2000,0.9998,1.7725,515.9,1935.5,9.4668,3.495,11.6855,5.81,3.427,0.375,67.75,10.0592,99.1,6.1325,1.2486,2.815,651.4296,139.47,4.08,0.9903,0.5493,5.52,252.77,0.377,0.3849,3.7505,3.6731,3.6408,0.315,7335,51.89,40.6,72.93,14044
28.01.2000,1,1.799,517.5,1969.25,9.5878,3.4905,11.6935,5.81,3.427,0.36,72.75,10.2635,99.45,6.3375,1.2629,2.8375,669.4123,139.42,4.1975,1.026,0.5588,5.465,261.37,0.377,0.385,3.7504,3.6731,3.6408,0.315,7475,51.8925,40.465,73.2,14054
04.02.2000,0.9997,1.768,515.55,1949.25,9.445,3.475,11.69,5.81,3.427,0.362,73.55,10.2979,100.45,6.2575,1.29,2.8025,669.5149,139.5,4.185,1.0171,0.5616,5.605,261.69,0.37701,0.3848,3.7507,3.6731,3.64,0.315,7563,51.895,40.525,73.19,14057
11.02.2000,0.9999,1.7685,515.05,1949,9.422,3.438,11.715,5.85,3.427,0.3645,73.8,10.2402,102,6.3345,1.2803,2.82,665.676,139.79,4.153,1.0127,0.5643,5.67,259.69,0.37702,0.385,3.7504,3.6731,3.64,0.315,7335,51.8875,40.44,73.35,14057
18.02.2000,0.9996,1.777,511.75,1938.5,9.3925,3.4475,11.7375,5.85,3.4223,0.37,73.15,10.234,102,6.3225,1.2842,2.8825,665.8787,140.07,4.113,1.0164,0.5667,5.675,260.04,0.37702,0.3848,3.7504,3.6731,3.6395,0.315,7435,51.89,40.67,73.34,14061
25.02.2000,0.9997,1.774,506.35,1948,9.375,3.4685,11.761,5.85,3.45,0.3757,73.55,10.2838,102.05,6.2825,1.2859,2.95,670.1988,140.2,4.1475,1.0257,0.5702,5.5005,263.44,0.37702,0.385,3.7505,3.6731,3.6394,0.315,7350,51.8775,40.9,73.49,14057
03.03.2000,1,1.745,503.15,1963,9.309,3.4075,11.765,5.85,3.4498,0.3821,73.6,10.3788,103.5,6.4538,1.3035,2.81,682.0454,140.5,4.1225,1.0432,0.577,5.5125,267.65,0.37702,0.385,3.7506,3.673,3.6395,0.315,7465,51.8675,40.89,73.65,14055
10.03.2000,0.9998,1.745,506.05,1958.75,9.33,3.4235,11.776,5.81,3.435,0.39,74.15,10.3495,101.25,6.395,1.3039,2.81,680.1359,141.09,4.1005,1.0377,0.5795,5.4884,266.38,0.37702,0.385,3.7503,3.6729,3.6405,0.315,7355,51.885,40.93,73.59,14062
