Date,Austria,Belgium,Bulgaria,Croatia,Cyprus,Estonia,Finland,France,Germany,Greece,Ireland,Italy,Latvia,Lithuania,Netherlands,Portugal,Slovakia,Slovenia,Spain,Abu Dhabi,Dubai,Bahrain,Kuwait,Oman,Qatar,Saudi Arabia,Argentina,Brazil,Chile,Colombia,Dominican Republic,Ecuador,El Salvador,Guatemala,Jamaica,Mexico,Panama,Paraguay,Peru,Trinidad and Tobago,United States,Uruguay,Venezuela,Czech Republic,Denmark,Hungary,Iceland,Norway,Poland,Romania,Russia,Serbia,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,Australia,China,Hong Kong,India,Indonesia,Japan,Kazakhstan,Malaysia,Mongolia,New Zealand,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam,Egypt,Ghana,Iraq,Israel,Jordan,Kenya,Lebanon,Morocco,Nigeria,South Africa,Tunisia
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,105.33000183105469,,,,,,,,,,,,,,,,,,,,,,,
2000-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,105.87999725341797,,,,,,,,,,,,,,,,,,,,,,,
2000-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,104.72000122070312,,,,,,,,,,,,,,,,,,,,,,,
2000-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,107.05999755859375,,,,,,,,,,,,,,,,,,,,,,,
2000-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,107.18000030517578,,,,,,,,,,,,,,,,,,,,,,,
2000-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,108.80000305175781,,,,,,,,,,,,,,,,,,,,,,,
2000-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,110.8499984741211,,,,,,,,,,,,,,,,,,,,,,,
2000-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,110.1500015258789,,,,,,,,,,,,,,,,,,,,,,,
2000-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,107.68000030517578,,,,,,,,,,,,,,,,,,,,,,,
2000-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,106.22000122070312,,,,,,,,,,,,,,,,,,,,,,,
2000-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,106.66000366210938,,,,,,,,,,,,,,,,,,,,,,,
2000-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,106.98999786376953,,,,,,,,,,,,,,,,,,,,,,,
