,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,"3,197","3,179","3,199","3,225","3,255","3,303","3,389","3,485","3,580","3,558","3,654","3,677","3,647","3,810","3,944","3,972","3,986","3,974","4,010","3,921","4,014","4,055","4,147","4,168","4,251","4,360","4,407","4,403","4,486","4,499","4,174","4,244","4,425","4,475","4,469"
OECD,921,942,958,966,"1,001","1,019","1,048","1,062","1,064","1,039","1,055","1,048","1,046","1,039","1,017",967,951,935,901,906,915,923,970,"1,027","1,112","1,159","1,125","1,160","1,267","1,344","1,299","1,307","1,355","1,431","1,465"
G7,615,615,617,617,639,644,646,649,648,632,626,615,617,606,587,557,559,563,550,567,582,593,647,709,799,853,831,883,"1,003","1,089","1,035","1,044","1,096","1,163","1,204"
BRICS,729,676,602,560,532,526,540,546,551,558,587,614,658,704,748,770,789,805,811,822,858,870,881,884,904,926,928,924,927,942,908,919,946,959,946
Europe,221,231,247,260,302,315,332,331,328,334,339,330,325,311,297,275,254,241,229,218,201,184,169,160,160,169,170,168,167,162,172,164,154,157,153
European Union,40,39,39,39,40,40,39,40,40,41,44,42,47,47,47,46,43,41,39,36,34,32,31,31,30,30,27,27,26,25,23,22,20,20,19
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,6,7,8,8,9,9,10,11,11,14,18,17,18,18,19,19,17,15,14,13,12,11,10,9,8,8,7,7,6,5,4,3,3,3,3
France,3,4,4,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Germany,6,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3
Italy,5,4,5,5,5,5,6,6,6,5,5,4,6,6,6,6,6,7,6,5,6,6,6,6,6,6,4,4,5,5,6,5,5,6,5
Netherlands,4,4,4,4,5,4,3,3,3,3,3,2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
Poland,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,8,7,7,7,7,7,7,7,7,6,6,6,7,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3
Spain,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
