date,ExxonMobile,Chevron,Shell,TotalEnergies,ConocoPhillips,BP,SaudiAramco,Petrobras,Ecopetrol,Petrochina,Sinopec,Equinor,Nyse_Oil_Index,OccidentalPetroleum
12/31/99,40.2813,43.3125,,,17.9145,622.5,,5,,,2.65,,503,10.3718
1/3/00,39.0938,41.8125,,,17.2713,622.5,,4.9,,,2.65,,487.13,9.9821
1/4/00,38.4063,41.8125,,,16.9378,596,,4.64,,,2.75,,477.09,9.7723
1/5/00,40.5,42.5625,,,16.6281,596,,4.69,,,2.77,,485.08,9.8322
1/6/00,42.5,44.375,,,17.1998,602,,4.65,,,3.05,,498.79,10.102
1/7/00,42.4688,45.1562,,,17.1998,597,,4.69,,,3.06,,504.77,10.4018
1/10/00,41.875,43.9375,,,17.1522,579.5,,4.82,,,3.04,,497.59,10.072
1/11/00,42,43.5312,,,17.1284,569.5,,4.66,,,2.87,,497.09,10.4617
1/12/00,41.75,43.375,,,16.7949,570,,4.5,,,2.79,,490.53,10.4018
1/13/00,42.625,43.7812,,,16.8187,570.5,,4.5,,,2.8,,497.09,10.7315
1/14/00,41.875,43.5,,,16.6758,553,,4.54,,,2.79,,492.5,10.5516
1/17/00,41.875,43.5,,,16.6758,550.5,,4.5,,,2.84,,492.5,10.5516
1/18/00,42.1875,44.6562,,,16.9378,556,,4.5,,,2.95,,499.72,10.5516
1/19/00,42.7813,43.9687,,,16.7949,562.5,,4.38,,,2.92,,500.72,10.7015
1/20/00,41.8438,43.75,,,16.3184,543,,4.31,,,2.93,,493.92,10.6116
1/21/00,42.5,44.2812,,,16.2708,562.5,,4.19,,,2.88,,501.11,10.4018
1/24/00,42.125,44.4062,,,15.9134,576,,4.21,,,2.84,,491.26,10.0121
1/25/00,42.0313,44.2812,,,16.104,561,,4.21,,,2.89,,485.43,9.5025
1/26/00,41.75,43.5,,,15.699,555,,4.17,,,2.9,,479.56,9.7423
1/27/00,40.5,42.1562,,,15.437,556,,4.23,,,2.92,,468.91,9.6523
1/28/00,39.4375,41.2812,,,15.1988,555.5,,4.17,,,2.93,,462.3,9.5924
1/31/00,41.7188,41.8125,,,15.5799,544,,4.25,,,2.93,,467.79,9.5324
2/1/00,41.5938,41.5937,,,15.5085,546,,4.38,,,2.93,,466.67,9.5025
2/2/00,41.9063,41.3125,,,15.2941,548,,4.49,,,2.93,,466.28,9.4125
2/3/00,41.1875,40.7187,,,15.0082,525.5,,4.72,,,2.93,,458.75,9.3526
2/4/00,40.4375,39.2812,,,14.8653,503.5,,4.86,,,2.93,,449.1,9.3526
2/7/00,40.375,39.5312,,,15.2464,498,,4.84,,,2.93,,448.91,9.3226
2/8/00,39.4688,39.1562,,,14.8653,495.5,,5,,,2.93,,447.44,9.2627
2/9/00,38.0313,37.5,,,14.5317,466,,4.88,,,2.93,,433.39,9.1128
2/10/00,37.9375,38.4062,,,14.4841,487.5,,4.71,,,2.93,,441.49,9.0828
2/11/00,36.9375,37,,,14.2697,479.5,,4.57,,,2.93,,430.91,8.873
