iso3,years_obs,share_energy,expgdp_energy,share_industrial_metals,expgdp_industrial_metals,share_precious,expgdp_precious,share_agriculture,expgdp_agriculture,share_livestock,expgdp_livestock
AGO,21,0.939468320721914,0.405405469900167,1.48439251837653e-05,5.26830482955777e-06,1.57871968457894e-05,5.79807657507692e-06,8.02435635985209e-05,2.56228675745981e-05,0,0
ARE,24,0.425731054122604,0.304288289345992,0.0102627113967268,0.0073976775361331,0.0480207423466356,0.039596747710758,0.00213704264075172,0.0015412634578292,0,0
ARG,25,0.0851648117423427,0.0136475407387887,0.00718437877799163,0.00109887657541369,0.0208237565435653,0.00274942459403389,0.201190387525709,0.0296566446805989,0,0
BHR,25,0.477215596710566,0.254906480794478,0.0558544878395205,0.0203941731206088,0.00322744458435429,0.00111355714612792,0.000856704461885509,0.000348950377787968,0,0
BRA,25,0.0917824977038973,0.0114471423208454,0.0104614288897563,0.00119181135700706,0.0103803617765918,0.00126002080701241,0.161309882194317,0.0196381454842426,0,0
CHL,25,0.0145624761443701,0.00449841847510602,0.27485733562768,0.0832069710465416,0.0168726915456431,0.00499922659754525,0.00236141080897308,0.000697447240200317,0,0
CIV,25,0.187820129077294,0.0515500919085748,1.66277569204701e-05,4.19554931482456e-06,0.0510392314519755,0.0122266057436267,0.0220112757251848,0.00562394872698566,0,0
COL,25,0.349312243825973,0.0484804865114822,0.000305484329589577,4.28124550099845e-05,0.0402913835121914,0.00547686482908721,0.0112960389805491,0.00153554005870855,0,0
ECU,25,0.44924296540458,0.109323710505807,0.00133038386602473,0.000301833663110059,0.01317594805484,0.00317463610322079,0.00249020793839959,0.000553754381428153,0,0
EGY,25,0.30372122824477,0.0297132564664227,0.00899382483918727,0.000753722564332676,0.0358857724876879,0.00349109477553434,0.0232353156063487,0.0019516250636553,0,0
HUN,25,0.0166922321380938,0.0118269447559806,0.000995980761359717,0.000717608479361433,0.000477468653838316,0.000356955299348855,0.0128882515432843,0.00921154466116704,0,0
IDN,25,0.145858618541892,0.0344444623570226,0.0100263831231304,0.00224605307462427,0.00899156784566075,0.00180003272855968,0.000318052522572736,6.91337704196928e-05,0,0
IRQ,7,0.998062556169054,0.362168938018755,0,0,0,0,9.22734363070976e-09,4.09542265744262e-09,0,0
KAZ,25,0.641806951608542,0.240716552782559,0.0559155047265398,0.0212774829370066,0.0149340477333034,0.00563304341489294,0.0235164666724983,0.00878502779998415,0,0
LKA,24,0.0109166852366532,0.00149728975007439,0.00458687732974666,0.00090436137548214,0.000405411511955594,6.17347154257662e-05,0.000470830794302142,7.09982202261786e-05,0,0
MAR,25,0.0196601585637422,0.00382331474762059,0.00296722937332617,0.000576394981506831,0.00767482438890858,0.00151397935702904,0.00392312170038484,0.00106545390626085,0,0
MEX,25,0.0983650702498324,0.0268216789332988,0.00344548162228667,0.000984635091730557,0.0132399911921692,0.00392542559532094,0.00248975798785838,0.000738430889802966,0,0
NGA,23,0.917330436061336,0.12840140318729,0.00279840564759308,0.00036839126084942,0.000329862878627536,4.88923367164536e-05,0.00112231732928764,0.00016175277177476,0,0
PAK,22,0.0258952531161099,0.00250039522088609,0.0076048778364785,0.000627316605413728,7.24881365766568e-07,7.84171056506841e-08,0.0152766667341239,0.00137498721564772,0,0
PAN,25,0.00949702650571701,0.000610628872631476,0.000763884890939739,5.77099569775287e-05,0.00467820817437046,0.000825335126493492,0.00847529404614027,0.000692656333305674,0,0
PER,25,0.0820931298754462,0.0181270819546808,0.0869965292594355,0.0182136448422121,0.185492271607668,0.0394898079959074,0.0021768193754171,0.00044176001503608,0,0
PHL,25,0.0144226805445668,0.00397724990652281,0.016600341001158,0.0040528370368231,0.00953790682717236,0.00206009469242071,0.00176050852453867,0.000452547877602535,0,0
POL,25,0.0131381996155121,0.00458678494146833,0.0143388556643021,0.004922404874484,0.00458329020220635,0.00160870129311791,0.00480549342607206,0.00185317107716074,0,0
QAT,25,0.865573251422849,0.463235255049969,0.00897408782994225,0.00426481860741693,4.65389053506832e-05,1.7798691802834e-05,3.91191030669122e-06,2.07157998831915e-06,0,0
ROU,25,0.0516739170661491,0.0151393136466876,0.00604419195673061,0.00177244491631728,9.99102298947799e-05,2.61929557063528e-05,0.0225050205846277,0.00696793782136621,0,0
SAU,25,0.793796384491918,0.329394656438658,0.00204083239539529,0.000620929222425499,0.00231366751397929,0.000761038890630938,0.000892042458845676,0.000333619692058869,0,0
SEN,25,0.190123748159739,0.0273926246447009,0.00127454365278944,0.000208364652330153,0.0895350672800595,0.0142927424174163,0.00833896440173727,0.00114413544631124,0,0
SLV,25,0.0248657069437164,0.00581601955670041,2.3865349793366e-05,5.82122938351665e-06,0.000177245430727145,4.27061598328267e-05,0.0274747190978948,0.00654846924946529,0,0
TUR,25,0.0354534641297286,0.00654500295247845,0.00178321684101788,0.000347350231133065,0.0202317313782463,0.00367919617007837,0.00419117704049846,0.000748870039596009,0,0
URY,25,0.0121400700004774,0.00200867146966282,0.000190035386016346,2.92903416042487e-05,0.00740687386165318,0.00112659587051788,0.107796496769347,0.015519389117977,0,0
VNM,24,0.107245377165102,0.0499365511551657,0.00100209237131835,0.000726612650721144,0.00107528190015825,0.000512229536592901,0.000888602663334011,0.000514553973651521,0,0
ZAF,25,0.0324164024816279,0.00701887450709006,0.0234173515992915,0.00504403874110593,0.0375904723546427,0.00929970123332767,0.0123984060017092,0.00275398045981468,0,0
ZMB,25,0.00404374097857413,0.00111345787306924,0.589381487886065,0.198393104638464,0.00871702525188599,0.00284525037017305,0.0421416303042521,0.012845436660518,0,0
