iso3,country,year,share_crude_oil,expgdp_crude_oil,share_copper_total,expgdp_copper_total
AGO,Angola,2004,0.932180365370691,0.457619722474257,0,0
AGO,Angola,2005,0.938690276973535,0.536684157687731,1.73180854603994e-08,9.90139382080827e-09
AGO,Angola,2006,0.942517962781026,0.511707933039111,0,0
AGO,Angola,2007,0.957182156018107,0.578961439907993,0,0
AGO,Angola,2008,0.954601690489965,0.635557545689999,0,0
AGO,Angola,2009,0.966117753424177,0.480539222360933,0,0
AGO,Angola,2010,0.965345473732002,0.531558990318901,0,0
AGO,Angola,2011,0.965567682360772,0.510865149260864,0,0
AGO,Angola,2012,0.971779242939654,0.479639394238471,0,0
AGO,Angola,2013,0.966795681306628,0.425752812715838,0,0
AGO,Angola,2014,0.96194403359153,0.343205970756713,0,0
AGO,Angola,2015,0.925386225176734,0.238443197548325,2.44625358714542e-07,6.30323330371181e-08
AGO,Angola,2016,0.911611262452986,0.222870696044753,1.44264958349902e-06,3.52698929978042e-07
AGO,Angola,2017,0.88976419608812,0.222098283547252,3.56245304518799e-08,8.89240891050166e-09
AGO,Angola,2018,0.899553874095243,0.320347015465509,0,0
AGO,Angola,2019,0.88997844818245,0.333091666831004,6.61308963585946e-08,2.47507684507399e-08
AGO,Angola,2020,0.830371802690916,0.276301757514168,5.04909233840449e-06,1.68005835751116e-06
AGO,Angola,2021,0.797201917414017,0.325703983518732,1.20048355109907e-05,4.90468306962963e-06
AGO,Angola,2022,0.786175462893657,0.283000160744401,3.39987373913805e-05,1.22385505539097e-05
AGO,Angola,2023,0.811209802820907,0.2849095295026,5.85130752322122e-05,2.05507042397518e-05
AGO,Angola,2024,0.796359102839506,0.27129779608407,2.8720946104945e-05,9.78444190810145e-06
ARE,United Arab Emirates,2000,0.583536262580898,0.213725258683135,6.73384797361914e-07,2.46633070193325e-07
ARE,United Arab Emirates,2001,0.508343769721552,0.160747663146585,2.39684480635186e-05,7.57926475143255e-06
ARE,United Arab Emirates,2002,0.27524082471618,0.130741396845633,2.66909557275791e-05,1.2678398411889e-05
ARE,United Arab Emirates,2003,0.312954181663812,0.168965459170379,5.80272585089745e-05,3.13291943448121e-05
