iso3,country,years_obs,share_crude_oil,share_refined_oil,share_nat_gas,share_energy_total,share_copper_ore,share_copper_total,share_aluminum,share_nickel,share_iron_ore,share_iron_steel,share_gold,share_precious_total,share_wheat,share_corn,share_soybeans,share_cereals_total,share_oilseeds_total,share_live_cattle,share_beef_total,share_livestock_total,expgdp_crude_oil,expgdp_refined_oil,expgdp_nat_gas,expgdp_energy_total,expgdp_copper_ore,expgdp_copper_total,expgdp_aluminum,expgdp_nickel,expgdp_iron_ore,expgdp_iron_steel,expgdp_gold,expgdp_precious_total,expgdp_wheat,expgdp_corn,expgdp_soybeans,expgdp_cereals_total,expgdp_oilseeds_total,expgdp_live_cattle,expgdp_beef_total,expgdp_livestock_total
AGO,Angola,21,0.90763497207822,0.00523967127809865,0.0265936773655949,0.939468320721914,1.56256550441e-08,6.67109690630558e-06,6.49283416712509e-06,0,0,0,1.5787165520552e-05,1.57871968457894e-05,5.23296289780461e-07,1.61752955620295e-06,2.4960137608235e-07,2.14082584598342e-06,2.4960137608235e-07,0,0,0,0.39381697263103,0.00208602495262552,0.00950247231651211,0.405405469900167,5.48786646822619e-09,2.36274828395719e-06,2.31178047627516e-06,0,0,0,5.79806590342408e-06,5.79807657507692e-06,1.80585298139351e-07,5.80749004151805e-07,8.14008090813813e-08,7.61334302291156e-07,8.14008090813813e-08,0,0,0
ARE,United Arab Emirates,24,0.297165499604118,0.0965408244920833,0.0320247300264028,0.425731054122604,3.47832516867096e-06,0.000344405253762867,0.0096851904765345,0.000122230770180777,0,0,0.0474290473293202,0.0480207423466356,6.75349630547842e-05,6.75981116536404e-05,2.39121550895147e-06,0.000135133074708425,2.39121550895147e-06,0,0,0,0.206321076134556,0.0725412413750802,0.0254259718363556,0.304288289345992,2.46526504996817e-06,0.000275917188719758,0.0069096850382809,0.000113451526879116,0,0,0.0391536338486512,0.039596747710758,5.0185844460397e-05,5.23708645716063e-05,1.44223110750713e-06,0.000102556709032003,1.44223110750713e-06,0,0,0
ARG,Argentina,25,0.0410784324190717,0.028150513310705,0.015935866012566,0.0851648117423427,0.012361321649109,1.22517591666924e-05,0.00639558790057794,2.78591162003044e-07,0,0,0.0189223721647715,0.0208237565435653,0.0311798694641843,0.0602928697063005,0.0465476320206904,0.0914727391704848,0.0465476320206904,0,0,0,0.00627586457432694,0.00476102692143928,0.00261064924302246,0.0136475407387887,0.00205370703396609,1.72525809026007e-06,0.000972688101375512,4.79013880387281e-08,0,0,0.00250288751515389,0.00274942459403389,0.00465167287718372,0.00849033850420649,0.00703306492728187,0.0131420113813902,0.00703306492728187,0,0,0
BHR,Bahrain,25,0.009190725254568,0.467763553786901,0.000261317669097008,0.477215596710566,1.11509380336325e-07,7.00516764390448e-06,0.0558342783015041,0,0,0,0.00321918062235255,0.00322744458435429,2.58500031267805e-05,9.98355828532095e-07,2.49484592326519e-07,2.68483589553126e-05,2.49484592326519e-07,0,0,0,0.0062792065481375,0.248449668788618,0.000177605457722881,0.254906480794478,5.92386108560516e-08,2.5736131389548e-06,0.0203846927876703,0,0,0,0.00111086040671486,0.00111355714612792,1.08204984466829e-05,3.56558220670951e-07,9.86700335477167e-08,1.11770566673539e-05,9.86700335477167e-08,0,0,0
BRA,Brazil,25,0.0702447840124299,0.021360787102535,0.000176926588932486,0.0917824977038973,0.00679163790252394,0.00153867814402378,0.00730500355835546,0.000844764216911388,0,0,0.0102334991454836,0.0103803617765918,0.00100128122312976,0.0163720097896812,0.0881984358925547,0.0173732910128109,0.0881984358925547,0,0,0,0.008757764618883,0.00266925737740422,2.01203245581369e-05,0.0114471423208454,0.000831380977721598,0.000170799086087855,0.000834254744193858,9.28787653304212e-05,0,0,0.00124346042307094,0.00126002080701241,0.000125023309166578,0.00202911454337933,0.0108985727298508,0.00215413785254591,0.0108985727298508,0,0,0
CHL,Chile,25,3.69113711707686e-05,0.0134849336133201,0.00104063115987924,0.0145624761443701,0.205484993740562,0.274681886492135,5.42574228150456e-06,7.58290695259406e-07,0,0,0.0123673684669449,0.0168726915456431,1.65231628539963e-06,0.00221707528197265,0.000136448520680883,0.00221872759825805,0.000136448520680883,0,0,0,1.11853920576565e-05,0.00418066615698455,0.000306566926063818,0.00449841847510602,0.0612321160137241,0.083157211652006,1.52410286604234e-06,2.30700284086193e-07,0,0,0.00363873007386387,0.00499922659754525,4.49455150905466e-07,0.00065496485963874,4.03400025485903e-05,0.000655414314789645,4.03400025485903e-05,0,0,0
CIV,Ivory Coast,25,0.0678681823844289,0.1197033855774,0.000248561115465352,0.187820129077294,5.04156865316693e-06,7.96061099817914e-06,1.89432441283895e-06,7.29928493757372e-11,0,0,0.0510392314519755,0.0510392314519755,9.1328193433297e-06,0.000187824979506641,9.17171085485699e-06,0.000196957798849971,9.17171085485699e-06,0,0,0,0.0188325085495505,0.0326553983526665,6.2185006357837e-05,0.0515500919085748,1.12639341682348e-06,1.70698956154174e-06,4.48004029858522e-07,1.72214567833196e-11,0,0,0.0122266057436267,0.0122266057436267,1.97370320411507e-06,4.54118666726705e-05,2.14800735847807e-06,4.73855698767856e-05,2.14800735847807e-06,0,0,0
COL,Colombia,25,0.284716835787782,0.0623820687017663,0.00221333933642509,0.349312243825973,0.000725209566572348,0.000101827292998822,2.18955026871731e-05,1.84015530039278e-06,0,0,0.0401843073510111,0.0402913835121914,4.77953453614485e-07,0.000127657256496929,3.34743941707928e-06,0.000128135209950544,3.34743941707928e-06,0,0,0,0.0395020103510492,0.00865027918265281,0.00032819697778027,0.0484804865114822,9.40893781898407e-05,1.48636101532806e-05,2.92810563149841e-06,2.66024486681163e-07,0,0,0.00546171235523144,0.00547686482908721,6.48636147155545e-08,1.7117297042246e-05,4.95376765795418e-07,1.71821606569615e-05,4.95376765795418e-07,0,0,0
ECU,Ecuador,25,0.413505047950829,0.0357377193935911,1.98060159745478e-07,0.44924296540458,0.00680442220845684,0.000233935568351428,1.39925751106421e-05,4.08537619016211e-07,0,0,0.0131537878545293,0.01317594805484,3.39748214743978e-06,0.000460486896837059,0.000435622256844144,0.000463884378984499,0.000435622256844144,0,0,0,0.100581072711981,0.00874259279739743,4.49964290932022e-08,0.109323710505807,0.00176326703323939,5.61677755769553e-05,3.48606375665049e-06,7.34662198664925e-08,0,0,0.00316909263830007,0.00317463610322079,7.06721031170527e-07,0.000103953894797477,9.01841162253506e-05,0.000104660615828648,9.01841162253506e-05,0,0,0
EGY,Egypt,25,0.0714806895595738,0.166678648289772,0.0655618903954244,0.30372122824477,6.29835098900353e-07,7.4047883726639e-05,0.00879370668878047,1.55510538553557e-06,0,0,0.0358268304481369,0.0358857724876879,3.88138330046175e-05,0.000102101548918874,1.10388331174058e-05,0.000140915381923492,1.10388331174058e-05,0,0,0,0.00686483967818183,0.0153622962488687,0.00748612053937215,0.0297132564664227,6.25641859760292e-08,8.03365117577121e-06,0.000732552474210706,1.53150087376736e-07,0,0,0.00348459826679086,0.00349109477553434,4.30308856638253e-06,9.66731554367974e-06,1.17004289776471e-06,1.39704041100623e-05,1.17004289776471e-06,0,0,0
