,country,T,GARCH_LL,Jump_LL,LR,p_value,lambda,theta,delta
0,Brazil,1970,4437.668731617974,4573.754446862772,272.1714304895959,0.0,0.05238853006667054,0.03373916813503003,0.049335621144045744
1,Chile,1970,3900.311205150742,4112.568259443319,424.51410858515464,0.0,0.45325975851748446,0.010071912217236344,0.03693672659816969
2,China,1970,4022.769128520956,4372.302525745962,699.0667944500119,0.0,0.5,0.0038278373468501052,0.034814775885427876
3,Colombia,1970,4205.08748332754,4396.208337669133,382.2417086831847,0.0,0.20671837492272588,0.0135178236657136,0.04293910962204982
4,Czechia,1970,6102.7611549084995,8176.501821134381,4147.481332451764,0.0,0.03000067788255131,-0.009997436069254215,0.030009806626729182
5,Egypt,1970,4099.052522903155,5201.425586246842,2204.7461266873743,0.0,0.03000012121723242,-0.009999930911609202,0.030000508982816875
6,Greece,1970,4957.773108667025,7273.982254145679,4632.418290957308,0.0,0.06685195513193616,-0.0019119947530357442,0.10593689919394135
7,Hungary,1970,4918.55984463294,7016.236887783324,4195.354086300767,0.0,0.030000138396438628,-0.009999844640464042,0.030000802801111812
8,Indonesia,1970,4256.898994025344,4551.683350043608,589.5687120365274,0.0,0.3077667978124347,0.010460767581589652,0.038220369934710556
9,South Korea,1970,4528.1335939511255,4798.289799400678,540.3124108991051,0.0,0.04340552586089737,0.010684402215714386,0.08718823268204566
10,Malaysia,1970,4151.504792215047,4421.440801138893,539.8720178476924,0.0,0.09479521431256026,0.03147496234570621,0.05264118384260513
11,Mexico,1970,4022.8125871150737,4172.639557536264,299.6539408423805,0.0,0.040474411746956866,0.009445104405304595,0.09160269800959812
12,Peru,1970,4143.540090298574,4330.153688296115,373.2271959950831,0.0,0.04030638056547609,0.010714156334581709,0.09104333593562135
13,Philippines,1970,4243.939022898754,4474.278288495816,460.67853119412393,0.0,0.12842393810874544,0.027804171406910355,0.04475685024467005
14,Poland,1970,4432.839982545802,6839.90443303192,4814.128900972237,0.0,0.03000051887854406,-0.00999957406718764,0.030002729971245805
15,Qatar,1970,4403.347400434906,5052.224540937826,1297.7542810058385,0.0,0.030004784454165493,-0.009995858476359906,0.03001904047795949
16,Saudi Arabia,1970,4451.2723717623685,5049.71781472712,1196.8908859295025,0.0,0.051214968440476676,0.0008763650244545354,0.08389047262128776
17,South Africa,1970,4387.473727944192,4519.642340688848,264.3372254893111,0.0,0.0627414339907431,0.02028542093961075,0.05119244872238947
18,Thailand,1970,4722.480174306415,5131.4846496930195,818.0089507732082,0.0,0.044930503736466613,0.003296765312259959,0.07806456149668621
19,Turkey,1970,4232.963720164235,4526.644981540841,587.362522753212,0.0,0.04254836729520102,0.007886056076431464,0.09115924077953677
20,Abu Dhabi,1970,4633.024522844141,5344.604663314093,1423.1602809399046,0.0,0.03000223196328147,-0.009998375419875014,0.030009540751056676
21,Dubai,1970,5211.9088351649625,6958.270390045915,3492.723109761904,0.0,0.039845958617040926,-0.002102455632380335,0.07665289157138758
22,Kuwait,735,1859.5411630570175,1915.1838357092386,111.28534530444222,0.0,0.07523982643781311,-0.018208930501228862,0.03512586371854299
23,India,735,1655.9947394379037,1674.2681552695042,36.54683166320092,5.7378767515103846e-08,0.09720420129519418,-0.036164028320324774,0.0001
24,Indonesia,735,1551.2830578086102,1603.3574229858887,104.14873035455685,0.0,0.17900968695763078,-0.014987725512352659,0.04142745354892712
25,Taiwan,735,1650.6857849271248,1665.6168179757435,29.862066097237403,1.4753982982007585e-06,0.06611898757103368,-0.03717132579974418,0.0213447125996234
26,United States,735,1816.1412846543462,1843.0899214523336,53.89727359597464,1.1801115640253101e-11,0.04125922347152811,-0.02715568031481833,0.05200460428812228
27,South Africa,735,1389.5791470357165,1401.0351031490916,22.911912226750246,4.212676345183297e-05,0.03752283556469947,-0.025931818812230396,0.0586856782391439
28,Thailand,735,1663.6649812665407,1673.045869878399,18.761777223716308,0.00030622356630505276,0.0381592092399276,-0.021588121550984923,0.056309416531146045
29,Czechia,735,1590.4071483103749,1607.0851815656933,33.35606651063699,2.7091246312949124e-07,0.03364691297259477,-0.030441829016864923,0.055959689089448365
30,China,735,1509.5726725647723,1521.0941274924605,23.042909855376365,3.9559837386904384e-05,0.03645235684426478,-0.00501213721853937,0.06414684488712494
31,Brazil,735,1312.8607774116513,1330.0354772130765,34.34939960285055,1.6716864104093787e-07,0.0401033845954715,-0.010169047723970115,0.08063349038837565
