date,country,embi_level,fx_level,SPX_Index,VIX_Index,USGG10YR_Index,DXY_Curncy,CO1_Comdty,year
2000-01-07,Angola,,5.54,1441.47,21.72,6.515,100.72,23.09,2000
2000-01-14,Angola,,5.54,1465.15,19.66,6.679,101.72,25.47,2000
2000-01-21,Angola,,5.81,1441.36,20.82,6.765,101.81,26.35,2000
2000-01-28,Angola,,5.81,1360.16,26.14,6.658,104.48,25.68,2000
2000-02-04,Angola,,5.81,1424.37,21.54,6.549,104.29,27.07,2000
2000-02-11,Angola,,5.85,1387.12,24.42,6.604,104.1,27.82,2000
2000-02-18,Angola,,5.85,1346.09,26,6.489,104.63,26.22,2000
2000-02-25,Angola,,5.85,1333.36,25.2,6.326,105.26,27.48,2000
2000-03-03,Angola,,5.85,1409.17,19.21,6.388,106,28.99,2000
2000-03-10,Angola,,5.81,1395.07,21.24,6.383,105.71,28.94,2000
2000-03-17,Angola,,5.81,1464.47,22.37,6.194,105.2,26.56,2000
2000-03-24,Angola,,5.81,1527.46,23.31,6.191,104.77,25.91,2000
2000-03-31,Angola,,5.84,1498.58,24.11,6.004,105.44,24.77,2000
2000-04-07,Angola,,5.84,1516.35,24.39,5.853,105.97,22.58,2000
2000-04-14,Angola,,5.84,1356.56,33.49,5.85,105.47,22.41,2000
2000-04-21,Angola,,6.39,1434.54,25.85,5.987,107.45,23.83,2000
2000-04-28,Angola,,6.39,1452.43,26.2,6.212,110.14,23.89,2000
2000-05-05,Angola,,6.55,1432.63,27.53,6.505,111.31,25.29,2000
2000-05-12,Angola,,6.55,1420.96,26.05,6.512,109.9,28.05,2000
2000-05-19,Angola,,6.96,1406.95,25.44,6.494,111.47,28.59,2000
2000-05-26,Angola,,7.27,1378.02,24.47,6.331,109.12,29.22,2000
2000-06-02,Angola,,8.2,1477.26,21.48,6.152,108.12,29.05,2000
2000-06-09,Angola,,8.67,1456.95,22.14,6.126,106.99,29.58,2000
2000-06-16,Angola,,9.44,1464.46,20.5,5.971,105.96,28.35,2000
2000-06-23,Angola,,9.83,1441.48,22.34,6.185,108.1,30.39,2000
2000-06-30,Angola,,9.83,1454.6,19.54,6.031,106.84,30.57,2000
2000-07-07,Angola,,9.83,1478.9,19.22,6.001,107.65,29.7,2000
2000-07-14,Angola,,10.56,1509.98,19.32,6.096,108.45,29.88,2000
2000-07-21,Angola,,10.52,1480.19,18.94,5.998,108.44,27.52,2000
2000-07-28,Angola,,10.66,1419.89,20.84,6.034,109.74,27.36,2000
2000-08-04,Angola,,9.49,1462.93,18.62,5.901,110.85,29.37,2000
2000-08-11,Angola,,9.49,1471.84,18.55,5.79,111.21,30.57,2000
2000-08-18,Angola,,9.49,1491.72,17.05,5.773,111.01,30.44,2000
2000-08-25,Angola,,9.49,1506.45,16.53,5.729,111.35,30.39,2000
2000-09-01,Angola,,9.49,1520.77,17.53,5.679,111.42,31.85,2000
2000-09-08,Angola,,9.49,1494.5,18.46,5.739,114.34,32.78,2000
