country,date,msci_index,msci_ret_weekly,n_obs,msci_vol_annual,debt_lt,debt_st,debt_total,default_barrier,OVX,country_clean,cds_spread,rf,country_lower
Brazil,2014-01-03,804.695,-0.02336612869458107,5,0.2205366579527399,58678384820.0,0.0,58678384820.0,29339192410.0,20.6,brazil,187.25,0.0013,brazil
Brazil,2014-01-10,788.35,-0.020521169953579835,5,0.2209245511468008,58678384820.0,0.0,58678384820.0,29339192410.0,19.47,brazil,191.83,0.0012,brazil
Brazil,2014-01-17,780.773,-0.00965769910054004,5,0.2206567394238424,58678384820.0,0.0,58678384820.0,29339192410.0,17.12,brazil,194.64,0.0011,brazil
Brazil,2014-01-24,743.312,-0.04916857876030546,5,0.2248166904952139,58678384820.0,0.0,58678384820.0,29339192410.0,19.46,brazil,206.22,0.0011,brazil
Brazil,2014-01-31,737.863,-0.007357705311195324,5,0.22377055112979802,58678384820.0,0.0,58678384820.0,29339192410.0,20.35,brazil,205.43,0.001,brazil
Brazil,2014-02-07,754.118,0.02179068392560644,5,0.2251843170197833,58678384820.0,0.0,58678384820.0,29339192410.0,19.03,brazil,183.07,0.0012,brazil
Brazil,2014-02-14,757.65,0.004672683145115007,5,0.22529401240167082,58678384820.0,0.0,58678384820.0,29339192410.0,17.95,brazil,184.8,0.0011,brazil
Brazil,2014-02-21,756.126,-0.002013508623317485,5,0.22469000916183327,58678384820.0,0.0,58678384820.0,29339192410.0,17.9,brazil,177.89,0.0012,brazil
Brazil,2014-02-28,760.551,0.005835141635980172,5,0.22487657742691386,58678384820.0,0.0,58678384820.0,29339192410.0,18.71,brazil,170.39,0.0012,brazil
Brazil,2014-03-07,747.948,-0.016709713753472147,5,0.2198495139806353,58678384820.0,0.0,58678384820.0,29339192410.0,20.01,brazil,170.76,0.0013,brazil
Brazil,2014-03-14,720.592,-0.03726036044855631,5,0.2208273766868466,58678384820.0,0.0,58678384820.0,29339192410.0,21.7,brazil,180.9,0.0012,brazil
Brazil,2014-03-21,769.839,0.06610830568328194,5,0.22947069689658026,58678384820.0,0.0,58678384820.0,29339192410.0,19.46,brazil,179.04,0.0014000000000000002,brazil
Brazil,2014-03-28,827.415,0.07212498086593701,5,0.24095652072314194,58678384820.0,0.0,58678384820.0,29339192410.0,19.15,brazil,158.05,0.0013,brazil
