"Date","Value"
"12/31/1946",1.36
"12/31/1947",1.84
"12/31/1948",2.57
"12/31/1949",2.57
"12/31/1950",2.57
"12/31/1951",2.57
"12/31/1952",2.57
"12/31/1953",2.72
"12/31/1954",2.82
"12/31/1955",2.82
"12/31/1956",2.82
"12/31/1957",3.04
"12/31/1958",3.06
"12/31/1959",2.98
"12/31/1960",2.97
"12/31/1961",2.97
"12/31/1962",2.97
"12/31/1963",2.97
"12/31/1964",2.95
"12/31/1965",2.92
"12/31/1966",2.94
"12/31/1967",3.03
"12/31/1968",3.07
"12/31/1969",3.3
"12/31/1970",3.35
"12/31/1971",3.56
"12/31/1972",3.56
"12/31/1973",3.87
"12/31/1974",10.37
"12/31/1975",11.16
"12/31/1976",12.65
"12/31/1977",14.3
"12/31/1978",14.85
"12/31/1979",22.4
"12/31/1980",37.38
"12/31/1981",36.67
"12/31/1982",33.64
"12/31/1983",30.4
"12/31/1984",29.24
"12/31/1985",27.87
"12/31/1986",14.41
"12/31/1987",19.03
"12/31/1988",15.99
"12/31/1989",19.58
"12/31/1990",24.84
"12/31/1991",21.14
"12/31/1992",20.6
"12/31/1993",18.51
"12/31/1994",17.45
"12/31/1995",18.44
"12/31/1996",21.68
"12/31/1997",20.39
"12/31/1998",14.6
"12/31/1999",19.69
"12/31/2000",29.73
"12/31/2001",25.25
"12/31/2002",26.59
"12/31/2003",30.9
"12/31/2004",41.58
"12/31/2005",57.25
"12/31/2006",66.92
"12/31/2007",74.89
"12/31/2008",98.69
"12/31/2009",63.78
"12/31/2010",79.95
"12/31/2011",96.79
"12/31/2012",94.03
"12/31/2013",97.57
"12/31/2014",91.56
"12/31/2015",49.19
"12/31/2016",44.22
"12/31/2017",51.86
"12/31/2018",64.58
"12/31/2019",57.31
"12/31/2020",38.58
"12/31/2021",68.23
"12/31/2022",94.25
"12/31/2023",77.7
"12/31/2024",75.82
"12/31/2025",64.27
"12/31/2026",60.46
