Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
OECD,948.7,940.6,992.7,1’033.6,1’038.0,1’012.1,1’040.5,1’097.7,1’115.9,1’091.0,1’109.1,1’120.4,1’089.4,1’152.8,1’214.3,1’259.6,1’269.5,1’261.2,1’268.6,1’147.9,1’150.4,1’123.2,1’091.1,1’009.2,938.7,964.7,973.6,963.2,866.6,765.1,572.7,608.4,638.1,589.3,592.9
G7,774.9,772.6,812.0,851.1,856.3,832.0,861.3,904.5,915.7,893.2,928.7,947.0,924.7,973.3,1’022.4,1’046.7,1’026.6,1’014.8,996.8,894.6,888.0,854.6,796.2,720.3,644.6,639.5,644.3,609.6,504.4,398.7,274.9,303.5,307.9,272.2,261.0
BRICS,-159.9,-108.9,-73.7,-54.0,-58.8,-44.9,-39.8,-22.4,-33.2,-5.7,33.6,7.5,-13.0,-22.9,-6.1,-10.4,23.8,43.8,80.6,121.3,156.5,178.8,218.5,247.7,284.7,285.4,322.9,355.8,395.6,422.1,447.3,434.7,429.8,485.4,476.9
Europe,469.7,451.7,446.9,440.7,410.5,397.9,401.4,409.3,436.3,389.8,392.6,404.2,403.2,436.3,470.2,493.1,511.5,507.2,521.0,469.8,480.1,483.6,499.3,483.1,475.3,505.1,495.2,513.9,500.5,501.6,412.6,426.0,473.1,453.9,460.7
European Union,510.4,502.5,511.9,513.0,525.8,526.9,541.2,549.5,576.9,541.9,548.6,557.2,540.6,556.7,568.2,571.8,573.8,566.5,569.2,524.7,521.3,505.4,511.4,493.5,491.7,526.3,520.3,533.2,524.4,516.9,451.1,459.7,494.9,482.7,487.2
Belgium,26.7,30.2,29.8,28.3,28.7,26.4,31.8,33.1,34.6,32.2,34.0,33.2,33.9,36.2,35.1,32.3,32.4,33.1,33.5,29.9,31.1,28.8,30.2,28.0,32.5,31.8,31.0,33.1,32.2,33.5,26.3,27.8,26.9,29.2,29.9
Czechia,7.4,6.3,6.6,6.1,6.7,7.0,7.4,6.9,6.9,6.0,5.6,5.9,6.0,6.3,6.4,7.8,7.8,7.3,8.2,7.2,7.7,6.9,7.1,6.6,7.4,7.1,5.3,7.8,7.4,7.7,6.2,6.8,7.4,7.4,6.5
Denmark,2.0,1.2,1.0,0.2,-0.4,1.6,1.6,-1.2,-2.3,-5.1,-8.2,-7.5,-9.6,-9.8,-11.2,-11.0,-8.9,-7.5,-6.7,-5.3,-5.1,-4.4,-2.4,-1.7,-1.6,-0.6,-0.4,0.4,1.3,2.6,3.5,4.2,3.8,4.5,3.7
France,75.3,77.6,76.0,77.4,76.4,78.2,83.3,87.0,89.1,80.8,83.9,86.4,80.1,85.4,85.0,84.1,82.0,81.2,83.3,71.8,64.2,64.6,57.4,56.6,54.8,58.2,56.0,57.7,53.2,48.5,33.1,33.9,41.1,45.4,44.5
Germany,88.1,88.8,98.9,99.5,105.1,100.1,101.8,97.0,108.0,102.2,100.5,104.1,103.6,105.8,109.0,111.6,109.1,106.1,105.2,97.9,92.6,90.1,93.2,90.5,89.4,90.9,91.1,90.7,85.2,85.9,82.7,81.3,88.2,77.2,84.2
Italy,83.7,84.2,86.3,85.4,85.1,81.9,81.4,87.3,91.2,87.9,89.9,90.6,89.5,90.7,92.3,93.8,91.9,94.0,87.6,80.3,84.0,77.4,73.6,65.1,58.7,67.5,65.4,68.6,63.5,64.6,51.9,58.2,61.8,59.6,56.3
Netherlands,47.4,51.3,54.9,54.9,54.6,58.3,60.1,59.8,61.3,58.2,59.4,59.9,53.8,56.1,59.1,60.3,59.0,57.0,57.0,57.0,59.0,56.5,57.0,54.2,53.6,59.0,60.1,59.4,60.6,62.4,55.9,57.1,61.4,61.6,56.2
Poland,13.1,11.5,13.2,13.9,13.4,14.1,15.0,15.1,15.7,16.6,18.1,17.5,17.6,17.5,17.5,18.1,20.4,21.7,21.5,21.2,23.1,24.1,24.6,23.1,23.4,26.4,24.5,25.1,27.1,26.8,25.0,24.2,27.3,25.4,27.1
Portugal,11.2,10.2,11.7,11.5,13.8,13.5,12.1,13.5,13.9,13.8,12.1,13.2,11.9,13.3,13.2,13.5,14.6,13.3,13.1,11.2,11.6,10.9,11.4,13.6,12.0,15.0,14.5,15.2,13.9,12.5,11.4,10.7,11.5,10.7,12.0
Romania,16.1,8.4,6.6,7.6,8.1,8.7,7.2,6.2,6.0,4.3,4.8,5.5,6.4,5.2,7.3,8.7,8.7,8.5,8.6,7.2,6.0,5.5,5.1,5.5,7.2,7.2,8.0,8.5,9.0,9.6,8.0,8.0,9.2,8.1,9.0
Spain,53.3,52.9,54.9,52.5,54.8,55.7,54.9,56.6,60.7,58.9,58.8,57.8,57.7,58.0,59.5,60.2,61.2,59.0,60.5,56.0,56.2,56.4,59.9,59.8,60.7,64.9,63.7,65.2,67.2,66.2,55.4,58.0,63.2,61.2,64.7
Sweden,17.0,16.2,17.0,17.8,18.2,17.8,19.0,20.1,19.8,19.3,20.3,19.5,18.3,20.3,20.7,20.0,19.2,17.8,21.1,19.1,19.4,18.8,20.5,16.9,18.2,19.3,18.9,18.7,19.6,16.4,16.9,17.6,18.8,17.2,18.4
United Kingdom,-4.3,2.4,1.3,-1.1,-28.9,-34.6,-30.6,-29.2,-36.7,-46.9,-38.5,-33.4,-30.2,-20.7,-2.0,4.8,9.2,6.4,11.8,9.0,12.9,24.3,29.5,25.5,22.8,17.0,13.9,14.9,8.0,6.6,-0.3,7.2,15.6,17.9,19.5
Norway,-66.6,-80.7,-92.0,-99.0,-113.4,-124.3,-140.6,-141.8,-135.0,-134.2,-145.3,-150.5,-139.1,-132.2,-129.4,-115.9,-104.7,-97.4,-90.4,-86.9,-78.9,-71.4,-65.7,-60.9,-63.1,-67.7,-68.8,-65.4,-58.6,-57.4,-71.9,-76.4,-76.6,-82.6,-82.8
Turkiye,20.1,17.6,19.3,22.0,21.8,24.7,24.2,23.3,23.7,23.0,21.6,23.2,23.7,24.1,23.9,23.4,24.1,23.4,21.7,14.2,17.0,18.1,19.2,18.5,17.2,24.7,24.4,25.4,20.7,30.9,28.8,31.0,33.2,30.4,29.6
CIS,-107.1,-68.4,-74.4,-85.3,-98.3,-98.5,-114.0,-121.0,-132.4,-143.2,-156.6,-173.0,-198.6,-240.6,-273.9,-282.3,-294.0,-313.6,-310.5,-329.1,-326.6,-328.1,-325.4,-321.7,-306.3,-326.3,-339.0,-339.8,-348.1,-357.5,-322.3,-318.5,-336.0,-325.8,-329.8
Azerbaijan,4.3,4.0,1.5,1.2,0.9,0.0,0.0,0.0,-1.8,-5.7,-5.6,-8.5,-8.9,-9.0,-9.0,-14.3,-24.8,-34.8,-36.9,-44.3,-44.5,-39.0,-36.8,-36.7,-35.2,-35.1,-35.0,-32.8,-32.7,-31.2,-28.4,-28.1,-26.0,-24.0,-23.3
Kazakhstan,-6.2,-8.2,-2.1,-5.1,-6.1,-9.0,-12.9,-15.3,-16.1,-23.0,-28.2,-30.1,-37.0,-41.9,-46.7,-48.1,-52.2,-50.5,-57.3,-62.6,-57.3,-64.2,-63.5,-61.6,-64.4,-63.5,-60.9,-68.7,-69.8,-70.0,-69.0,-67.9,-65.2,-70.5,-68.8
Russia,-203.3,-155.6,-131.8,-117.3,-121.9,-113.8,-119.7,-122.9,-131.7,-129.9,-138.5,-157.0,-182.2,-222.1,-253.4,-250.2,-246.1,-255.9,-240.6,-247.1,-245.9,-247.1,-243.6,-240.2,-225.1,-247.3,-259.2,-256.1,-264.8,-273.8,-241.1,-238.9,-259.6,-249.0,-255.0
Uzbekistan,5.2,5.6,3.1,4.0,1.5,-0.4,-0.8,-0.9,-0.7,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,1.1,1.1,1.2,0.7,0.7,0.8,1.2,1.7,2.0
America,231.5,204.7,214.7,244.8,246.5,221.3,228.2,245.2,254.9,278.2,282.0,294.1,278.4,297.3,321.8,323.7,312.8,328.2,319.4,278.6,250.6,217.6,160.6,111.2,48.2,28.6,43.3,12.3,-51.8,-141.8,-195.5,-172.9,-204.1,-248.3,-248.7
North America,329.3,316.5,331.5,371.0,384.5,379.0,399.8,434.0,447.0,457.0,475.1,493.9,475.2,502.9,531.8,539.7,531.1,521.5,510.0,456.4,453.0,421.0,363.6,304.8,253.5,240.9,255.7,219.9,143.4,45.6,-9.0,-4.3,-32.6,-52.3,-59.4
Canada,-10.1,-14.8,-20.3,-20.6,-22.7,-28.6,-27.8,-28.3,-34.7,-27.6,-30.0,-28.8,-35.7,-38.1,-40.7,-36.7,-49.3,-51.8,-53.8,-54.4,-60.3,-75.7,-79.5,-92.0,-102.7,-106.6,-114.9,-128.9,-148.3,-156.6,-151.6,-166.2,-172.0,-175.0,-186.3
United States,339.4,331.3,351.8,391.7,407.2,407.6,427.6,462.3,481.7,484.7,505.1,522.7,510.9,541.1,572.5,576.4,580.4,573.3,563.8,510.8,513.3,496.7,443.1,396.8,356.2,347.5,370.6,348.8,291.6,202.2,142.6,161.9,139.4,122.8,126.9
Latin America,-97.9,-111.8,-116.8,-126.2,-138.0,-157.7,-171.6,-188.8,-192.1,-178.9,-193.2,-199.8,-196.8,-205.6,-210.0,-216.0,-218.3,-193.2,-190.6,-177.8,-202.4,-203.4,-203.0,-193.6,-205.2,-212.3,-212.4,-207.6,-195.2,-187.4,-186.5,-168.6,-171.5,-196.1,-189.4
Argentina,-0.9,-1.1,-3.0,-4.3,-10.0,-13.2,-15.9,-16.2,-15.3,-12.9,-12.9,-13.3,-13.1,-11.6,-8.5,-7.4,-4.0,-2.9,-2.8,-4.7,-2.9,-3.1,-2.9,-1.8,-1.6,-1.3,-2.1,-0.6,-3.0,-3.6,-4.2,-3.3,-6.2,-6.4,-8.9
Brazil,28.6,26.4,26.6,25.5,28.0,24.7,28.5,29.1,28.0,23.7,18.6,15.6,7.5,5.1,10.6,3.5,-1.7,-0.3,-2.6,-7.6,-14.8,-13.8,-9.6,-0.1,-8.7,-22.5,-35.5,-45.9,-45.6,-54.1,-61.6,-56.3,-55.7,-69.7,-69.0
Chile,5.4,5.5,6.0,6.3,7.1,7.6,8.0,8.6,9.4,9.3,9.7,9.8,9.6,10.2,10.4,10.2,11.1,10.8,10.1,10.0,8.5,9.0,8.7,9.5,8.9,8.6,8.5,8.8,8.9,9.7,7.5,8.2,7.4,8.9,9.9
