Country,lambda,theta,delta
Brazil,0.10486006729364802,-0.024710545527354234,0.05801183334785745
Chile,0.05697480745776079,-0.05087470479593716,0.023155649123924194
China,0.04056203614310948,-0.012807615204283026,0.05576276214482667
Colombia,0.048832286302419974,-0.0378938091982699,0.07155718582508236
Czechia,0.040089159878343515,-0.03033592473877443,0.07192564093750403
Egypt,0.1436169730642603,-0.02689729129376665,0.07449910266948863
Greece,0.05069786502079965,-0.04037253640735559,0.09117475525947999
Hungary,0.042273675664138505,-0.036481326895383824,0.07860069941413275
India,0.2328289625641587,-0.0273167170938266,0.00010007985123566543
Indonesia,0.16713135929761302,-0.02068704078232838,0.04427089451745079
South Korea,0.037934164815958606,-0.021595022906160107,0.05219645953456486
Kuwait,0.06133048144325658,-0.023607449434410815,0.03769141706651985
Malaysia,0.04091611028667305,-0.011436646436149018,0.04408986788541942
Mexico,0.0142721378251571,-0.10351440122525488,0.02035041971476453
Peru,0.04004612659811188,-0.013708433129835726,0.07360050941241876
Philippines,0.04878329591111812,-0.02960774133151112,0.04327270750876937
Poland,0.019017619766578734,-0.08871992697704341,0.06361941932349166
Qatar,0.04331427316883467,-0.017792341810806224,0.042041487496195996
Saudi Arabia,0.03999693277997005,-0.02364613335235211,0.06398977450407912
South Africa,0.005609767541218746,-0.16320127178004795,0.0001
Taiwan,0.14012519000317789,-0.029496061955137674,0.02143508381022896
Thailand,0.07585947949419895,-0.042426704326469084,0.012032726192133188
Turkey,0.35990980672043654,-0.022094306507035866,0.042946507375861184
United Arab Emirates,0.21783842416618418,-0.005467791041347132,0.035099687576086565
