date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,implied_V_M0,implied_sigma_V_M0,cca_converged_M0,implied_V_M1,implied_sigma_V_M1,cca_converged_M1,convenience_yield,implied_V_M2,implied_sigma_V_M2,cca_converged_M2,lambda_annual,group,exporter,DD_M0,DD_M1,DD_M2,PD_M0,PD_M1,PD_M2,spread_rf_M0,spread_rf_M1,spread_rf_M2,put_M0,put_M1,put_M2,risky_debt_M0,risky_debt_M1,risky_debt_M2,RNS_M0,RNS_M1,RNS_M2,yield_rf_M0,yield_rns_M0,yield_rf_M1,yield_rns_M1,yield_rf_M2,yield_rns_M2,yield_market,leverage_M0,leverage_M1,leverage_M2
2015-01-04,Brazil,207.97,0.0255,631.8961,160.2673628759274,0.2164902480265519,716.2788398339309,0.0488765916303621,True,890.3676037226944,0.0720677488303167,True,-0.1546637848074127,1080.2657774950983,0.0728099393133538,True,2.6023820616726665,Exporter,1.0,2.2588446059236453,2.838533140363857,3.995407381527515,0.01194652637294264,0.0022660706411075796,3.229155107214239e-05,14.387457512617683,2.7211350741020173,0.038750236679388435,0.24249936357847268,0.05734803728911286,0.038745711868245415,556.0114769577442,556.1966282840335,556.2152306094544,0.8720916997138207,0.20620434598169574,0.002293515683032244,269.38745751261763,255.8720916997138,257.721135074102,255.20620434598166,255.03875023667936,255.002293515683,462.96999999999997,0.8821928903365414,0.7097024839605514,0.5849450321986779
2015-01-11,Brazil,201.92,0.0255,631.8961,164.16631832854327,0.2177821581294069,720.1649520382615,0.0501011161634334,True,870.4741886432189,0.0737815286828192,True,-0.1821262178680968,1093.0141837589829,0.0743978719370745,True,2.2108140811796937,Exporter,1.0,2.2492289617697643,2.631849248283954,3.97714023117972,0.012248966377751544,0.004246076738711029,3.487451802310205e-05,14.75303914773957,5.101793631586249,0.041849859477290495,0.25534261186951746,0.11578130594713487,0.025713708681677005,555.9986337094531,556.1381950153755,556.228262612641,0.9182900145255054,0.4163326903897193,0.002538397415305829,269.7530391477395,255.91829001452547,260.10179363158625,255.41633269038968,255.04184985947725,255.00253839741526,456.91999999999996,0.8774324524007496,0.7259216967534866,0.5781225069073188
2015-01-18,Brazil,205.65,0.0255,631.8961,164.74058305916728,0.217691240654006,720.7400368127288,0.0502126621205998,True,895.6917874291123,0.0738677805130491,True,-0.1606527169838928,1094.8912535505024,0.074656009080319,True,2.83295297897659,Exporter,1.0,2.251092542046249,2.8014820920612937,3.9730908674414365,0.012189838344586637,0.002543423214998623,3.5472984247358856e-05,14.681561459151967,3.054439070598536,0.042568034103054105,0.25452256802099615,0.06651290233064344,0.04538070387284656,555.9994537533016,556.187463418992,556.2085956174498,0.9153402114359406,0.2391601032967203,0.002592711578423787,269.68156145915196,255.9153402114359,258.0544390705985,255.23916010329668,255.04256803410303,255.0025927115784,460.65,0.8767323413784307,0.7054838604847766,0.5771313798981348
2015-01-25,Brazil,193.65,0.0255,631.8961,167.3744289597118,0.2170698477487186,723.3796314556874,0.0506694560779391,True,890.5533461511144,0.073771361605595,True,-0.1715231364197304,1103.5032761523655,0.0745966271132377,True,2.965042768060412,Exporter,1.0,2.262046853564824,2.7704815875686273,4.023357201258124,0.011847254328591983,0.00279867323819189,2.8687188491696404e-05,14.267474605265326,3.3612307722894172,0.03442492245719885,0.24877382558043237,0.07366472762952059,0.044643615232116046,556.0052024957422,556.1803115936931,556.2093327060905,0.8946613683816157,0.2648775879617035,0.0020741492376356594,269.2674746052653,255.89466136838158,258.3612307722894,255.26487758796168,255.03442492245716,255.00207414923761,448.65,0.8735331664349033,0.7095544615389904,0.5726272985824388
2015-02-01,Brazil,212.77,0.022,622.0884000000001,144.93127013663783,0.2393282794784239,701.6946867587764,0.0503221936943392,True,869.1075819763221,0.0795973560419365,True,-0.1599159595464555,1061.410361081243,0.0804043664906385,True,3.0814917573686564,Exporter,1.0,1.9914479082527081,2.407759791974581,3.4935801068484684,0.02321583336262688,0.008025368916287159,0.0002382949870253321,28.054851878405806,9.653703757661496,0.2859744287994739,0.5246072708496996,0.24993411436758706,0.13981071401095985,556.7634166211511,557.0380897776333,557.1482131779899,1.883601746019268,0.8971668724001111,0.020680952468044314,248.0548518784058,221.88360174601928,229.6537037576615,220.8971668724001,220.28597442879948,220.02068095246804,432.77,0.886551390140221,0.7157783603560235,0.5860960311017577
2015-02-08,Brazil,229.48,0.022,622.0884000000001,139.7179430311654,0.2415028963223305,696.450672138399,0.0493900984835825,True,883.8262186000345,0.079741458397661,True,-0.1326931530251255,1043.2694699312424,0.0806238357499575,True,3.3541974334182703,Exporter,1.0,1.963211332048056,2.49726987496321,3.3879564654164014,0.02481081158216813,0.006257683401034011,0.000352077199822096,29.99680554804653,7.523352563528216,0.42253727107968597,0.5552947860494637,0.1906297008534299,0.20953337422251125,556.7327291059514,557.0973941911475,557.0784905177784,1.9938401705537352,0.684250528118886,0.03135667421587329,249.99680554804652,221.99384017055374,227.52335256352822,220.6842505281189,220.42253727107968,220.03135667421589,449.48,0.8932267924875782,0.7038582776887716,0.5962873619228974
2015-02-15,Brazil,235.35,0.022,622.0884000000001,137.15209976232302,0.2420762721492284,693.8780998980158,0.0488023373901668,True,942.1860325948091,0.079393631203187,True,-0.0746652334773636,1034.3449861978097,0.0801181131660123,True,2.734894940899593,Exporter,1.0,1.9542657443166773,2.8691682436605235,3.362521234326096,0.025334898892576924,0.0020577641043642053,0.0003861709290468437,30.635315892336763,2.47084256264636,0.4634588092255687,0.5620237576951546,0.05679846409118117,0.15634187587453588,556.7260001343058,557.2312254279096,557.1316820161263,2.018013393930548,0.20384919928500358,0.034380854445325945,250.63531589233676,222.01801339393054,222.47084256264637,220.203849199285,220.46345880922556,220.03438085444532,455.35,0.8965384555175223,0.6602606900112387,0.6014322187481759
2015-02-22,Brazil,235.89,0.022,622.0884000000001,135.55427914934734,0.241351580360056,692.2942701924476,0.048191068341491,True,917.4745611892562,0.0785591837487701,True,-0.091617535684517,1028.788040372861,0.0792491201982228,True,2.5772203745154045,Exporter,1.0,1.9592231649912697,2.7502201851746904,3.370947093196695,0.02504332869485883,0.002977761573496195,0.000374551213553956,30.2800625439443,3.576509838509906,0.4495119677326383,0.5480328502288732,0.08380400145451605,0.1420846900389469,556.739991041772,557.2042198905464,557.1459392019619,1.9677526492725865,0.3007791290787684,0.03293777686328185,250.2800625439443,221.9677526492726,223.5765098385099,220.30077912907876,220.44951196773263,220.0329377768633,455.89,0.8985895547381444,0.6780443036956052,0.6046808240252659
2015-03-01,Brazil,235.88,0.0233999999999999,626.0114799999998,139.31661473031954,0.2427283843217426,695.6317903151635,0.0495846501841822,True,942.0245832978368,0.0802790716595665,True,-0.0798101550574809,1040.8402739820178,0.0810041421607121,True,2.7690059304580967,Exporter,1.0,1.9508984518639645,2.838573712052321,3.3622710270174068,0.025534563429844358,0.002265782573712213,0.00038652104090980313,30.87862646069002,2.7207889226151067,0.46387904087407833,0.5753677752721806,0.06363616502368807,0.15511370946130118,556.3151755830409,556.8269071932893,556.7354296488518,2.0674267719505255,0.22855407378771095,0.03477824487878011,264.878626460689,236.06742677194953,236.7207889226141,234.2285540737867,234.46387904087308,234.0347782448778,469.879999999999,0.8999178713732714,0.6645383688485715,0.6014481718746552
2015-03-08,Brazil,253.64,0.0233999999999999,626.0114799999998,129.17953534174936,0.2536727194776758,685.3024347266057,0.0490873342030116,True,911.179053896478,0.0839853702798664,True,-0.07889060932975,1005.594748783853,0.0845330078992843,True,2.1166837664365223,Exporter,1.0,1.835484912559008,2.5279257191104727,3.031935491259804,0.03321693627865981,0.005736931229994264,0.0012149556353977418,40.26289270756175,6.896193192670228,1.4584784230612124,0.7676439772500245,0.18197091454887637,0.21543829151669114,556.122899381063,556.7085724437642,556.6751050667964,2.7587954268707557,0.6536316833820915,0.12285306198865696,274.26289270756075,236.75879542686977,240.89619319266924,234.6536316833811,235.45847842306023,234.12285306198766,487.63999999999896,0.9134820602961093,0.687034537638881,0.6225285889341468
