date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,lambda_annual,implied_V,implied_sigma_V,cca_converged
2015-01-04,Brazil,207.97,0.0222,622.6488400000001,805.96795740989,0.16911499507633374,8.155143423832989,1363.1955047145734,0.10763300571903528,True
2015-01-11,Brazil,201.92,0.0222,622.6488400000001,825.5754002840185,0.17058008176423717,7.705557631254091,1382.803069903264,0.10905427945626417,True
2015-01-18,Brazil,205.65,0.0222,622.6488400000001,828.4633180961553,0.17050104085663392,8.384938910883598,1385.690601119094,0.10977991689188486,True
2015-01-25,Brazil,193.65,0.0222,622.6488400000001,841.7086561518994,0.16925948367541593,8.506863620477713,1398.936701038277,0.1097949464407365,True
2015-02-01,Brazil,212.77,0.0217,621.24774,805.2046121749763,0.17002520924548223,8.60907893308385,1362.5691362538332,0.10853994681399852,True
2015-02-08,Brazil,229.48,0.0217,621.24774,776.2405726951206,0.1738432291170986,8.831137734961025,1333.6014742309071,0.1094555456783075,True
2015-02-15,Brazil,235.35,0.0217,621.24774,761.9853410101833,0.17486505690773455,8.28998791264736,1319.3454971253889,0.10876177530980845,True
2015-02-22,Brazil,235.89,0.0217,621.24774,753.1082192835655,0.17432076071702832,8.128638703411497,1310.468645590938,0.10780582998660374,True
2015-03-01,Brazil,235.88,0.0168,607.51696,775.2310822442553,0.1765231908980881,8.32346641060847,1333.7900202475107,0.1103861539876543,True
2015-03-08,Brazil,253.64,0.0168,607.51696,718.8230289735859,0.1921444676280539,7.584145071576028,1277.3546210824848,0.11521874932036748,True
2015-03-15,Brazil,302.25,0.0168,607.51696,677.3588183516697,0.20079965656757942,8.187934488258595,1235.850604964552,0.11773392809768593,True
2015-03-22,Brazil,291.2898,0.0168,607.51696,681.5404531535916,0.20063532829885053,7.789327994082119,1240.0367857024894,0.11757596415150603,True
2015-03-29,Brazil,285.95,0.0168,607.51696,677.2707838524447,0.1983762352936146,8.004976404557853,1235.7735615124272,0.11622821982203266,True
2015-04-05,Brazil,259.48,0.0208,618.72576,735.9204742427992,0.21272786357567575,7.680461418578111,1293.415861411912,0.12821090257170162,True
2015-04-12,Brazil,245.19,0.0208,618.72576,746.7843792924108,0.2131532927355051,6.926849823778328,1304.287698083582,0.12851583597858948,True
2015-04-19,Brazil,241.81,0.0208,618.72576,755.3055396969996,0.21344959947741957,6.810288774147373,1312.8108518207946,0.12916452285823696,True
2015-04-26,Brazil,220.11,0.0208,618.72576,778.1358181095579,0.215717987334336,6.205567383411147,1335.6408710544304,0.13146915451208457,True
2015-05-03,Brazil,237.95,0.0187,612.8411400000001,774.4032720768671,0.2152233317992127,6.094891294281151,1332.4369267612465,0.13077953073394646,True
2015-05-10,Brazil,222.26,0.0187,612.8411400000001,785.1653579312409,0.21567680981225743,6.0357508272506495,1343.2001918505862,0.13170644000358145,True
2015-05-17,Brazil,228.93,0.0187,612.8411400000001,778.9088742229528,0.215808632404222,5.468223330610242,1336.9459238499326,0.13084654195241252,True
2015-05-24,Brazil,220.46,0.0187,612.8411400000001,754.3264961250642,0.2180727412753234,5.614899382679133,1312.34207396654,0.1306215468719443,True
2015-05-31,Brazil,231.01,0.0212,619.8466400000001,720.132232808983,0.22228377194009832,5.885534915659204,1277.4711191878973,0.13087473042062076,True
2015-06-07,Brazil,247.9,0.0212,619.8466400000001,728.3756619705233,0.22266455814145752,5.863339376158497,1285.7154702323257,0.1316863639454614,True
2015-06-14,Brazil,242.18,0.0212,619.8466400000001,734.2834527652882,0.2225459843939217,5.639079082667099,1291.6293591806188,0.13184737621917494,True
2015-06-21,Brazil,240.17,0.0212,619.8466400000001,739.252408752324,0.22269562021170297,5.517360826083393,1296.6006978086316,0.1321849114897313,True
2015-06-28,Brazil,256.0898,0.0212,619.8466400000001,731.6959320257795,0.2221552301008468,5.365998959550843,1289.0468913183056,0.1311806608801566,True
2015-07-05,Brazil,249.89,0.0219,621.8081800000001,763.9461349960022,0.2125355766154828,5.892196739957852,1321.1704464767577,0.12840156874660436,True
2015-07-12,Brazil,251.79,0.0219,621.8081800000001,758.0071788817905,0.2126008670403863,6.72277147135798,1315.222948911167,0.1288038174434326,True
2015-07-19,Brazil,262.49,0.0219,621.8081800000001,751.1821685885069,0.21269937967352223,5.990061358537994,1308.4014640207179,0.12772056495347683,True
2015-07-26,Brazil,293.25,0.0219,621.8081800000001,713.680534038896,0.21815846569938172,6.473522989525034,1270.8502331975012,0.1286111559715013,True
2015-08-02,Brazil,288.8699,0.0243,628.5334600000001,685.5660654790098,0.22120067661700152,6.453318164392281,1242.0093923561687,0.1282191931317094,True
2015-08-09,Brazil,327.8999,0.0243,628.5334600000001,668.7957436491321,0.22206499123378165,6.717159407258605,1225.219548741226,0.12760391533061763,True
2015-08-16,Brazil,300.5698,0.0243,628.5334600000001,673.1349177885235,0.22189273671471282,6.689096386893115,1229.5629085285889,0.12783321268255612,True
2015-08-23,Brazil,336.74,0.0243,628.5334600000001,670.0154035228978,0.22186795188814357,7.1079632624115625,1226.435774492218,0.12795649932661185,True
2015-08-30,Brazil,327.0698,0.0243,628.5334600000001,654.7462013535078,0.22203384558051908,7.86729646354631,1211.1444367432434,0.1275030502987363,True
2015-09-06,Brazil,375.1199,0.0216,620.96752,617.5509361548953,0.22828646428793858,7.62031732864934,1174.6320086817927,0.1273652987466338,True
2015-09-13,Brazil,392.8799,0.0216,620.96752,613.3726804742439,0.22519138100847103,7.657518876339358,1170.4869527841843,0.12536693105791255,True
2015-09-20,Brazil,390.3398,0.0216,620.96752,601.645076437711,0.22551157703524485,7.239402638088533,1158.7555601719257,0.12407934282076746,True
2015-09-27,Brazil,489.5098,0.0216,620.96752,596.8258384467869,0.22494397695592808,7.446587043899864,1153.9350842834076,0.12352928641334303,True
