country,date,msci_index,msci_ret_weekly,n_obs,msci_vol_annual,debt_lt,debt_st,debt_total,default_barrier,OVX,country_clean,cds_spread,rf,lambda,theta,delta,country_lower,pd_cf_gbm,dd_cf_gbm,pd_mc_jump_const,dd_mc_jump_const,pd_mc_jump_ovx,dd_mc_jump_ovx
Brazil,2014-01-03,804.695,-0.023366128694581,5,0.2205366579527399,58678384820.0,0.0,58678384820.0,29339192410.0,20.6,brazil,187.25,0.0013,0.0523885300666705,0.03373916813503,0.0493356211440457,brazil,0.28242525454663503,0.5756518765099313,0.2286,0.7434653370409368,0.2525,0.6666433063863064
Brazil,2014-01-03,804.695,-0.023366128694581,5,0.2205366579527399,58678384820.0,0.0,58678384820.0,29339192410.0,20.6,brazil,187.25,0.0013,0.0401033845954715,-0.0101690477239701,0.0806334903883756,brazil,0.28242525454663503,0.5756518765099313,0.3045,0.511501411920353,0.2951,0.5385462268710222
Brazil,2014-01-10,788.35,-0.0205211699535798,5,0.2209245511468008,58678384820.0,0.0,58678384820.0,29339192410.0,19.47,brazil,191.83,0.0012,0.0523885300666705,0.03373916813503,0.0493356211440457,brazil,0.2830601800514375,0.5737745688146605,0.2352,0.7218283778282384,0.2606,0.6414967373378819
Brazil,2014-01-10,788.35,-0.0205211699535798,5,0.2209245511468008,58678384820.0,0.0,58678384820.0,29339192410.0,19.47,brazil,191.83,0.0012,0.0401033845954715,-0.0101690477239701,0.0806334903883756,brazil,0.2830601800514375,0.5737745688146605,0.3101,0.4955669153446693,0.2922,0.5469690434311935
Brazil,2014-01-17,780.773,-0.00965769910054,5,0.2206567394238424,58678384820.0,0.0,58678384820.0,29339192410.0,17.12,brazil,194.64,0.0011,0.0523885300666705,0.03373916813503,0.0493356211440457,brazil,0.2826219208804094,0.5750701692964486,0.2257,0.753083065467568,0.2627,0.6350435685167836
Brazil,2014-01-17,780.773,-0.00965769910054,5,0.2206567394238424,58678384820.0,0.0,58678384820.0,29339192410.0,17.12,brazil,194.64,0.0011,0.0401033845954715,-0.0101690477239701,0.0806334903883756,brazil,0.2826219208804094,0.5750701692964486,0.3079,0.5018116747749062,0.2952,0.5382564686868879
Brazil,2014-01-24,743.312,-0.0491685787603054,5,0.2248166904952139,58678384820.0,0.0,58678384820.0,29339192410.0,19.46,brazil,206.22,0.0011,0.0523885300666705,0.03373916813503,0.0493356211440457,brazil,0.2893743715255051,0.5552133435395165,0.2437,0.6944500745373277,0.2607,0.6411888391998647
Brazil,2014-01-24,743.312,-0.0491685787603054,5,0.2248166904952139,58678384820.0,0.0,58678384820.0,29339192410.0,19.46,brazil,206.22,0.0011,0.0401033845954715,-0.0101690477239701,0.0806334903883756,brazil,0.2893743715255051,0.5552133435395165,0.3099,0.4961338191893302,0.2991,0.5269907673100405
Brazil,2014-01-31,737.863,-0.0073577053111953,5,0.223770551129798,58678384820.0,0.0,58678384820.0,29339192410.0,20.35,brazil,205.43,0.001,0.0523885300666705,0.03373916813503,0.0493356211440457,brazil,0.2876873014944869,0.5601537025595895,0.2374,0.7146910003308288,0.2654,0.6267852704667093
Brazil,2014-01-31,737.863,-0.0073577053111953,5,0.223770551129798,58678384820.0,0.0,58678384820.0,29339192410.0,20.35,brazil,205.43,0.001,0.0401033845954715,-0.0101690477239701,0.0806334903883756,brazil,0.2876873014944869,0.5601537025595895,0.3089,0.49897073624866767,0.295,0.5388360302784504
Brazil,2014-02-07,754.118,0.0217906839256064,5,0.2251843170197833,58678384820.0,0.0,58678384820.0,29339192410.0,19.03,brazil,183.07,0.0012,0.0523885300666705,0.03373916813503,0.0493356211440457,brazil,0.2899654833813945,0.5534855585033627,0.236,0.7192287304399239,0.2673,0.6209994272870428
Brazil,2014-02-07,754.118,0.0217906839256064,5,0.2251843170197833,58678384820.0,0.0,58678384820.0,29339192410.0,19.03,brazil,183.07,0.0012,0.0401033845954715,-0.0101690477239701,0.0806334903883756,brazil,0.2899654833813945,0.5534855585033627,0.3081,0.5012431637045308,0.2968,0.5336264568490808
Brazil,2014-02-14,757.65,0.004672683145115,5,0.2252940124016708,58678384820.0,0.0,58678384820.0,29339192410.0,17.95,brazil,184.8,0.0011,0.0523885300666705,0.03373916813503,0.0493356211440457,brazil,0.2901416887252743,0.5529708404390921,0.2443,0.6925372523830734,0.271,0.6097913986740799
Brazil,2014-02-14,757.65,0.004672683145115,5,0.2252940124016708,58678384820.0,0.0,58678384820.0,29339192410.0,17.95,brazil,184.8,0.0011,0.0401033845954715,-0.0101690477239701,0.0806334903883756,brazil,0.2901416887252743,0.5529708404390921,0.3125,0.4887764111146695,0.294,0.5417365601128167
Brazil,2014-02-21,756.126,-0.0020135086233174,5,0.2246900091618332,58678384820.0,0.0,58678384820.0,29339192410.0,17.9,brazil,177.89,0.0012,0.0523885300666705,0.03373916813503,0.0493356211440457,brazil,0.2891704688340057,0.55580972348297,0.2392,0.7088783037650318,0.2685,0.6173559048283789
Brazil,2014-02-21,756.126,-0.0020135086233174,5,0.2246900091618332,58678384820.0,0.0,58678384820.0,29339192410.0,17.9,brazil,177.89,0.0012,0.0401033845954715,-0.0101690477239701,0.0806334903883756,brazil,0.2891704688340057,0.55580972348297,0.3178,0.4738596423798398,0.2884,0.5580649991613225
Brazil,2014-02-28,760.551,0.0058351416359801,5,0.2248765774269138,58678384820.0,0.0,58678384820.0,29339192410.0,18.71,brazil,170.39,0.0012,0.0523885300666705,0.03373916813503,0.0493356211440457,brazil,0.28947072634805737,0.5549315911303706,0.2423,0.6989232446275051,0.2706,0.6109993660601778
Brazil,2014-02-28,760.551,0.0058351416359801,5,0.2248765774269138,58678384820.0,0.0,58678384820.0,29339192410.0,18.71,brazil,170.39,0.0012,0.0401033845954715,-0.0101690477239701,0.0806334903883756,brazil,0.28947072634805737,0.5549315911303706,0.3117,0.4910373937887133,0.2949,0.5391258789476386
Brazil,2014-03-07,747.948,-0.0167097137534721,5,0.2198495139806353,58678384820.0,0.0,58678384820.0,29339192410.0,20.01,brazil,170.76,0.0013,0.0523885300666705,0.03373916813503,0.0493356211440457,brazil,0.2812979638716026,0.5789899895647508,0.2292,0.741484048685622,0.2586,0.6476675448682645
Brazil,2014-03-07,747.948,-0.0167097137534721,5,0.2198495139806353,58678384820.0,0.0,58678384820.0,29339192410.0,20.01,brazil,170.76,0.0013,0.0401033845954715,-0.0101690477239701,0.0806334903883756,brazil,0.2812979638716026,0.5789899895647508,0.3164,0.47778954949462243,0.2811,0.5795768621491229
Brazil,2014-03-14,720.592,-0.0372603604485563,5,0.2208273766868466,58678384820.0,0.0,58678384820.0,29339192410.0,21.7,brazil,180.9,0.0012,0.0523885300666705,0.03373916813503,0.0493356211440457,brazil,0.282901216176336,0.5742443931909008,0.2322,0.7316208804133133,0.2535,0.6635162118714567
Brazil,2014-03-14,720.592,-0.0372603604485563,5,0.2208273766868466,58678384820.0,0.0,58678384820.0,29339192410.0,21.7,brazil,180.9,0.0012,0.0401033845954715,-0.0101690477239701,0.0806334903883756,brazil,0.282901216176336,0.5742443931909008,0.3083,0.5006748145922327,0.2963,0.5350721024308538
Brazil,2014-03-21,769.839,0.0661083056832819,5,0.2294706968965802,58678384820.0,0.0,58678384820.0,29339192410.0,19.46,brazil,179.04,0.0014,0.0523885300666705,0.03373916813503,0.0493356211440457,brazil,0.29679128344244055,0.5336516493971037,0.2512,0.6707183041171983,0.2711,0.6094895458762031
Brazil,2014-03-21,769.839,0.0661083056832819,5,0.2294706968965802,58678384820.0,0.0,58678384820.0,29339192410.0,19.46,brazil,179.04,0.0014,0.0401033845954715,-0.0101690477239701,0.0806334903883756,brazil,0.29679128344244055,0.5336516493971037,0.3181,0.47301847278233816,0.3071,0.5040873441674963
Brazil,2014-03-28,827.415,0.072124980865937,5,0.2409565207231419,58678384820.0,0.0,58678384820.0,29339192410.0,19.15,brazil,158.05,0.0013,0.0523885300666705,0.03373916813503,0.0493356211440457,brazil,0.31449717724816856,0.48314278831044777,0.2627,0.6350435685167836,0.2918,0.5481338489471929
