country,driver,n,n_crash,beta,p,beta_norm,p_norm,beta_crash,p_crash,delta_crash_minus_norm,p_delta,group
Morocco,r_oil,1228,123,0.0172222745690145,0.141488490554735,0.0129771680128638,0.334794428284695,0.0225834701348608,,0.00960630212199696,0.617049002080352,Control
Egypt,r_oil,1194,118,0.0151132364652235,0.485169833982881,-0.00593202749100552,0.81316638775873,0.0422513224462447,,0.0481833499372502,0.269813732930201,Control
Brazil,r_oil,1228,123,0.00345613109737778,0.754838158497878,0.000578315944490564,0.962555056296153,0.00709238617253271,,0.00651407022804215,0.797066130345057,Control
Zambia,r_copper,644,49,0.115160714240679,0.0520407155213259,0.106188051183045,0.0795144324689044,0.135157459954453,,0.0289694087714088,0.843871592113995,Copper exporter
Peru,r_copper,1228,123,0.023853616726926,0.203447297072545,0.00146355125169675,0.923678767502426,0.0555957327308573,,0.0541321814791606,0.198167408075745,Copper exporter
Chile,r_copper,1228,123,0.00499700992075399,0.51829571813308,-0.00625148249364168,0.508682568557779,0.0215054149401689,,0.0277568974338106,0.0661805827073647,Copper exporter
Angola,r_oil,644,59,0.244294930050566,0.00187623124120369,0.162412432155979,0.000338766992652348,0.36447938853046,,0.202066956374482,0.256319605947022,Oil exporter
Ecuador,r_oil,1228,123,0.238963272082792,0.00630673907930548,0.215896142823308,0.00919211463147093,0.268188873353383,,0.052292730530075,0.683460245261825,Oil exporter
Colombia,r_oil,1228,123,0.0169384332077785,0.103523966905787,-0.00203362663809359,0.862560073202361,0.0408430160571473,,0.0428766426952409,0.146255287435519,Oil exporter
Nigeria,r_oil,1228,123,0.0468182220857474,0.17278590904592,0.0105254680472073,0.770409201788541,0.0929436905059387,,0.0824182224587313,0.222776909112097,Oil exporter
