treatment_group,treatment_size,beta,pval,n_obs,is_true
Abu Dhabi,1,-0.4796005037763922,0.011177934824003755,85,False
Brazil,1,0.17676433394598054,0.3444635040540962,85,False
Chile,1,-0.9198574176816597,2.2732220188448338e-06,85,False
China,1,0.5957886188046018,0.0017393150148361514,85,False
Colombia,1,0.014827188881090905,0.9366810367112604,85,False
Dubai,1,1.0403733713727044,1.176350707954299e-07,85,False
Egypt,1,0.4011060205715961,0.033193509707564184,85,False
Indonesia,1,0.04554976883781411,0.807212955848096,85,False
Malaysia,1,1.7434888327722025,0.0,85,False
Mexico,1,0.07530641380335518,0.6866880845579564,85,False
Philippines,1,0.6870205864429061,0.00033031745573985916,85,False
Qatar,1,-0.5474739476796416,0.003906362573638855,85,False
Saudi Arabia,1,0.31204979338453465,0.09637489679954658,85,False
South Africa,1,-1.072069379548272,5.182867357511611e-08,85,False
South Korea,1,-0.3524841746646872,0.06074695198000035,85,False
Thailand,1,-0.752174183210043,9.099010279922659e-05,85,False
Turkey,1,-0.9686153222560928,7.069047172070242e-07,85,False
"Abu Dhabi,Brazil",2,-0.1615126239095524,0.589909359277152,85,False
"Abu Dhabi,Chile",2,-0.7463775581109602,0.0026947079461212553,85,False
"Abu Dhabi,China",2,0.06196699468171252,0.8820169786436214,85,False
"Abu Dhabi,Colombia",2,-0.2478791012774935,0.3421078491907299,85,False
"Abu Dhabi,Dubai",2,0.29907886271803347,0.5903722015526442,85,False
"Abu Dhabi,Egypt",2,-0.04186372437589086,0.9075579432845364,85,False
"Abu Dhabi,Indonesia",2,-0.23149372530057455,0.38740605630806546,85,False
"Abu Dhabi,Malaysia",2,0.6740737754644324,0.39006946499937833,85,False
"Abu Dhabi,Mexico",2,-0.21562351465228596,0.4325467038899804,85,False
"Abu Dhabi,Philippines",2,0.11062404408880784,0.8037376173208939,85,False
"Abu Dhabi,Qatar",2,-0.5477730407765503,0.006164486399743652,85,False
"Abu Dhabi,Saudi Arabia",2,-0.08936037887565693,0.7900307059487095,85,False
"Abu Dhabi,South Africa",2,-0.8275572711064871,0.0034579376679764184,85,False
"Abu Dhabi,South Korea",2,-0.4437784951685752,0.029208421372631355,85,False
"Abu Dhabi,Thailand",2,-0.6569464997260985,0.0027204271006397995,85,False
"Abu Dhabi,Turkey",2,-0.7723817738839915,0.0028721585286548557,85,False
"Brazil,Chile",2,-0.39631631132569495,0.3497537829033581,85,False
"Brazil,China",2,0.4120282414669775,0.0925625057849977,85,False
"Brazil,Colombia",2,0.10218214550777145,0.6208905103784761,85,False
"Brazil,Dubai",2,0.6491401095032981,0.06776519688317828,85,False
"Brazil,Egypt",2,0.30819752240937404,0.14828742638243342,85,False
"Brazil,Indonesia",2,0.11856752148469057,0.5611771541217445,85,False
"Brazil,Malaysia",2,1.0241350222496972,0.07243866524468201,85,False
"Brazil,Mexico",2,0.1344377321329791,0.50581868204539,85,False
"Brazil,Philippines",2,0.4606852908740726,0.08133571036449116,85,False
"Brazil,Qatar",2,-0.1977117939912856,0.5332797367322317,85,False
"Brazil,Saudi Arabia",2,0.26070086790960795,0.20191272136569305,85,False
"Brazil,South Africa",2,-0.4774960243212218,0.3099706823995987,85,False
"Brazil,South Korea",2,-0.09371724838331004,0.727355308027438,85,False
"Brazil,Thailand",2,-0.3068852529408332,0.4122841033729343,85,False
"Brazil,Turkey",2,-0.4223205270987264,0.335595437149782,85,False
"Chile,China",2,-0.17283669273443025,0.755161243753343,85,False
"Chile,Colombia",2,-0.4826827886936363,0.19909547935231853,85,False
"Chile,Dubai",2,0.06427517530189042,0.9266298197255616,85,False
"Chile,Egypt",2,-0.27666741179203364,0.5745073540994108,85,False
"Chile,Indonesia",2,-0.4662974127167174,0.22562915014372797,85,False
"Chile,Malaysia",2,0.4392700880482893,0.6368577979130849,85,False
"Chile,Mexico",2,-0.45042720206842873,0.2524301901745618,85,False
"Chile,Philippines",2,-0.12417964332733514,0.8314449014534206,85,False
"Chile,Qatar",2,-0.7825767281926936,0.0008836556467923806,85,False
"Chile,Saudi Arabia",2,-0.32416406629179984,0.4858525683283115,85,False
"Chile,South Africa",2,-1.0623609585226297,1.6665910429480846e-07,85,False
"Chile,South Korea",2,-0.678582182584718,0.014391694544497513,85,False
"Chile,Thailand",2,-0.8917501871422412,1.4397295380330632e-05,85,False
"Chile,Turkey",2,-1.0071854613001343,3.3159484869038636e-07,85,False
"China,Colombia",2,0.32566176409903613,0.24629748382446337,85,False
"China,Dubai",2,0.8726197280945631,0.0004644610536885807,85,False
"China,Egypt",2,0.5316771410006389,0.011156734299453852,85,False
"China,Indonesia",2,0.3420471400759553,0.21120414572290103,85,False
"China,Malaysia",2,1.2476146408409616,0.004424897516231985,85,False
"China,Mexico",2,0.35791735072424363,0.17959115811249915,85,False
"China,Philippines",2,0.6841649094653375,0.0006537302267068945,85,False
"China,Qatar",2,0.025767824599979106,0.9530906025400241,85,False
"China,Saudi Arabia",2,0.4841804865008728,0.0285423051090663,85,False
"China,South Africa",2,-0.2540164057299572,0.6735717511721273,85,False
"China,South Korea",2,0.12976237020795475,0.7327107764527914,85,False
"China,Thailand",2,-0.08340563434956844,0.8678503111163889,85,False
"China,Turkey",2,-0.19884090850746153,0.7271165571695417,85,False
"Colombia,Dubai",2,0.5627736321353569,0.16203808051715773,85,False
"Colombia,Egypt",2,0.22183104504143275,0.3527787888655176,85,False
"Colombia,Indonesia",2,0.03220104411674937,0.8716801032756369,85,False
"Colombia,Malaysia",2,0.9377685448817554,0.13184370366350007,85,False
