Classification,Threshold,N,N_treatment,N_control,Beta_A,pval_A,Beta_B,pval_B
Oil Exporters,Full,35754,7890,27864,0.07064371808272231,0.012151917823775671,0.07026229961547373,0.01401313702407636
Oil Exporters,Top 10%,3528,778,2750,0.15388241208620113,0.0014986964082810417,0.15379104863410872,0.001843889617079597
Oil Exporters,Top 5%,1733,385,1348,0.19183202958668413,0.0019436428586732113,0.19218032330113946,0.0024335027402113685
Oil Exporters,Top 1%,335,75,260,0.7019426388250296,0.0062121594642912115,0.7019426388250297,0.014430883551156404
GCC,Full,35754,3057,32697,0.04558164852224144,0.15674278375040518,0.044460297478833365,0.18353637670051892
GCC,Top 10%,3528,301,3227,0.12473929159987852,0.042074283601228224,0.12433619277535017,0.04744060028253916
GCC,Top 5%,1733,151,1582,0.13146173267806718,0.09667991185804437,0.1326251166672929,0.0996488257154815
GCC,Top 1%,335,30,305,0.8122358952529538,0.03615486831100645,0.812235895252954,0.061204407471919575
Middle East,Full,35754,4668,31086,0.018492421174435565,0.5324129923519485,0.017775509322051335,0.5571488894053513
Middle East,Top 10%,3528,460,3068,0.05554156561358072,0.3525297531847311,0.055295980858567656,0.3637597915175017
Middle East,Top 5%,1733,229,1504,0.03513414424070954,0.6640632207281649,0.03584075411088706,0.6652127852279799
Middle East,Top 1%,335,45,290,0.6333516068169742,0.03835244112580116,0.6333516068169741,0.06425084522843694
Latin America,Full,35754,6444,29310,0.05547619282221918,0.11403680611588451,0.05568716441314961,0.1159281953173894
Latin America,Top 10%,3528,636,2892,0.024707423638255357,0.6857021927305229,0.024861028739426243,0.6887315843687367
Latin America,Top 5%,1733,312,1421,0.03484866260725851,0.6431581484595323,0.03454936563516488,0.6544144801006544
Latin America,Top 1%,335,60,275,0.05763773943997126,0.7341721820478742,0.05763773943997134,0.761766914973184
Asia (ex-Middle East),Full,35754,5847,29907,0.05608410787137229,0.06631297864727137,0.05580432055826903,0.07184226462001608
Asia (ex-Middle East),Top 10%,3528,577,2951,0.052629470520559295,0.31249460987693345,0.052199652420288734,0.3261589451164484
Asia (ex-Middle East),Top 5%,1733,282,1451,0.050624907076905146,0.5207808845370783,0.0512963553295623,0.5245939561930748
Asia (ex-Middle East),Top 1%,335,55,280,0.4755128130020025,0.09650031659628122,0.47551281300200293,0.13765887365259943
Emerging Europe,Full,35754,6981,28773,-0.10223296031617173,5.610902853447897e-10,-0.10202100260212098,8.843517029788472e-10
Emerging Europe,Top 10%,3528,689,2839,-0.16691716255490444,6.985555134342292e-08,-0.1667631515824952,1.1938624377982876e-07
Emerging Europe,Top 5%,1733,338,1395,-0.19208564735644226,8.870017866868807e-07,-0.19239360777326478,1.5744930215166875e-06
Emerging Europe,Top 1%,335,65,270,-0.7203924965901112,1.873751087622111e-08,-0.7203924965901108,4.419562740221039e-07
Developed Markets,Full,35754,9129,26625,0.003854512964745343,0.835650408702691,0.004085742926285764,0.8275358109596067
Developed Markets,Top 10%,3528,901,2627,0.06434017682285091,0.1021939413213615,0.06451005595960382,0.10738838554883623
Developed Markets,Top 5%,1733,442,1291,0.0937971624571636,0.061797431501130706,0.09346919914768509,0.06973002953199425
Developed Markets,Top 1%,335,85,250,-0.19214879396952037,0.35328263410949257,-0.19214879396952028,0.40721313142993076
High Yield / Distressed,Full,35754,4296,31458,-0.04784613950848771,0.05713564048871378,-0.04765095255302646,0.06046751910082371
High Yield / Distressed,Top 10%,3528,424,3104,-0.11420502054231645,0.03494170410032482,-0.11406296216403897,0.03831758874679703
High Yield / Distressed,Top 5%,1733,208,1525,-0.1729311676342351,0.022562425469095038,-0.17321187752087985,0.02606153584098858
High Yield / Distressed,Top 1%,335,40,295,-0.17808872974429213,0.4545485837057459,-0.17808872974429185,0.5043222324145917
BRICS,Full,35754,2088,33666,0.04263777361386647,0.39054010863880095,0.04162015584096492,0.41460955814487965
BRICS,Top 10%,3528,206,3322,0.020955983297428732,0.8004702048315946,0.019659975675244554,0.8174678443569476
BRICS,Top 5%,1733,100,1633,0.03495645236966727,0.7426440187565835,0.03708151965983022,0.7308352182177691
BRICS,Top 1%,335,20,315,0.2845404625700445,0.4353696261086595,0.284540462570045,0.48615035825092057
Non-GCC Oil Exporters,Full,35754,4833,30921,0.07349647358769809,0.06087912845782273,0.07369647478650604,0.062414174684025436
Non-GCC Oil Exporters,Top 10%,3528,477,3051,0.14270139636234597,0.029576351734466932,0.1428479432093448,0.03215963364662011
Non-GCC Oil Exporters,Top 5%,1733,234,1499,0.19439716282838768,0.018496094124548224,0.19411470713334758,0.02190595423060171
Non-GCC Oil Exporters,Top 1%,335,45,290,0.4793810739864798,0.13072599060985435,0.4793810739864792,0.17710235499979188
