date,country,cds_spread,risk_free_rate,implied_V,implied_sigma_V,cca_converged,B_f,LCL_usd,sigma_lcl
2015-01-04,Brazil,207.97,0.0255,1349.032253418636,0.09211613886399918,True,631.8961,792.7785975636025,0.15674865910840535
2015-01-11,Brazil,201.92,0.0255,1368.3187941243755,0.0939350197388299,True,631.8961,812.0651720739768,0.15827833784718318
2015-01-18,Brazil,205.65,0.0255,1371.1594611447083,0.0940235940968333,True,631.8961,814.9058302067671,0.1582031027271592
2015-01-25,Brazil,193.65,0.0255,1384.1881258765495,0.09375462628966046,True,631.8961,827.9344133303866,0.15674368638427344
2015-02-01,Brazil,212.77,0.022,1361.2853903496982,0.0931176503541339,True,622.0884000000001,803.9977106591449,0.1576608838858471
2015-02-08,Brazil,229.48,0.022,1332.3644166696818,0.09418772251731539,True,622.0884000000001,775.0770846702505,0.1619077560943059
2015-02-15,Brazil,235.35,0.022,1318.1303896762813,0.09411287958541771,True,622.0884000000001,760.8432198037207,0.16304457840959483
2015-02-22,Brazil,235.89,0.022,1309.2665862109734,0.09335774373169393,True,622.0884000000001,751.9794037779224,0.1625423693515061
2015-03-01,Brazil,235.88,0.0233999999999999,1306.9556707908766,0.09323030441867484,True,626.0114799999998,750.0659646632536,0.1624473425746369
2015-03-08,Brazil,253.64,0.0233999999999999,1252.3733652023855,0.09960514893792023,True,626.0114799999998,695.4889980525287,0.1793440435959083
2015-03-15,Brazil,302.25,0.0233999999999999,1212.2458304895795,0.10199444605355366,True,626.0114799999998,655.3707754329037,0.18862014872425603
2015-03-22,Brazil,291.2898,0.0233999999999999,1216.292153026449,0.10218815894214463,True,626.0114799999998,659.4166683458825,0.18844705080463878
2015-03-29,Brazil,285.95,0.0233999999999999,1212.1634321061633,0.10060019984104099,True,626.0114799999998,655.2855986603294,0.18605952550690424
2015-04-05,Brazil,259.48,0.0241,1280.512900540075,0.1180443015872972,True,627.97302,723.8774148831793,0.20871069813633975
2015-04-12,Brazil,245.19,0.0241,1291.1993094071702,0.11903351141665887,True,627.97302,734.5635362483183,0.20913110067195217
2015-04-19,Brazil,241.81,0.0241,1299.581436895168,0.11976446836025587,True,627.97302,742.9452510957348,0.20939409977514278
2015-04-26,Brazil,220.11,0.0241,1322.0346482759442,0.12259249152316154,True,627.97302,765.4019206636663,0.2116417409764452
2015-05-03,Brazil,237.95,0.0233,1313.6617940393617,0.12213996311913865,True,625.73126,756.795265111992,0.21190266038146752
2015-05-10,Brazil,222.26,0.0233,1324.179324085507,0.1231185188651669,True,625.73126,767.3126478646186,0.21236128243227784
2015-05-17,Brazil,228.93,0.0233,1318.0637366532806,0.1227842501652551,True,625.73126,761.19842105617,0.21249649120706943
2015-05-24,Brazil,220.46,0.0233,1294.028234339141,0.12244599691530532,True,625.73126,737.1749851791735,0.21480062882073414
2015-05-31,Brazil,231.01,0.0269,1255.6028177696412,0.12292972096507494,True,635.8191800000001,699.8981691556303,0.22032157905682087
2015-06-07,Brazil,247.9,0.0269,1263.6146798320049,0.12376529934104331,True,635.8191800000001,707.9099768693625,0.22071086405452514
2015-06-14,Brazil,242.18,0.0269,1269.3585440297843,0.12413364155478165,True,635.8191800000001,713.6517722961299,0.2205903841968495
2015-06-21,Brazil,240.17,0.0269,1274.1883154824202,0.12458570432639449,True,635.8191800000001,718.4811120194411,0.22074461227224101
2015-06-28,Brazil,256.0898,0.0269,1266.8451086837508,0.12371575807278236,True,635.8191800000001,711.1369549532507,0.22019004758131044
2015-07-05,Brazil,249.89,0.0285,1294.3551082847728,0.12097112836496426,True,640.3027000000001,739.1473430576401,0.21172178759591248
2015-07-12,Brazil,251.79,0.0285,1288.6078182658157,0.12060453834367495,True,640.3027000000001,733.4011740134332,0.2117863178846475
2015-07-19,Brazil,262.49,0.0285,1282.0029659096067,0.12019171576408705,True,640.3027000000001,726.7977133850893,0.211883600210039
2015-07-26,Brazil,293.25,0.0285,1245.6899039763368,0.12058790499662927,True,640.3027000000001,690.5134359107245,0.2173519824059528
2015-08-02,Brazil,288.8699,0.0277,1229.4518006108103,0.11975142825671184,True,638.0609400000001,674.0099476756913,0.2182258791500252
2015-08-09,Brazil,327.8999,0.0277,1212.955300437991,0.11890389095202386,True,638.0609400000001,657.5223116793521,0.21911151482033495
2015-08-16,Brazil,300.5698,0.0277,1217.2233918341012,0.11915874496392512,True,638.0609400000001,661.7883433310258,0.2189389369430369
2015-08-23,Brazil,336.74,0.0277,1214.155786157443,0.1188926961494502,True,638.0609400000001,658.7214125816475,0.2189116191063673
2015-08-30,Brazil,327.0698,0.0277,1199.1404256581948,0.11759019249187919,True,638.0609400000001,643.709592899398,0.2188097099774196
2015-09-06,Brazil,375.1199,0.0255,1161.7155656719935,0.11790436776910534,True,631.8961,605.6253453004708,0.22577575188458893
2015-09-13,Brazil,392.8799,0.0255,1157.639197107903,0.11586696273314875,True,631.8961,601.527776353197,0.22264097147843645
2015-09-20,Brazil,390.3398,0.0255,1146.1316404821293,0.11497072478197971,True,631.8961,590.0266453073995,0.222965756029825
2015-09-27,Brazil,489.5098,0.0255,1141.4078081405746,0.11422519025626984,True,631.8961,585.3004721264288,0.22238985686078036
2015-10-04,Brazil,521.3599,0.0262,1171.7854264239588,0.11355257120209701,True,633.8576400000001,615.8516068624037,0.2158204874429075
2015-10-11,Brazil,410.8398,0.0262,1199.0879732803796,0.11852514698046218,True,633.8576400000001,643.1732702066895,0.2207018510137441
2015-10-18,Brazil,435.3699,0.0262,1173.0716096824913,0.11781215619921964,True,633.8576400000001,617.1837802223447,0.22358554514918422
2015-10-25,Brazil,445.24,0.0262,1180.046789556154,0.11867115072744112,True,633.8576400000001,624.1595239857859,0.22402594042970592
2015-11-01,Brazil,429.6699,0.025,1199.0735818582214,0.12173700602622553,True,630.4950000000001,642.8203442391433,0.22672691860657315
2015-11-08,Brazil,401.45,0.025,1213.6064263042608,0.12293290982491274,True,630.4950000000001,657.3470776301162,0.22662791647408825
2015-11-15,Brazil,426.99,0.025,1200.8832874662771,0.12194041469048973,True,630.4950000000001,644.6299885421821,0.22681121089316245
2015-11-22,Brazil,388.6199,0.025,1225.3057999433754,0.12435189217999297,True,630.4950000000001,669.0477911081623,0.22740999614609345
2015-11-29,Brazil,415.4199,0.025,1200.7242591748357,0.12266628567236362,True,630.4950000000001,644.4812506089667,0.22816451623355435
2015-12-06,Brazil,435.1199,0.0269,1208.7925121618953,0.12380347313339705,True,635.8191800000001,653.1568731528844,0.22875221122075598
2015-12-13,Brazil,485.73,0.0269,1188.3883274516463,0.12242422337804508,True,635.8191800000001,632.7671644502863,0.2295110342189777
2015-12-20,Brazil,490.2798,0.0269,1170.9944194660475,0.12152041875143944,True,635.8191800000001,615.3917995295692,0.23077208822951106
2015-12-27,Brazil,482.5698,0.0269,1176.6301973596978,0.12224576776130083,True,635.8191800000001,621.0283777243536,0.23115274859662435
2016-01-03,Brazil,488.99,0.0260999999999999,1193.7961361695086,0.12976093233810668,True,610.9855079999998,657.7620408811325,0.23507305203003814
2016-01-10,Brazil,480.7998,0.0260999999999999,1183.3826810172927,0.1280619847139714,True,610.9855079999998,647.3412227317789,0.23367924879409854
2016-01-17,Brazil,491.73,0.0260999999999999,1179.6306264853888,0.1276538500652795,True,610.9855079999998,643.589728204781,0.23354568373411735
2016-01-24,Brazil,468.7998,0.0260999999999999,1172.3138502032484,0.12653333291230007,True,610.9855079999998,636.2691034474738,0.23270842163525188
2016-01-31,Brazil,462.6299,0.0249,1185.6325461238762,0.1276468532848225,True,607.7427720000001,649.2183989108335,0.23270688509573234
2016-02-07,Brazil,456.8398,0.0249,1201.4810595920942,0.12861242610248386,True,607.7427720000001,665.0542602569154,0.2319768407546238
