country,crash_var,p_jump_crash,p_jump_norm,ratio,SHOCK_Q,JUMP_Q
Angola,oil_crash,0.285714285714286,0.0273752012882448,10.436974789916,0.1,0.05
Nigeria,oil_crash,0.16793893129771,0.0374149659863946,4.48854961832061,0.1,0.05
Ecuador,oil_crash,0.16793893129771,0.0374149659863946,4.48854961832061,0.1,0.05
Colombia,oil_crash,0.137404580152672,0.0408163265306122,3.36641221374046,0.1,0.05
Chile,copper_crash,0.0916030534351145,0.0459183673469388,1.99491094147583,0.1,0.05
Peru,copper_crash,0.099236641221374,0.0450680272108844,2.2019300014403,0.1,0.05
Zambia,copper_crash,0.173076923076923,0.0411392405063291,4.20710059171598,0.1,0.05
Brazil,oil_crash,0.099236641221374,0.0450680272108844,2.2019300014403,0.1,0.05
Egypt,oil_crash,0.166666666666667,0.0375545851528384,4.43798449612403,0.1,0.05
Morocco,oil_crash,0.114503816793893,0.0433673469387755,2.64032330489448,0.1,0.05
